Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 18.1888834169, 3.5527136788e-15, 3.5527136788e-16, 18.1888834169, 18.1888834169, 18.1888834169, 18.1888834169, 18.1888834169, 18.1888834169, 18.1888834169
TEMP, 130.524813989, 0.974315698141, 0.0125379960211, 129.071227306, 131.172339981, 129.071227306, 129.291846727, 131.172339981, 131.172339981, 131.663742789
B, 59.9856175403, 1.93866126885, 0.191613909276, 56.335180525, 62.9295201267, 56.335180525, 58.5536103627, 59.9470826638, 61.0768775566, 62.9295201267
A_Z, 7.31089192611, 3.99642298238, 0.331761156188, -0.70139446449, 15.7358912153, -1.07692140894, 4.64880163129, 7.3208973159, 9.76085144863, 15.7358912153
N_H, 21.5794784474, 0.0448600116561, 3.5527136788e-16, 21.5581480754, 21.7077787609, 21.5581480754, 21.5581480754, 21.5581480754, 21.5769496591, 21.7077787609
B_H, 12.4384246891, 8.19622625668, 0.849601918852, 1.90021467077, 23.5932512009, 1.87544163046, 4.23241347723, 10.9717886567, 21.0096926255, 23.5932512009
A_Z_H, 48.4900331255, 0.937911527596, 0.113248422342, 46.3284939025, 49.9704641598, 46.3284939025, 48.1924938813, 48.4003816469, 49.2581808373, 49.9704641598
N_FeII, 18.638034753, 0.0592462496817, 0.0, 18.5961413281, 18.7218216028, 18.5961413281, 18.5961413281, 18.5961413281, 18.7218216028, 18.7218216028
B_FeII, 1.15427702583, 0.873219839294, 0.115808084308, 1.00667593333, 1.00667593333, 1.00667593333, 1.00667593333, 1.00667593333, 1.00667593333, 6.32031526328
A_Z_FeII, 8.31323310846, 1.60668779681, 0.155138248031, 6.22724783489, 11.1043647795, 6.22724783489, 7.12647550313, 7.58779742496, 10.1262224325, 11.1043647795
N_SiII, 18.8736007409, 0.139421517814, 0.0143008214426, 18.658780825, 18.9740777212, 18.658780825, 18.658780825, 18.9396996972, 18.9740777212, 18.9740777212
B_SiII, 17.4141053043, 6.40661711499, 0.743875258983, 7.07297901495, 28.6203908712, 7.07297901495, 12.4857079292, 18.4859640313, 21.0388971717, 28.8538016605
A_Z_SiII, 27.6562068452, 23.0845860506, 2.75723641624, -27.9601621805, 49.0916159369, -33.2864068454, 19.3463933349, 36.2174507812, 43.1603734006, 49.0916159369
N_SiIIa, 18.7879437278, 0.450751324978, 0.0579003736673, 17.2880589255, 18.9334143134, 17.2880589255, 18.9334143134, 18.9334143134, 18.9334143134, 18.9334143134
B_SiIIa, 18.2336908787, 7.7463100056, 0.723180479049, 6.00503670687, 29.7373933808, 4.48488572105, 12.2252158709, 18.2286607056, 25.7184984335, 29.7106306821
A_Z_SiIIa, 10.0196045632, 21.5544318702, 0.711940856261, -14.3717441713, 48.0353310071, -14.6476779273, -6.84842449714, 0.570828086337, 34.4071788038, 48.0353310071
