Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 18.0471359446, 0.0, 0.0, 18.0471359446, 18.0471359446, 18.0471359446, 18.0471359446, 18.0471359446, 18.0471359446, 18.0471359446
TEMP, 307.243944731, 3.26313906598, 0.595764958239, 305.107718764, 312.228471989, 305.107718764, 305.107718764, 305.107718764, 312.228471989, 312.228471989
B, 31.4431274928, 3.45346110539, 0.63051284963, 19.1651668881, 32.6138932203, 17.9305452544, 32.2643483439, 32.2643483439, 32.6138932203, 32.6138932203
A_Z, 16.7688928694, 1.5767042169, 0.287865488703, 13.9433584927, 18.2034884555, 13.9433584927, 17.2356264768, 17.709502724, 17.709502724, 18.2034884555
N_H, 21.773182106, 7.1054273576e-15, 1.29726761482e-15, 21.773182106, 21.773182106, 21.773182106, 21.773182106, 21.773182106, 21.773182106, 21.773182106
B_H, 10.615428483, 4.57122929728, 0.834588467216, 3.10955008075, 17.7034449131, 3.10955008075, 6.90109500829, 9.79139267797, 15.3981740541, 20.1958674546
A_Z_H, 0.352439462258, 1.61655475906, 0.295141168993, -0.0796029702676, 6.40103351762, -0.0796029702676, -0.0796029702676, -0.0796029702676, -0.0796029702676, 6.40103351762
N_FeII, 18.6843473925, 3.5527136788e-15, 6.48633807412e-16, 18.6843473925, 18.6843473925, 18.6843473925, 18.6843473925, 18.6843473925, 18.6843473925, 18.6843473925
B_FeII, 3.99115198805, 0.158263935111, 0.0288949090999, 3.78131289056, 4.13235832582, 3.40550980592, 4.01541736336, 4.01541736336, 4.13235832582, 4.13235832582
A_Z_FeII, -11.0690157183, 31.2128807029, 5.69866628191, -48.6773972625, 39.129362051, -48.6773972625, -37.5077840012, -5.54601776985, 17.7105546556, 44.6571534903
N_SiII, 17.6006799398, 0.463312540355, 0.0845889098424, 16.9454570616, 17.9282913789, 16.9454570616, 16.9454570616, 17.9282913789, 17.9282913789, 17.9282913789
B_SiII, 16.2922677988, 8.31311542021, 1.5177602796, 1.09360622213, 26.4564538096, 1.09360622213, 8.77838083043, 17.4779964172, 23.5203859802, 29.1205556678
A_Z_SiII, 12.7105586164, 20.5671383231, 3.7550285343, -23.4818061127, 49.7787414282, -30.1902581898, -2.56462920379, 15.8023382235, 22.2336564222, 49.7787414282
