Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 18.5461280116, 0.417499342159, 0.0415819203493, 18.2416126032, 19.5848865787, 18.240088162, 18.3475190735, 18.3952934389, 18.4414562318, 19.5848865787
TEMP, 155.807512704, 99.5801398223, 9.63991732858, 114.286527671, 408.526206512, 114.286527671, 116.820845517, 118.69548457, 120.029376389, 447.74861134
B, 39.9274031216, 0.102133889906, 0.00930102932776, 39.6792581672, 39.9984689345, 39.644990368, 39.9283834038, 39.9754374929, 39.9811280367, 39.9984689345
A_Z, -84.6071573023, 21.3062631351, 2.11139181322, -99.5638620139, -31.7389339539, -98.8828027672, -95.2518547052, -92.6356163763, -89.8446437689, -28.6185916483
N_HI, 21.8615772424, 0.1917263592, 0.0190906508564, 21.4134798376, 21.9734516577, 21.4134798376, 21.8804030187, 21.9666424742, 21.9734516577, 21.9734516577
B_HI, 14.4644290083, 8.72796551871, 0.407884267822, 0.281009531866, 28.4204149805, 0.860176750197, 6.79845721551, 14.0209309755, 22.2064398826, 29.2163633235
A_Z_HI, 23.2013538988, 63.5245769923, 6.12928579803, -87.6996051369, 99.4824160279, -93.3619624083, -40.0594141633, 44.5182925411, 81.0938817719, 97.3825664246
N_FeII, 19.9598211093, 0.0423654920962, 0.00421538875439, 19.8411894482, 19.9921090746, 19.8411894482, 19.9546653279, 19.9921090746, 19.9921090746, 19.9921090746
B_FeII, 7.37046625988, 2.88939712727, 0.273917735587, 1.47139857821, 13.6247348579, 1.27093374694, 6.92052395346, 7.1463709027, 7.35654765115, 13.6247348579
A_Z_FeII, 92.6102348278, 12.2405270819, 1.22137070407, 64.0070244163, 99.6022943344, 63.5748792857, 96.297243559, 97.8947253913, 98.3839109576, 99.6022943344
N_SiII, 19.439226796, 0.579824491516, 0.0457031603545, 18.3516409515, 19.9979125497, 17.8859987386, 19.205782042, 19.6355636275, 19.8396013511, 19.9938794907
B_SiII, 26.5505383663, 3.53981621513, 0.248168000768, 20.5732256748, 29.9495266287, 16.4585398481, 25.0875095754, 27.597417868, 28.9465713326, 29.8368022397
A_Z_SiII, 76.9698401414, 12.9923648052, 0.80406743855, 54.4740179816, 99.3701893773, 48.8033847802, 68.858256218, 78.7771170809, 87.6554711957, 97.6192056743
N_ArI, 19.9026955566, 0.0891303700699, 0.00819938861913, 19.7816274891, 19.9964326015, 19.6387734686, 19.8636256582, 19.9275562669, 19.974677693, 19.9908098243
B_ArI, 9.50573845384, 6.62056190268, 0.417495027953, 0.0893977817709, 24.1945789599, 0.53976252761, 4.35023375493, 8.6571758918, 12.6102844808, 27.4050746472
A_Z_ArI, -92.6690643313, 8.0811908812, 0.573556636171, -99.8528516192, -75.9846052485, -99.7183613409, -97.8945399392, -95.0068265313, -89.9978408847, -69.0378246915
