Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.01371943248, 0.00446018728765, 0.000375936078055, 1.00506062204, 1.01982645769, 1.00357344234, 1.01062239523, 1.01451570807, 1.01743673705, 1.01950072378
sigma1, 7.92373715076, 1.40250714253, 0.091682999672, 5.54185079035, 10.5685118782, 5.71993530726, 6.93165844907, 7.73755021482, 8.72887139544, 11.100584402
v01, -427.534547397, 1.57165330142, 0.0940416341153, -429.961095953, -424.539208023, -430.892597384, -428.278221535, -427.369857932, -426.590519189, -425.033214242
A1, -13.1004483576, 1.98609861632, 0.131533883726, -16.6917123339, -9.57306190556, -17.0493138081, -14.3823907768, -12.9467557152, -11.7206948434, -9.77710888143
sigma2, 22.7299102281, 0.619805394769, 0.0420179086756, 21.4756466298, 23.8144974974, 21.4756466298, 22.3185961328, 22.7496442661, 23.1336065321, 23.963969734
v02, -161.410628647, 0.686177845858, 0.052174192478, -162.499491674, -159.824819123, -162.712073916, -161.926889662, -161.395175181, -160.917644459, -159.917651888
A2, -121.375044221, 4.27165654129, 0.361483849335, -128.962646079, -113.108679311, -129.627326595, -124.305609937, -121.528004391, -118.370567954, -113.460578016
sigma3, 14.93540722, 0.665681138168, 0.0589740411506, 13.7461640326, 16.1528719613, 13.7461640326, 14.4237694656, 14.9456873592, 15.4130790345, 16.1528719613
v03, -84.1631949489, 0.532203245537, 0.0371798643341, -85.3137394184, -83.2368439342, -85.2815281517, -84.5307186822, -84.1472236328, -83.8220020591, -83.0900633882
A3, -87.8948523153, 6.2943253765, 0.596215722604, -99.6583170528, -77.4688040299, -99.6583170528, -93.3512861239, -87.1390122346, -82.7387346598, -77.1685854175
sigma4, 49.7089984489, 2.42983511518, 0.161132555931, 45.3348766363, 54.739162631, 45.1468142069, 48.0737009069, 49.6153487167, 51.2965641034, 54.6752765438
v04, 305.068670304, 2.04629661425, 0.0909219701393, 301.293532671, 309.347571852, 300.779270143, 303.718866809, 305.074282018, 306.358289921, 309.066988245
A4, -109.091078044, 5.65406458741, 0.427258412512, -120.718091546, -99.2373997057, -120.632501577, -113.127153379, -109.304661837, -104.870885006, -98.2623935873
sigma5, 25.9661699799, 1.26351106879, 0.0845894022303, 23.5820781836, 28.3806715462, 23.6480749153, 25.0869834725, 25.8680714484, 26.841307319, 28.6537205811
v05, -273.75754086, 1.21258294776, 0.0597692480045, -276.161883669, -271.628106057, -276.138253982, -274.643751116, -273.777549957, -272.83418735, -271.568584391
A5, -74.0209971614, 3.68319262057, 0.272209344438, -82.2203786259, -68.0661820841, -81.8102778435, -76.7077475834, -73.8576524434, -71.6834552692, -66.5903400043
sigma6, 70.4092964055, 6.45460549194, 0.555086447709, 57.5980234113, 79.7510567887, 55.9979872094, 66.898799184, 71.7382211091, 75.5386135331, 79.3431454274
v06, -6.04733847417, 8.74116182503, 0.787970222583, -20.3364621028, 11.5485226958, -22.0787141359, -12.6439694482, -5.65159642928, 0.742388756904, 10.8803824586
A6, -125.032754665, 14.4637834145, 1.35650322227, -149.917828279, -96.2068273316, -149.917828279, -135.412287433, -126.248418695, -116.300367779, -94.872825003
sigma7, 15.0445426342, 1.12207329456, 0.0853908755577, 12.9271250187, 17.3809745454, 13.0025099341, 14.238624179, 14.9843894795, 15.67721961, 17.5847473932
v07, -39.2867357762, 1.40062413344, 0.108449462681, -42.4973709654, -36.9452679142, -42.3101972262, -40.2189450913, -39.2172990981, -38.378798755, -36.5677484924
A7, -40.1671711338, 4.41438782343, 0.376676183216, -48.7709405992, -32.3596625227, -49.2001743618, -42.9459094525, -39.9707969878, -36.7325831321, -32.4929829126
Osc, 0.00208
GAMMA, 2380000.0
