# Transmission through ionization/dissociation front produced by UV and 
# X-rays from a GRB.  Spectrum calculated by B.T. Draine
# References:
# Draine, B.T. 2000: Gamma Ray Bursts in Molecular Clouds: H2 Absorption
#     and Fluorescence, ApJ 532, 273
# Draine, B.T., & Hao, L. 2002, Gamma Ray Burst in a Molecular Cloud:
#     Destruction of Dust and H2, and Emergent Spectrum, ApJ 569, 780
# 
#  1.000E+03 = n_H (cm-3)
#     -0.500 = beta ( L_nu propto nu^{beta} )
#  2.500E-01 = L_0/(1e49 erg s-1)
#  1.000E+01 = t_0 (s)
# N(H), N(H2+), and N(H2_vJ) from h2abs_nvj.dat                                   
#       2130 H2 absorption lines from 299 levels of H2
#     222969 = NWAV = number of wavelengths
#       2771 = 2*KKMAX+1 points in smoothing kernel
#      260.0 = lambda/FWHM(lambda) in final spectrum
#   2130 lines with W_lambda/lambda >  5.000E-05
#   0.5574 = sum(W_lambda/lambda) for lines in list (including H Lyman series)
#   0.7320                        for all 28779 lines
#   lambda   W_lambda/ W_lambda
#    (A)       lambda    (A)      tau_0      transition
#  --------- --------- ------- --------- --------------------
  1642.865 0.0000515  0.0846 1.190E+02 H2 Lyman  4-12 P( 2)
  1641.521 0.0000609  0.1000 2.782E+02 H2 Lyman  4-12 P( 1)
  1639.523 0.0000547  0.0896 1.650E+02 H2 Lyman  4-12 R( 0)
  1638.904 0.0000745  0.1221 6.203E+02 H2 Lyman  4-12 R( 1)
  1638.522 0.0000576  0.0944 2.158E+02 H2 Lyman  4-12 R( 2)
  1638.349 0.0000535  0.0877 1.486E+02 H2 Lyman  4-12 R( 3)
  1638.114 0.0000531  0.0870 1.372E+02 H2 Lyman  3-11 P( 2)
  1636.332 0.0000632  0.1034 3.131E+02 H2 Lyman  3-11 P( 1)
  1635.203 0.0000508  0.0831 1.147E+02 H2 Lyman  5-13 R( 1)
  1634.073 0.0000547  0.0894 1.606E+02 H2 Lyman  3-11 R( 0)
  1634.045 0.0000545  0.0891 1.581E+02 H2 Lyman  3-11 R( 3)
  1633.627 0.0000776  0.1267 6.784E+02 H2 Lyman  3-11 R( 1)
  1633.624 0.0000592  0.0967 2.362E+02 H2 Lyman  3-11 R( 2)
  1625.639 0.0000516  0.0839 1.135E+02 H2 Lyman  2-10 P( 2)
  1623.513 0.0000659  0.1069 3.561E+02 H2 Lyman  2-10 P( 1)
  1621.923 0.0000533  0.0864 1.355E+02 H2 Lyman  2-10 R( 3)
  1621.046 0.0000576  0.0934 1.997E+02 H2 Lyman  2-10 R( 0)
  1621.030 0.0000573  0.0928 1.945E+02 H2 Lyman  2-10 R( 2)
  1620.737 0.0000818  0.1326 7.700E+02 H2 Lyman  2-10 R( 1)
  1613.180 0.0000643  0.1037 3.730E+02 H2 Lyman  5-12 P( 3)
  1611.650 0.0000674  0.1087 4.539E+02 H2 Lyman  5-12 P( 2)
  1610.325 0.0000832  0.1340 9.534E+02 H2 Lyman  5-12 P( 1)
  1609.024 0.0000568  0.0914 2.194E+02 H2 Lyman  6-13 P( 3)
  1608.434 0.0000694  0.1116 5.079E+02 H2 Lyman  5-12 R( 0)
  1608.396 0.0000602  0.0968 2.682E+02 H2 Lyman  4-11 P( 3)
  1608.293 0.0000619  0.0995 3.293E+02 H2 Lyman  6-13 P( 2)
  1607.902 0.0001056  0.1697 1.908E+03 H2 Lyman  5-12 R( 1)
  1607.627 0.0000752  0.1209 6.863E+02 H2 Lyman  5-12 R( 2)
  1607.583 0.0000692  0.1113 5.073E+02 H2 Lyman  5-12 R( 3)
  1607.501 0.0000773  0.1243 7.858E+02 H2 Lyman  6-13 P( 1)
  1606.234 0.0000638  0.1025 3.465E+02 H2 Lyman  4-11 P( 2)
  1605.925 0.0000661  0.1061 4.374E+02 H2 Lyman  6-13 R( 0)
  1605.176 0.0000982  0.1576 1.646E+03 H2 Lyman  6-13 R( 1)
  1604.486 0.0000781  0.1253 7.395E+02 H2 Lyman  4-11 P( 1)
  1604.434 0.0000695  0.1116 5.392E+02 H2 Lyman  6-13 R( 2)
  1604.307 0.0000686  0.1101 4.001E+02 H2 Lyman  1- 9 P( 1)
  1603.657 0.0000620  0.0995 3.368E+02 H2 Lyman  6-13 R( 3)
  1603.250 0.0000507  0.0814 1.010E+02 H2 Lyman  1- 9 R( 3)
  1602.617 0.0000638  0.1023 3.511E+02 H2 Lyman  4-11 R( 3)
  1602.348 0.0000639  0.1024 3.496E+02 H2 Lyman  4-11 R( 0)
  1602.083 0.0000702  0.1125 5.113E+02 H2 Lyman  4-11 R( 2)
  1602.000 0.0000540  0.0865 1.407E+02 H2 Lyman  1- 9 R( 2)
  1601.986 0.0000975  0.1561 1.460E+03 H2 Lyman  4-11 R( 1)
  1601.674 0.0000636  0.1019 2.972E+02 H2 Lyman  1- 9 R( 0)
  1601.470 0.0000866  0.1387 8.741E+02 H2 Lyman  1- 9 R( 1)
  1596.059 0.0000596  0.0951 2.467E+02 H2 Lyman  3-10 P( 3)
  1593.393 0.0000629  0.1002 3.143E+02 H2 Lyman  3-10 P( 2)
  1591.313 0.0000854  0.1358 9.416E+02 H2 Lyman  3-10 P( 1)
  1590.144 0.0000634  0.1008 3.278E+02 H2 Lyman  3-10 R( 3)
