Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B, 11.517795869, 4.19266677505, 0.937508791602, 4.31158974042, 17.1736549872, 4.31158974042, 9.58956576742, 12.9329056009, 15.1511546635, 17.1736549872
A_Z, -0.561191644786, 0.879079787688, 0.196568216292, -2.2670028262, 1.13525855022, -2.2670028262, -1.2638945503, -0.40551585833, 0.147836039131, 1.13525855022
NH2J0, 3.67789658328, 1.9088291755, 0.426827179384, 0.282418482103, 7.81020918927, 0.282418482103, 2.41272867389, 3.69712098867, 5.12653448722, 7.81020918927
NH2J1, 0.881985182657, 0.95213101291, 0.212902966835, 0.00514967197313, 3.15371261593, 0.00514967197313, 0.18151426359, 0.471466992575, 1.32338033201, 3.15371261593
NH2J2, 10.6127695652, 3.08599695358, 0.690049896657, 2.50234627442, 13.5477971792, 2.50234627442, 8.33469300199, 12.7179399959, 13.3800127002, 13.5477971792
NH2J3, 6.49833186472, 2.43347595208, 0.544141765046, 1.72099320746, 12.0303438173, 1.72099320746, 5.31916769695, 6.94281352406, 7.71530815334, 12.0303438173
NH2J4, 5.25695777478, 3.20903907411, 0.717562951216, 0.253749226804, 10.7231986446, 0.253749226804, 2.71570921087, 5.6147494247, 8.88220013759, 10.7231986446
N_FeII, 13.6118658435, 2.15940424588, 0.482857468469, 8.61710106052, 16.0, 8.61710106052, 14.3180652206, 14.3180652206, 14.3180652206, 16.0
B_FeII, 3.4563927186, 2.15480657948, 0.481829399008, 0.247066498349, 8.0, 0.247066498349, 2.36027814551, 2.55880743513, 3.79927169947, 8.0
A_Z_FeII, 0.134492887197, 0.531440464029, 0.118833700356, -0.592634638684, 0.878395100142, -0.592634638684, -0.562190542396, 0.336290839909, 0.542520197381, 0.878395100142
N_FeIIa, 7.10276528257, 4.65035067691, 1.03985002328, 2.99917738178, 16.0, 2.99917738178, 2.99917738178, 4.9402017058, 13.0510283559, 16.0
B_FeIIa, 10.5973747496, 8.37588567338, 1.87290497374, 0.232204830408, 28.1666194065, 0.232204830408, 2.93467873096, 11.6260059515, 16.4460796443, 28.1666194065
A_Z_FeIIa, 1.7691712701, 1.47871261232, 0.330650192034, -1.02389633971, 4.02579920253, -1.02389633971, 0.966774531586, 1.91608764808, 3.1165403941, 4.02579920253
N_FeIIb, 8.86644475623, 5.71676374777, 1.27830723513, 0.545222643871, 16.0, 0.545222643871, 5.76324626007, 7.42581394056, 16.0, 16.0
B_FeIIb, 13.7017210706, 8.29689968685, 1.85524317023, 3.47680172469, 28.3377380267, 3.47680172469, 4.6833804992, 15.0886186246, 22.5563123152, 28.3377380267
A_Z_FeIIb, -1.07573169542, 2.29814754973, 0.513881414352, -4.60805367804, 2.55341199492, -4.60805367804, -3.1529577926, -0.0828814930814, 1.38997838888, 2.55341199492
N_ArI, 13.3038294732, 0.829966102573, 0.185586062437, 10.7636109143, 16.0, 10.7636109143, 13.2819456611, 13.2819456611, 13.2819456611, 16.0
B_ArI, 12.8682385839, 6.07671553901, 1.35879490251, 4.99961044477, 26.6869516266, 4.99961044477, 8.58605873697, 12.5682217957, 15.3792585004, 26.6869516266
A_Z_ArI, -1.76823322496, 1.09386417216, 0.24459546471, -4.47331535236, -0.268414457837, -4.47331535236, -2.15241610962, -1.51101159045, -0.868068494239, -0.268414457837
N_SIV, 9.06358901486, 4.97059391867, 1.11145858907, 2.48541283581, 16.0, 2.48541283581, 4.91180054343, 13.0564354553, 13.0564354553, 16.0
B_SIV, 15.0007691685, 5.80186158883, 1.29733569087, 7.40828071927, 25.259212823, 7.40828071927, 10.471988329, 13.7222529517, 21.8887758921, 25.259212823
A_Z_SIV, -0.23321440002, 1.32207455974, 0.295624858689, -3.24335446999, 2.00660776079, -3.24335446999, -1.18552769996, -0.178026405975, 0.845944771734, 2.00660776079
N_CIII, 11.2754952174, 4.08705529182, 0.913893346031, 4.0396057951, 16.0384999809, 4.0396057951, 9.45550312635, 12.8565853364, 16.0384999809, 16.0384999809
B_CIII, 14.5558616824, 5.75110339813, 1.28598581438, 0.971157291755, 23.4389247876, 0.971157291755, 9.76585631928, 15.521703391, 20.2306742726, 23.4389247876
A_Z_CIII, -3.25412294156, 1.80144655039, 0.402815694449, -5.77585499513, -0.317492286469, -5.77585499513, -5.4392698671, -3.3118026376, -1.4515700083, -0.317492286469
