Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.8163640992, 0.0408348370815, 0.00384867408567, 20.7179267758, 20.8455690679, 20.7179267758, 20.8340494389, 20.8340494389, 20.8376348476, 20.8455690679
TEMP, 74.1917185152, 3.91117165551, 0.285427946661, 66.8756450862, 81.3104053016, 67.7427465989, 71.2393172425, 74.3140502731, 76.6322386582, 82.5759447114
B, 16.549634837, 2.32516941768, 0.204611499756, 12.1096725177, 19.9721366913, 11.3537649828, 14.8777043963, 16.925882714, 18.5130179786, 19.8492003352
A_Z, 13.876106552, 4.08904178095, 0.320171262788, 6.79468920916, 21.7739155397, 5.4704950236, 11.1961763421, 14.2273154734, 16.49201503, 21.0945880799
N_HI, 22.0291944209, 0.0266556356299, 0.00246293676771, 21.9965488193, 22.0485199911, 21.9581407102, 22.0121496215, 22.0436106617, 22.0485199911, 22.0485199911
B_HI, 19.1021947279, 11.0840987474, 0.533951674389, 0.00175702320644, 37.0628488136, 0.499733471655, 9.70248145165, 19.8651429387, 28.1048737655, 38.1747257566
A_Z_HI, 21.3242637531, 54.7970422547, 2.81570006996, -79.3870433236, 99.4919188192, -89.5152769271, -22.9255666544, 30.962524396, 69.0094493735, 96.4452098465
N_FeII, 15.5320827905, 0.07644055644, 0.00740605293554, 15.3448980175, 15.5879507706, 15.3002518798, 15.5023050855, 15.57081885, 15.5751199399, 15.5829208594
B_FeII, 18.9243699136, 1.02528429961, 0.0720455967889, 16.6848530611, 19.9727199027, 16.1541003381, 18.5185005024, 19.2961381349, 19.6944823455, 19.9329259232
A_Z_FeII, -0.162372749245, 12.8412959391, 0.821414054057, -20.8572454535, 22.7365057995, -20.8572454535, -11.6080360812, 0.714268256387, 9.74358569112, 24.1169950435
N_FeIIa, 13.3142959496, 0.189911695489, 0.0166043544097, 13.0195499468, 13.586632723, 13.0195499468, 13.133331389, 13.332095152, 13.4944761058, 13.586632723
B_FeIIa, 9.90473317097, 5.74549784747, 0.245599750216, 0.93324173094, 19.8592006954, 0.393298817775, 5.26353248877, 9.75876059066, 14.8437690395, 19.5758836758
A_Z_FeIIa, 2.89152482529, 53.8174891093, 2.65153996824, -87.2253956225, 99.1910354253, -96.4520603202, -41.5175979778, 8.76480903735, 42.0699370354, 93.1756254199
N_FeIIb, 13.0943861865, 0.173000577119, 0.0149762936239, 12.8329503943, 13.3804780654, 12.8316615732, 12.9695535127, 13.0686463657, 13.2361094177, 13.3804780654
B_FeIIb, 10.7769038573, 5.78657051512, 0.377928770483, 0.988003965307, 19.9549985717, 0.530639212597, 5.95471566503, 11.1743917879, 15.8111629787, 19.5701790099
