Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.0398513539, 0.0211661757623, 0.000856377814885, 20.0004971569, 20.0840703863, 19.9971783199, 20.0247425112, 20.0404121276, 20.0549174604, 20.0812794655
TEMP, 239.380806969, 10.9534286682, 0.464836626685, 215.49638399, 259.51161266, 218.974102039, 232.873738343, 238.184923884, 245.870724447, 263.088108752
B, 2.60848260482, 0.264385656897, 0.0123007402184, 2.13976171666, 3.15886821772, 2.06263822129, 2.4349122602, 2.60360522947, 2.79643879283, 3.09356236021
A_Z, -1.74266792596, 0.718286473561, 0.0326333788845, -3.04333555771, -0.415350847043, -3.03962970875, -2.24467501706, -1.69463695915, -1.24917496543, -0.391667586255
N_HI, 21.9500005774, 1.01112735438e-05, 4.14514730839e-07, 21.9499807947, 21.9500190762, 21.949979713, 21.9499940558, 21.9500006863, 21.9500071913, 21.9500190762
B_HI, 51.8857816498, 29.4416656727, 0.810428907382, 5.8802277504, 99.9403846385, 3.40422810215, 25.4797089319, 52.3083560291, 78.8586036672, 98.0885311613
A_Z_HI, -16.0134139013, 54.428145991, 1.81853435458, -99.6063175956, 80.046001891, -96.4849366029, -63.5559580591, -21.8099224732, 27.6336962721, 89.9016406399
N_FeII, 15.5477930121, 0.0573638859137, 0.00262210334269, 15.4374262142, 15.5997674268, 15.3947612633, 15.5322201138, 15.563494459, 15.5861407795, 15.5993144339
B_FeII, 18.9964020843, 0.939779634704, 0.040536003996, 16.9253099599, 19.9976807167, 16.3920345478, 18.5928412296, 19.2590322824, 19.6681920308, 19.9800943804
A_Z_FeII, -11.0391024337, 12.7168666149, 0.521961616998, -31.8874167549, 13.8439791209, -31.8220007374, -21.0438476726, -11.8701607938, -1.53664816651, 14.005534714
N_FeIIa, 13.279378704, 0.1718489938, 0.00651502970046, 13.0001697979, 13.5606722588, 13.0153584353, 13.1271975652, 13.277132573, 13.4221178803, 13.5832815894
B_FeIIa, 9.62209229092, 5.97736803172, 0.178903384801, 0.00883092325254, 18.9853133151, 0.29964685159, 4.24861453855, 9.49851806269, 15.0320606744, 19.5526717829
A_Z_FeIIa, 3.64533490495, 46.7356358454, 1.26863845648, -82.0656630505, 87.1845329365, -91.9092212815, -28.5790629905, 5.83841580595, 39.2035743887, 82.7703841958
N_FeIIb, 13.1271675413, 0.1740850022, 0.00661479113577, 12.8352423917, 13.3971488243, 12.8168177715, 12.983711548, 13.1425369953, 13.2783588385, 13.3918696112
B_FeIIb, 9.52348673503, 5.94311964812, 0.22486811411, 0.159474722114, 19.2305607424, 0.305004988441, 4.13425084908, 9.50334590138, 14.6154821574, 19.5087643284
A_Z_FeIIb, 0.550056614437, 56.9548664991, 1.87846824035, -97.99054249, 88.5459489712, -95.0450097813, -44.827322787, -1.94440177883, 50.5549722535, 92.7770533704
N_OI, 18.7108628893, 1.81798689403, 0.107711569003, 16.4884107086, 19.99909707, 15.9741488119, 18.3263004093, 19.1304388902, 19.7152931227, 19.9800621988
B_OI, 24.2286304318, 5.73946602763, 0.263440895415, 12.0737247095, 29.9952039868, 6.69710993434, 21.9948816651, 26.0021389329, 28.3868301504, 29.93401072
A_Z_OI, 0.106045344951, 2.83422882527, 0.0802418891744, -4.55026007026, 4.82735549266, -4.70728998808, -2.37775164621, 0.182349565709, 2.57331095746, 4.7027930782
N_OIa, 15.2877041068, 0.173298959424, 0.00699352337654, 15.0109086094, 15.5782385471, 15.0155440725, 15.135959534, 15.2904487096, 15.43455684, 15.5871782454
B_OIa, 9.34769656701, 5.81473715115, 0.167609309609, 0.0306072620937, 18.7529342565, 0.25622594537, 4.20213817399, 8.94572794369, 14.4327721085, 19.3510550266
A_Z_OIa, 24.718191521, 51.6924378342, 1.61073173001, -74.9729633679, 99.9329203313, -87.9354999131, -12.8576875661, 32.6612367444, 68.2653653037, 96.5746919034
N_OVI, 18.952967164, 1.06218858983, 0.0474435753911, 16.4904677339, 19.9986062818, 15.7947690793, 18.6965850495, 19.2862990164, 19.6452693692, 19.96765179
B_OVI, 16.7642959014, 8.79296207398, 0.310861402417, 1.86047125915, 29.9561550394, 0.990120835737, 9.53155876581, 17.6891623845, 24.4818436855, 29.6195992499
A_Z_OVI, 0.154326483054, 2.88317855254, 0.082289031194, -4.4026382537, 4.99887024473, -4.75375873085, -2.24918754691, 0.14257297385, 2.73288470598, 4.7723842878
N_CrII, 13.689107011, 0.172637600552, 0.00695866288563, 13.4105646159, 13.9699922419, 13.4180363063, 13.5352400201, 13.6779799968, 13.8404030561, 13.9820975133
B_CrII, 10.2166323615, 5.73445017369, 0.158519136068, 1.02654686659, 19.7738765155, 0.668485309466, 5.38902870868, 10.1373153286, 15.3711167719, 19.5483638441
A_Z_CrII, -1.3602091104, 58.0125658745, 1.73088757072, -99.1909791505, 89.8583431613, -96.1874264123, -52.1405555599, -1.54315391177, 47.9743347025, 94.6664477762
N_NiII, 14.2086306198, 0.175599446788, 0.00638449623878, 13.935615618, 14.4998787266, 13.9128277183, 14.0609939693, 14.2130583308, 14.3713973755, 14.4831857937
B_NiII, 10.142351771, 5.77687938635, 0.171130469028, 0.97657768608, 19.8617880236, 0.514888480046, 4.98538847667, 10.4149986686, 15.1728505768, 19.5254919401
A_Z_NiII, 0.0602739664714, 57.7122330324, 1.49523049768, -92.6373426786, 94.9295239495, -93.4411205539, -50.6356760804, 0.604188655404, 48.8672981801, 94.4907023316
N_NII, 15.3018173485, 3.24820822375, 0.195450560502, 7.09891243273, 18.236924734, 3.1962513674, 15.3052048234, 16.2699411623, 16.9465220275, 17.6818611736
B_NII, 22.5253367769, 6.42960470907, 0.335679424096, 8.03796994964, 29.9690982021, 5.33184996595, 19.6519023563, 24.2902901112, 27.2905578617, 29.7376313407
A_Z_NII, -0.146737964451, 2.86129008053, 0.0898611739938, -4.75104989501, 4.58067457982, -4.72874814507, -2.60425005332, -0.26321044434, 2.35856482564, 4.6300005528
N_SIV, 18.2838617328, 1.30935168822, 0.0615454671891, 15.9027564036, 19.9990572778, 15.5925033987, 17.2406137505, 18.4841128403, 19.4720351754, 19.9662723644
B_SIV, 19.0132598444, 7.42966381266, 0.316220194805, 4.48616112024, 29.9568887881, 1.86803035822, 14.1116114234, 20.3766294392, 24.9528682698, 29.4188098554
A_Z_SIV, -0.302802195153, 2.84995064845, 0.0744471914584, -4.95976484708, 4.55342324325, -4.75632484457, -2.72917067541, -0.514746396361, 2.15057379429, 4.79480256925
N_CII, 19.6823250195, 0.256209364218, 0.0119199405994, 19.2658104739, 19.9959675925, 19.1237682289, 19.5840640194, 19.7198505645, 19.8515123294, 19.9715967183
B_CII, 15.3717314469, 8.60428345073, 0.225854343934, 1.5292474692, 29.9431949926, 0.78051450671, 8.02623281968, 15.3659735271, 22.8872759324, 29.3132001526
A_Z_CII, -0.133376333093, 2.88691098037, 0.084553599813, -4.73306853466, 4.64180780281, -4.75509299604, -2.75867227509, -0.12101932835, 2.25752301985, 4.64130778899
N_SiII, 15.8656102769, 4.82070216322, 0.238440841264, 4.07782449257, 19.9830377695, 2.01612145351, 14.94793789, 17.4129135587, 19.3904917611, 19.9633985455
B_SiII, 13.073918738, 7.6885640101, 0.26327519514, 0.106358477942, 27.302687318, 0.954676989534, 6.80404890911, 12.3308222137, 18.4989380101, 28.7413712153
A_Z_SiII, 0.270510792992, 2.88611407861, 0.0944570719649, -4.50459908831, 4.84052132832, -4.73798339027, -2.17050275267, 0.459746133718, 2.79902285771, 4.7190929665
N_AsII, 11.9950977112, 5.63862616205, 0.222276709679, 1.49493861903, 18.6971823395, 0.79468439014, 7.15807131039, 13.8773816492, 17.0151484966, 18.504535322
B_AsII, 15.5792960403, 8.47546459632, 0.259604151703, 1.72644795603, 29.971293823, 0.819755198257, 8.47277002204, 15.91569847, 22.7988841114, 29.2926308172
A_Z_AsII, 0.048311797727, 2.85639060695, 0.0842713968571, -4.84673579114, 4.64279523594, -4.77005780969, -2.37609585764, 0.0562431173562, 2.42138677554, 4.79288524469
N_CrIII, 14.4413673196, 4.16069511107, 0.188929573566, 3.73000240811, 19.0457718776, 2.18622370801, 14.4071935279, 15.5739618645, 16.9426810663, 18.6155046116
B_CrIII, 12.0523738019, 6.86563901998, 0.260612059618, 0.00555048611658, 25.9804085863, 1.3932841034, 7.01353615182, 10.6099412307, 16.1599665117, 27.9755091342
A_Z_CrIII, -0.213660475795, 2.86407485901, 0.0840911096694, -4.77513498217, 4.6500783225, -4.73914313856, -2.63766597518, -0.379117636539, 2.27725790628, 4.72825835023
N_CIII, 10.2601019532, 5.65464149983, 0.159652583463, 0.869301114091, 19.5421925053, 0.711140663462, 5.64641158746, 10.2520541424, 15.1180071861, 19.4636339982
B_CIII, 14.6707698757, 8.62249219178, 0.257741583777, 0.426835295213, 28.5208851499, 0.875502727177, 7.11885991342, 14.182270821, 22.2967940641, 29.2820088685
A_Z_CIII, -0.0586437597202, 2.91119844166, 0.0835813378422, -4.45715594069, 4.98262528027, -4.7060630619, -2.65162933287, -0.00952571732708, 2.49283120678, 4.79455157901
N_ZnII, 13.4566555093, 0.203798339285, 0.00815640258853, 13.143300533, 13.7991587496, 13.122221525, 13.2814207513, 13.45640775, 13.6289386146, 13.7840412129
B_ZnII, 9.93763268539, 5.9565467729, 0.176700770977, 0.010534536603, 18.9296935153, 0.486039223223, 4.52107569002, 9.97687177063, 15.2841800838, 19.5401789266
A_Z_ZnII, -0.40403864177, 58.359042827, 1.75025973279, -94.0528155395, 93.5710804104, -94.6388524902, -52.3123313141, 0.0749427619018, 49.1660409511, 93.5074907164
