Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 19.767790537, 0.0, 3.5527136788e-16, 19.767790537, 19.767790537, 19.767790537, 19.767790537, 19.767790537, 19.767790537, 19.767790537
TEMP, 358.296291229, 224.791244839, 21.9877813801, 38.0570479766, 763.198531273, 38.0570479766, 158.677220438, 339.681878216, 534.391954307, 763.198531273
B, 2.98989456226, 0.375377686709, 0.0352010725467, 2.42272491843, 3.87649340403, 2.11420424469, 2.7763332094, 3.03855538599, 3.24069630171, 3.75663548823
A_Z, 48.675801636, 1.17793838057, 0.117271675419, 46.4252874627, 49.9811648209, 44.9802470543, 48.5124199648, 48.8675402717, 49.3823509195, 49.9811648209
N_HI, 21.9424898575, 0.0, 0.0, 21.9424898575, 21.9424898575, 21.9424898575, 21.9424898575, 21.9424898575, 21.9424898575, 21.9424898575
B_HI, 46.5742341131, 28.8717256585, 2.68746387426, 1.51298009459, 95.9627913701, 1.51298009459, 24.0891470232, 42.2739080252, 71.9629145651, 95.9627913701
A_Z_HI, 13.357785896, 57.0854853605, 5.55695858724, -89.8957854287, 95.4507411154, -91.0283807965, -27.9688681889, 23.1671229188, 62.7127280798, 95.4507411154
N_FeII, 15.5636927673, 5.3290705182e-15, 5.3290705182e-16, 15.5636927673, 15.5636927673, 15.5636927673, 15.5636927673, 15.5636927673, 15.5636927673, 15.5636927673
B_FeII, 18.9961166198, 0.525598827902, 0.042319331609, 18.3848071195, 19.6651095994, 17.5789017544, 18.7038856071, 18.9437589848, 19.6651095994, 19.6651095994
A_Z_FeII, -27.274475317, 6.2595913506, 0.576117785635, -38.5538207312, -14.6183654023, -37.7183271865, -32.1775375415, -27.6431814908, -25.2296052756, -9.59737504961
N_FeIIa, 13.4696889112, 0.119312810329, 0.0115097072836, 13.3333104968, 13.5748594804, 13.3333104968, 13.3525755777, 13.5748594804, 13.5748594804, 13.5748594804
B_FeIIa, 7.94511878372, 6.08230894489, 0.622705516829, 0.48658959652, 18.3391436631, 0.675455555713, 2.33825627562, 6.62860902708, 13.6790012978, 19.1428795429
A_Z_FeIIa, 5.14239387605, 35.2435088572, 3.17120047903, -63.6878128789, 74.9657288892, -77.2510387209, -14.335919767, 2.04830641566, 21.1367342074, 73.6239226161
N_FeIIb, 13.2181293636, 0.102378872919, 0.0108301246752, 13.0089705667, 13.2947731724, 13.0089705667, 13.2095122183, 13.2489913088, 13.2947731724, 13.2947731724
B_FeIIb, 5.65320994278, 6.25153944835, 0.626562435024, 0.309242641521, 17.1630282981, 0.309242641521, 0.309242641521, 3.14075581439, 10.6587186657, 18.1699164275
A_Z_FeIIb, 59.2850604708, 36.2785217609, 2.3878869409, -9.1259298221, 90.6184389575, -8.72340942499, 23.7048021229, 86.9562412148, 87.9205974236, 91.8710733664
N_OI, 19.7372344418, 0.000232029990538, 0.0, 19.7371408239, 19.7378095232, 19.7371408239, 19.7371408239, 19.7371408239, 19.7371408239, 19.7378095232
B_OI, 26.8441799253, 4.09749121383, 0.416355918278, 19.7471332169, 29.9599143541, 13.7975419808, 25.751860727, 28.5382995004, 28.9730237813, 29.9075976591
A_Z_OI, -8.56856860632, 5.85363429704, 0.612717680525, -16.7871461918, 2.13132418533, -16.3752967658, -13.2366760932, -10.0957255695, -3.16681534199, 2.75950764631
N_OIa, 15.2782158818, 0.046476925413, 0.00452137552105, 15.171002631, 15.303535781, 15.171002631, 15.2141547533, 15.303535781, 15.303535781, 15.3565548096
B_OIa, 10.4040109803, 5.68115158313, 0.50436812971, 1.34137700342, 19.9403816164, 0.909215324113, 6.46425934999, 10.8718979219, 15.0455308937, 19.5608059913
A_Z_OIa, 18.0914709425, 51.222377237, 4.63706290737, -72.5321658243, 99.5688888861, -78.5426159885, -20.5210133395, 23.7062103248, 55.0138554244, 99.5688888861
N_OVI, 19.5138919998, 0.793891550883, 0.0357586277788, 17.0305823594, 19.9039858197, 17.0305823594, 19.6917394921, 19.6917394921, 19.8878037757, 19.9039858197
B_OVI, 15.6054874499, 8.61132040978, 0.780417523371, 1.94028975637, 29.2960217592, 1.15830963138, 8.45019052486, 15.9661292825, 23.6010564228, 29.2589725344
A_Z_OVI, -5.47763017891, 6.76029991537, 0.498193124804, -18.7913500281, 2.89770023805, -18.8707403014, -11.5202929738, -3.64943326637, -0.00665425029465, 2.87989886951
N_CrII, 13.6648665387, 0.14575856981, 0.0132559069792, 13.4815268042, 13.8997467995, 13.4815268042, 13.4815268042, 13.7462822652, 13.7462822652, 13.8997467995
B_CrII, 9.59280484753, 6.2771603058, 0.565030602636, 0.643483945466, 19.4278423613, 0.643483945466, 3.46019263086, 9.51824625635, 14.7601626321, 19.4881936777
A_Z_CrII, 1.95957225446, 59.0868190711, 5.50286067651, -85.4481031434, 97.8518228932, -93.2916910179, -47.334939025, -4.07902545818, 57.9900631166, 94.5639696059
N_NiII, 14.2061318922, 0.222057764871, 0.0198641306648, 13.9435361035, 14.4362177892, 13.9435361035, 13.9435361035, 14.2146883582, 14.4362177892, 14.4362177892
B_NiII, 10.5485272435, 5.76941954107, 0.510461193944, 1.12554091099, 19.9243580423, 0.231593417587, 5.2896748353, 10.9155116159, 16.1238229475, 19.7552910551
A_Z_NiII, 0.287021648617, 60.1032607488, 5.2461215393, -99.7297805703, 89.4790646121, -99.3124188497, -52.2742341663, 5.63760045174, 55.5062786152, 92.6212443387
N_NII, 14.2259607151, 2.39640934412, 0.256036340496, 9.92666726688, 17.4167596507, 4.66815321071, 14.2670539359, 14.4416655955, 14.9297086308, 17.3050984229
B_NII, 17.2639969431, 8.41342520798, 0.825043182429, 3.94632249767, 29.9334571999, 2.4456696999, 11.5554556972, 17.1794575547, 24.8343363575, 29.9334571999
A_Z_NII, 24.0512458716, 6.82095437814, 0.585843825062, 11.3607880158, 34.8782816194, 10.3854385931, 18.5908815996, 24.9668424384, 29.2000109889, 34.6687060526
N_SIV, 19.5739577645, 0.892914159481, 0.0992196253351, 16.0779212582, 19.9366137378, 16.0779212582, 19.7339504084, 19.8112148086, 19.9366137378, 19.9366137378
B_SIV, 11.5489493719, 7.36285698651, 0.70897532117, 0.276580490031, 25.7123141689, 0.276580490031, 5.15287207273, 11.8399518177, 16.8864927894, 29.7437745026
A_Z_SIV, -6.94202530646, 4.51239527802, 0.377617390252, -15.3212857204, 1.55633159383, -15.6313434417, -9.66064615076, -6.97401155018, -3.94212348558, 1.42684854894
N_CII, 19.9784391617, 0.00211999534546, 0.000228310193176, 19.9773001504, 19.9823850225, 19.9773001504, 19.9773001504, 19.9773001504, 19.9773001504, 19.9823850225
B_CII, 12.8903434164, 7.91806693719, 0.699283614942, 0.345309970972, 26.2601129138, 0.982350857588, 6.19796181556, 12.1436566068, 19.2144424142, 28.6934702182
A_Z_CII, -1.87441774693, 5.06571394335, 0.448506306334, -11.0936983975, 6.98570822304, -11.5842043539, -6.18760532913, -1.28801370993, 2.15471580151, 6.85904031656
N_SiII, 17.9506103787, 2.23848108618, 0.179565927835, 15.121822215, 19.6932979391, 14.7036427904, 17.4375387383, 17.8864355481, 19.5099238167, 19.6932979391
B_SiII, 15.6004001549, 8.67289945829, 0.827143272298, 1.4094544493, 29.1888556504, 0.672586311017, 7.43005232071, 16.4312916132, 22.8149772992, 29.0312191792
A_Z_SiII, 11.7867378514, 4.78430260806, 0.240658908944, 1.45781396954, 19.4081103685, -1.69153533763, 10.6726523558, 12.8162265804, 15.0757813445, 17.905805051
N_AsII, 19.6185406804, 0.0, 0.0, 19.6185406804, 19.6185406804, 19.6185406804, 19.6185406804, 19.6185406804, 19.6185406804, 19.6185406804
B_AsII, 14.2629674271, 8.89304371986, 0.843988686242, 0.53001902153, 27.5739869695, 1.08442242437, 6.42573592048, 13.9380974006, 23.0799072044, 28.6129644457
A_Z_AsII, -22.8338861034, 5.2710403458, 0.527356976232, -31.3498740782, -12.3952296025, -31.3498740782, -26.5881129702, -23.9424391378, -18.880827359, -12.3952296025
N_CrIII, 12.6099556883, 5.36703299435, 0.533750515617, 1.91962150843, 18.8889105625, 0.892342684151, 8.88008970965, 14.0760255682, 16.8362907266, 18.6592533721
B_CrIII, 11.3578015653, 7.80611884871, 0.771948451894, 0.589364009319, 25.9052443211, 0.762856668681, 4.39445391922, 9.81174196744, 17.1943956912, 28.426559306
A_Z_CrIII, -19.2522507117, 4.85528013749, 0.393327634078, -27.6314928874, -9.31163643284, -28.8847177892, -22.7156076649, -19.0920523768, -16.0308722583, -9.96478541735
N_CIII, 11.3442091844, 5.07871377258, 0.445698467799, 2.61276439851, 19.7876218869, 1.09782314594, 7.41799454422, 11.9065168284, 16.3054079654, 19.209353004
B_CIII, 17.0893797395, 8.5192427412, 0.762080678664, 1.27079995947, 29.9597943172, 0.747065384576, 10.3092132305, 18.9547717139, 24.7746592388, 29.7070049784
