Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.0501822438, 0.0209674690518, 0.000530269141306, 20.0094659781, 20.0909611887, 20.0074177116, 20.0362303196, 20.0513631533, 20.0641057889, 20.0897788057
TEMP, 287.538829094, 18.0081810931, 0.805788284853, 251.287528161, 324.516634063, 249.798083334, 277.240193404, 288.004119527, 298.132923016, 323.754166876
B, 1.51969805559, 0.641196619531, 0.045211384077, 0.673041882673, 3.18571430493, 0.831551975129, 1.15069678739, 1.36219414719, 1.59142389239, 3.55049816624
A_Z, 1.00500277077, 1.03181067185, 0.0786725861271, 0.00104228759421, 3.66214624096, 0.0272068770715, 0.308214997065, 0.773195076924, 1.2187284927, 4.07532195717
N_HI, 21.9173587624, 0.0467641635204, 0.00136072108163, 21.8501502252, 22.00764617, 21.8525991203, 21.8786484814, 21.9098588539, 21.9491093277, 22.0233859658
B_HI, 51.7307235891, 29.0161293721, 0.687528427906, 5.02300509921, 99.9008415942, 2.30015388704, 26.6813873225, 52.9571930606, 77.1459289071, 97.8048746207
A_Z_HI, -21.7148885503, 53.0519941534, 1.29507092879, -99.9949635829, 75.9959749028, -96.7392089713, -67.1126347443, -29.5021036925, 18.422046839, 87.660809757
N_FeII, 15.5486035377, 0.049542351602, 0.00133990956436, 15.4491427914, 15.5999856734, 15.4178264723, 15.5284194245, 15.5626953179, 15.5846377707, 15.5987175734
B_FeII, 18.8277309593, 1.10682251103, 0.0308278863009, 16.6016211425, 19.9996964012, 15.8292701232, 18.382114216, 19.1372066685, 19.6473186992, 19.9610448327
A_Z_FeII, -14.2106059318, 13.6254641516, 0.298473440343, -36.4809594552, 13.9087378756, -34.9430012392, -24.3440260487, -17.1676928521, -5.03423322243, 16.1736515288
N_FeIIa, 13.2843613127, 0.169311837958, 0.00479402397126, 13.0000574925, 13.5617357169, 13.013285776, 13.1331874954, 13.2690021379, 13.4332069918, 13.583445335
B_FeIIa, 9.68038590215, 5.85032864762, 0.103487757358, 0.102175189829, 18.9378085716, 0.453331620789, 4.49732956703, 9.55631737981, 14.7776550572, 19.4344592186
A_Z_FeIIa, 5.34765572872, 46.8919584043, 0.884725889554, -82.2537938956, 88.6484787732, -91.2084014625, -28.0537874793, 8.72773321506, 40.2555505922, 83.4305470677
N_FeIIb, 13.1191628996, 0.175713082882, 0.00435998014282, 12.8352287154, 13.3994333514, 12.8163250873, 12.9691580491, 13.129325697, 13.2763462522, 13.3890590521
B_FeIIb, 9.9285601569, 5.86493678827, 0.137433896713, 0.0868919117079, 19.0795422403, 0.347486590016, 4.93409104006, 9.92103315498, 14.9845583467, 19.5111430083
A_Z_FeIIb, 1.6374575277, 58.2616247747, 1.34184269131, -97.865225, 92.3221618258, -95.150852271, -46.5795155362, 0.499531722582, 52.6355470092, 95.3377364644
N_OI, 18.6261674011, 1.77063740581, 0.0781206774002, 16.4103125329, 19.9980542249, 15.490654748, 18.1705387974, 19.0755265407, 19.6273730114, 19.9702145739
B_OI, 23.6208054889, 5.79661452428, 0.191564271315, 11.3795736344, 29.9931791807, 7.65360949916, 21.2286610817, 25.2275367485, 27.9761705291, 29.7653970493
A_Z_OI, 0.650006506052, 25.9265289554, 0.595236634974, -47.9294967759, 43.8104437963, -46.2981840906, -19.8733765316, 2.11860576904, 20.6547062022, 45.9898340026
N_OIa, 15.2863786408, 0.177384945849, 0.00467080660046, 15.0012166404, 15.5728335734, 15.0095665095, 15.1284134568, 15.2790717347, 15.4423712262, 15.5864465832
B_OIa, 9.01504565661, 5.91691222081, 0.12115724278, 0.00771153600604, 18.8049144633, 0.302760935902, 3.6682962974, 8.60639211272, 14.0903283107, 19.327917135
A_Z_OIa, 23.2227363206, 52.7496813895, 1.14775806079, -77.5991458736, 99.9699121229, -91.1521098482, -16.4103973665, 32.0294970061, 67.5805276241, 97.0104439989
N_OVI, 18.9088458379, 1.16328449914, 0.0386846898875, 16.2997550762, 19.9998795368, 15.6613436463, 18.5899762846, 19.3339700149, 19.6752824401, 19.9656096307
B_OVI, 17.342489407, 8.68607604458, 0.203953334841, 1.96550257659, 29.9955458656, 0.918692244826, 10.3610552768, 18.6327593963, 24.9218748639, 29.6333273429
A_Z_OVI, 1.54469886714, 27.0930750421, 0.594346707905, -46.0516365465, 47.1249955209, -46.4777536452, -20.208567464, 1.9970515707, 23.7846133377, 46.7831591015
N_CrII, 13.7026860052, 0.16982548458, 0.00460138116614, 13.4276197884, 13.9884291138, 13.4168441974, 13.5567008003, 13.7028825263, 13.8501939234, 13.9833665215
B_CrII, 10.04633918, 5.8130110132, 0.107156088332, 0.530203513231, 19.4822690244, 0.454352036974, 5.11459470241, 9.95300290071, 15.1400602101, 19.4530744434
A_Z_CrII, -0.380080316158, 57.8956623046, 1.11515470882, -99.6308473615, 88.9219060378, -96.1448898443, -51.3141612767, -0.43573557734, 50.0072509632, 94.2695973697
N_NiII, 14.1992593712, 0.17553211378, 0.00415438071191, 13.9025297355, 14.471678828, 13.9122007696, 14.041638362, 14.2010087769, 14.3566141768, 14.4843259703
B_NiII, 9.99217745506, 5.74006058778, 0.102309028984, 0.000254195253503, 18.8491272306, 0.441491476843, 5.09200256077, 10.1335941777, 14.8915390705, 19.4908169832
A_Z_NiII, -0.0428723029943, 57.8227858059, 0.987432709394, -91.463690854, 97.6069080367, -94.5841635686, -51.9738355542, -0.00360789939108, 51.0172193066, 95.5122591497
N_NII, 14.7147917361, 3.22877825241, 0.133285808944, 6.15870734923, 18.1684276247, 3.14565436599, 14.4969104057, 15.4416875915, 16.406309847, 17.6160689995
B_NII, 16.3778401685, 8.04899961718, 0.254552803009, 3.80175806842, 29.9974024861, 2.14150977022, 9.55498230918, 16.3769987758, 23.5195919832, 29.4249687592
A_Z_NII, 15.2565481661, 24.299668842, 0.949103960213, -33.063751258, 49.9694078477, -43.154028921, -2.0913998392, 22.6660600094, 33.3118040281, 47.2611587588
N_SIV, 18.2188039026, 1.36308847828, 0.0489012631647, 15.7863512781, 19.9996898731, 15.4847830927, 17.0928433064, 18.4533515491, 19.4623280263, 19.9681244988
B_SIV, 19.0383113547, 7.42912811828, 0.226258817931, 4.2189869301, 29.9513572756, 1.91354035526, 14.3752707867, 20.4265368024, 25.0003144726, 29.4018409614
A_Z_SIV, -6.29509241449, 22.5809041029, 0.621729391175, -43.4259865833, 41.0783391957, -42.2946623407, -23.8513567105, -8.94622415545, 8.93443375231, 43.4438094416
N_CII, 19.65084221, 0.252119284334, 0.00733606318995, 19.2024065262, 19.9987822502, 19.0612573421, 19.5227293937, 19.6930067076, 19.8355181287, 19.9750249567
B_CII, 14.695555811, 8.62798745286, 0.17129606416, 0.425484193295, 28.6796426413, 0.784925049129, 7.10353309362, 14.6254473079, 22.0186655659, 29.1842638085
A_Z_CII, -8.5372675841, 28.1874604094, 0.561118634415, -49.9333244322, 42.0361450874, -48.2519584274, -33.3146271095, -12.5645997397, 13.7840318357, 45.683964897
