Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 19.4326774229, 0.0, 0.0, 19.4326774229, 19.4326774229, 19.4326774229, 19.4326774229, 19.4326774229, 19.4326774229, 19.4326774229
TEMP, 186.96547527, 13.0815846815, 2.78900322516, 154.044209104, 192.163569927, 154.044209104, 192.163569927, 192.163569927, 192.163569927, 192.163569927
B, 16.0706597025, 1.02857483292, 0.219292891203, 12.9538659292, 16.4531161311, 12.9538659292, 16.4531161311, 16.4531161311, 16.4531161311, 16.4531161311
A_Z, 14.2172155138, 1.2417138581, 0.264734284056, 11.9276585033, 14.9005372234, 11.9276585033, 14.8817945557, 14.8817945557, 14.9005372234, 14.9005372234
N_HI, 22.0263594672, 3.5527136788e-15, 7.57441101327e-16, 22.0263594672, 22.0263594672, 22.0263594672, 22.0263594672, 22.0263594672, 22.0263594672, 22.0263594672
B_HI, 23.5878237003, 13.7686724271, 2.93549082472, 2.02079060702, 37.410902085, 0.142286533497, 3.78140007028, 32.6346756364, 34.0064242689, 37.410902085
A_Z_HI, 22.4401139061, 34.4158547109, 7.33748487835, -31.1028060586, 88.4363930479, -43.0380239179, 2.74602642461, 24.3663384886, 49.2890815673, 88.4363930479
N_FeII, 15.2682924663, 5.3290705182e-15, 1.13616165199e-15, 15.2682924663, 15.2682924663, 15.2682924663, 15.2682924663, 15.2682924663, 15.2682924663, 15.2682924663
B_FeII, 16.3591221702, 1.24178114311, 0.264748629268, 14.6689718575, 17.2880612009, 14.1846118072, 14.6689718575, 17.2880612009, 17.2880612009, 17.2880612009
A_Z_FeII, 29.8646682591, 3.82955668144, 0.816464227808, 23.7748403154, 32.9563564363, 22.5338615399, 28.7826403324, 32.9563564363, 32.9563564363, 32.9563564363
N_FeIIa, 13.4822482686, 0.00526457605228, 0.00112241138565, 13.47254087, 13.4851033859, 13.47254087, 13.4851033859, 13.4851033859, 13.4851033859, 13.4851033859
B_FeIIa, 4.33629818187, 2.85478750704, 0.608642741544, 0.428816901804, 7.63765990982, 0.428816901804, 0.945408098858, 5.29868856088, 6.85743240659, 9.28425448799
A_Z_FeIIa, -7.85178716267, 30.3335029591, 6.46712456046, -47.830363705, 47.4559530954, -52.4975009244, -34.1088189743, -10.787869149, 11.3723350196, 47.4559530954
N_FeIIb, 13.2868074044, 3.5527136788e-15, 7.57441101327e-16, 13.2868074044, 13.2868074044, 13.2868074044, 13.2868074044, 13.2868074044, 13.2868074044, 13.2868074044
B_FeIIb, 14.0409422537, 4.96099299559, 1.05768726049, 8.2858475322, 19.9385734584, 3.61647453539, 8.2858475322, 12.9812972286, 19.9385734584, 19.9385734584
