Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.0210710264, 0.017647777786, 0.00170217945456, 19.9906765321, 20.0487726662, 19.9906765321, 19.9991455138, 20.0279753433, 20.0279753433, 20.0487726662
TEMP, 159.09356079, 4.13936807954, 0.401166821095, 153.824254557, 166.129401795, 153.824254557, 154.624237663, 159.545356149, 162.12194837, 166.129401795
B, 0.74171749278, 0.0536966817397, 0.0051101109438, 0.67233606657, 0.872199559963, 0.657747528546, 0.700589827927, 0.731786553868, 0.772018561148, 0.872199559963
A_Z, 2.72035005332, 0.104712594793, 0.00840110618191, 2.52310098926, 2.88788790088, 2.52310098926, 2.6607386735, 2.7299456665, 2.78247875826, 2.95017041635
N_HI, 22.1794100401, 0.00932377780014, 0.000926589125031, 22.172020695, 22.1956387862, 22.172020695, 22.1750593921, 22.1750593921, 22.1750593921, 22.1956387862
B_HI, 20.1787817759, 11.8235319592, 0.562880782815, 0.327876912475, 38.4211316612, 0.572298764119, 9.76193563949, 21.0831316713, 30.3470138321, 39.1679575018
A_Z_HI, -94.4092915846, 5.41059697924, 0.38937561689, -99.9792009218, -82.7130427438, -99.8505364427, -98.4890255958, -96.2435559531, -92.022418331, -79.5758818935
N_FeII, 16.9536139632, 0.0417407194178, 0.00412205371626, 16.9223816975, 17.0177130351, 16.9223816975, 16.9223816975, 16.9385141975, 16.9978177997, 17.0177130351
B_FeII, 29.9226148012, 0.0643756708485, 0.00625438774015, 29.7517829491, 29.9979773366, 29.7279505009, 29.8820669226, 29.955695433, 29.9562223885, 29.9885792407
A_Z_FeII, -44.4868334141, 2.6877444007, 0.222602265952, -49.6842077372, -38.4605323132, -49.8237359379, -46.224343694, -44.4798097217, -42.8296658331, -38.4668652613
N_FeIIa, 15.4206419134, 0.044038990825, 0.00432804489549, 15.3648526569, 15.51170476, 15.3648526569, 15.3721133101, 15.4358015612, 15.4507609069, 15.51170476
B_FeIIa, 29.8390822051, 0.183185684419, 0.0161427686895, 29.4953641744, 29.9960467437, 29.1453669071, 29.7752125302, 29.8947573737, 29.9746308727, 29.9904158707
A_Z_FeIIa, 54.3898075994, 4.51399607782, 0.396167973864, 45.5594058585, 63.0409080235, 45.8747679759, 51.2349104396, 54.2567351952, 57.3752044129, 63.5029754206
N_FeIIb, 14.9802815121, 0.0330854706554, 0.00327472366959, 14.9121895252, 15.0196486478, 14.9121895252, 14.9657322899, 14.9664666621, 15.0195140805, 15.0196486478
B_FeIIb, 29.4847380293, 0.460410309359, 0.0382511026677, 28.5109129126, 29.9770438395, 28.0371167019, 29.1943056105, 29.675734544, 29.7926411691, 29.9770438395
A_Z_FeIIb, 30.8352398353, 5.73849824774, 0.525534851558, 20.6320268644, 42.9018375346, 17.8797850693, 27.4737262101, 31.1772732999, 34.6097937019, 41.3835880487
N_SiII, 19.9236186264, 0.0659040297069, 0.00643475136643, 19.8099452236, 19.9899720246, 19.7527958082, 19.8962871973, 19.9474215385, 19.9689583006, 19.9875796671
B_SiII, 29.4400722438, 0.541165717313, 0.0478038154686, 28.375451987, 29.9904419155, 27.8726934861, 29.2792799146, 29.6421401779, 29.8172702297, 29.9904419155
A_Z_SiII, -14.8142861095, 6.11657257617, 0.558196115282, -25.9905337253, -1.93894568114, -27.0398917208, -18.8089024626, -15.1008624055, -10.4310087077, -2.61700468285
N_OI, 19.8840360377, 0.0871468416811, 0.00840264270218, 19.640133094, 19.9949183068, 19.640133094, 19.8400830798, 19.8896479694, 19.9579174694, 19.9949183068
B_OI, 25.5877902545, 1.77452838368, 0.128196538586, 22.4487876423, 29.2921191331, 22.4487876423, 24.399838016, 25.3865146461, 26.7799736579, 29.2921191331
A_Z_OI, -40.744226522, 6.44756443239, 0.608012142017, -54.7052239704, -30.4191544031, -53.5499244024, -45.0084727248, -40.6842741541, -35.8833126427, -27.830171996
N_OVI, 19.3735616018, 0.125888480435, 0.0125453882722, 19.266112601, 19.5288039289, 19.2082768781, 19.2753923314, 19.2802221377, 19.5288039289, 19.5288039289
B_OVI, 22.1654250289, 9.12528196595, 0.791683080854, 2.92741428342, 29.9181202986, 1.06005229291, 16.0046833499, 27.5142377941, 29.1388751276, 29.786677541
A_Z_OVI, -72.9679637053, 21.2255155593, 2.11001093598, -99.9811363047, -35.2083378426, -99.5706155479, -92.2394476395, -74.3782743272, -60.6470414385, -29.3456152689
N_CII, 19.9780246231, 0.00164366300073, 0.000164161494323, 19.9761080995, 19.9806445431, 19.9761080995, 19.9761080995, 19.9791488306, 19.9791488306, 19.9806445431
B_CII, 16.8257901804, 8.65490269112, 0.52826985104, 0.994261356547, 29.2697745008, 1.01663742241, 9.89204440963, 17.6614283598, 24.6107580694, 29.4183549633
A_Z_CII, -90.712031562, 8.25643073327, 0.802258007328, -99.9942949179, -71.3711139453, -99.6654718515, -97.5446637877, -92.847946543, -85.6473866516, -69.1879574246
