Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.04947992852, 0.00607696932619, 0.000426021716201, 1.03822557451, 1.06124255968, 1.0372249431, 1.04536850057, 1.0497270653, 1.05355860649, 1.06114963275
v01, 30.0303854026, 0.280524935006, 0.014200426457, 29.5714336606, 30.495444006, 29.5242507854, 29.7922023053, 30.0458457567, 30.2786200413, 30.4716754506
b1, 13.9674919928, 1.1515669197, 0.103697003837, 11.8289195627, 16.2217881964, 11.8493121005, 13.2047042331, 13.8765045288, 14.7140183535, 16.5789206452
N1, 13.9326635237, 0.136871475833, 0.0124124073273, 13.6607169232, 14.1890052167, 13.6460205693, 13.8392392229, 13.9401109188, 14.0241643157, 14.1811867884
v02, -11.0051071151, 0.292368631918, 0.0133639002649, -11.4895398609, -10.56263907, -11.4797284384, -11.2609561947, -10.9955570777, -10.7480921609, -10.5378730178
b2, 13.2450702272, 1.86117044628, 0.174177071419, 9.59899633867, 16.2877784911, 9.9401555683, 11.8973493271, 13.305419869, 14.4778752673, 17.0005556512
N2, 14.0038565706, 0.231256360697, 0.0215728402524, 13.6341552307, 14.4390102795, 13.5862914364, 13.8274332199, 13.9918647097, 14.2010437972, 14.4122666441
v03, -80.1487719776, 0.257631457551, 0.012818133182, -80.4969364402, -79.6517165409, -80.4896286793, -80.3563366243, -80.2129539376, -79.9586025489, -79.5717405643
b3, 13.4571972365, 0.900739544519, 0.0816247971286, 11.7622532598, 15.2473089847, 11.8416679543, 12.8294131292, 13.450070831, 13.9841880168, 15.4201485992
N3, 14.2490927592, 0.10537610848, 0.00959062521843, 14.0545090341, 14.4517694435, 13.9906454203, 14.1905367108, 14.2528435064, 14.321614049, 14.4368641869
Osc, 1.83695087
GAMMA, 1855200000.0
