Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 13.7596708167, 0.0591276021708, 0.00514210621278, 13.6515205068, 13.8596166231, 13.6435006944, 13.7177607346, 13.769466862, 13.800244791, 13.8558437737
TEMP, 251579767418.0, 320177719939.0, 31883953837.8, 3477743.23035, 9.42802470748e+11, 888766946.14, 14238501934.4, 31504388182.1, 465856791615.0, 994985709517.0
B, 0.32465143982, 0.0355286334378, 0.00261254196483, 0.268152680089, 0.402891632451, 0.262710668946, 0.297823610619, 0.323300293567, 0.344966744297, 0.402681933766
A_Z, -24.2921627924, 0.0549997449078, 0.00482333234215, -24.366527232, -24.1762458926, -24.365035269, -24.3297111823, -24.2987182369, -24.2613781668, -24.1638292345
H22.708428, 14.5520725083, 0.0418966169147, 0.00356596994219, 14.4796985501, 14.6296455832, 14.4760437624, 14.5190467107, 14.5560251519, 14.5809882488, 14.6280712526
T2.708428, 551.534616269, 48.680156502, 3.19438784054, 441.684389382, 636.3576118, 453.060885743, 521.834141145, 554.68181409, 579.435949066, 653.692456907
B2.708428, 30.9271061693, 2.15210206504, 0.163812719844, 27.1646288179, 35.5051948648, 27.1646288179, 29.2815198757, 30.706271404, 32.4237762744, 35.5361404407
H22.709807, 14.8496774845, 0.0147206497526, 0.0010622599046, 14.8233550595, 14.8780963796, 14.8233550595, 14.8381854072, 14.8488959056, 14.8600285425, 14.878602024
T2.709807, 377.417921391, 19.4035928465, 1.33908559957, 341.374908539, 414.720047176, 341.610372802, 365.165669605, 376.296228476, 391.580228077, 415.946170132
B2.709807, 39.0215732823, 0.00440154976796, 0.000423016745445, 39.0159874059, 39.0289310933, 39.0159874059, 39.0168951639, 39.0207463231, 39.0245925704, 39.0302903586
N_HI, 20.9600034957, 0.000116471187874, 9.00187960875e-06, 20.9598108178, 20.9602838001, 20.9597973192, 20.9599285535, 20.959987671, 20.9600799491, 20.9602760308
B_HI, 50.3980611675, 28.9215380613, 1.19868160366, 1.66733760983, 95.686692601, 2.21595784232, 24.6859940998, 51.5120020273, 75.6311166903, 97.4163932499
A_Z_HI, 7.37479805671, 58.193829179, 2.3829648399, -89.2361640958, 98.0412176462, -93.27345409, -41.1409460812, 9.12943204301, 56.4947071417, 96.1509336486
