Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.85633152, 0.0092588750009, 0.000555488122524, 14.8367711511, 14.8734411115, 14.8379138919, 14.8511929812, 14.8555133012, 14.8612049928, 14.8757688505
TEMP, 5524026271.84, 7253828040.53, 718999177.43, 1196532.55739, 22341327848.8, 61186939.625, 551577731.85, 1308593612.09, 9283828195.5, 23687523388.6
B, 67.7283166353, 0.0160020367855, 0.00159702061288, 67.7016490267, 67.7459378272, 67.6995180221, 67.7120928228, 67.7378491234, 67.7418515515, 67.7459378272
A_Z, 65.0838137025, 0.000193783866918, 1.93308750516e-05, 65.0835006987, 65.0840433982, 65.0834777344, 65.0836044881, 65.0838946528, 65.0839855976, 65.0840281309
H22.708428, 6.40778874891, 3.93388082851, 0.178256312817, 0.109345737508, 12.6420258489, 0.301067497772, 3.01633639744, 6.32719551576, 9.95038676934, 13.2847906024
T2.708428, 404.945962308, 233.007251429, 10.2589467481, 37.0730452097, 787.655488163, 29.3362237576, 207.550062569, 402.071814297, 616.406211245, 786.2293149
B2.708428, 3.42822107991, 3.3156170862, 0.149823388397, -2.99995588711, 9.44897840091, -2.99995588711, 1.15378715303, 3.37611407412, 5.73514841159, 9.71542888054
H22.709807, 12.8526303685, 0.289153269871, 0.0259458873592, 12.3715294227, 13.4060295218, 12.3336614744, 12.6532193176, 12.8086749675, 13.1139956664, 13.3763443537
T2.709807, 387.618963819, 223.258504328, 9.72388959504, 6.04680269315, 746.636027246, 13.7174329278, 198.670178499, 384.874107994, 568.684728565, 776.215444899
B2.709807, 0.889880654695, 0.786925785398, 0.0620496139092, 0.337548757994, 2.86745742128, 0.367963118334, 0.429559714691, 0.566872174364, 0.936380921709, 3.35421940262
N_HI, 20.9599932168, 0.000122203661909, 9.96258919342e-06, 20.9597652912, 20.9601945881, 20.9597778841, 20.9599259021, 20.9599777293, 20.9600889436, 20.9602120624
B_HI, 48.4544612655, 28.4946035666, 1.12140925747, 2.84651862055, 97.1144472907, 3.1756126736, 24.8760512092, 46.8533593583, 72.7597224941, 97.9567677135
A_Z_HI, 2.51566319973, 57.3220326986, 2.61285015898, -94.585169966, 92.3723317432, -93.0699318694, -48.264163554, 4.7312190418, 52.5501426657, 94.775492994
