element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.55, 21.54, 21.56, 20., 0.0, 80.0, 0.0, -50, 50
OVI, 1, 14.83, 0, 0, 39.03, 0, 0, 3.99, 0, 0
SIV, 1, 18.10, 0, 0, 1.13, 0, 0, 21.05, 0, 0
CIIa, 1, 17.81, 0, 0, 3.14, 0, 0, 15.29, 0, 0
CII, 1, 14.57, 0, 0, 28.95, 0, 0, -1.33, 0, 0
CrIII, 1, 14.63, 0, 0, 1.08, 0, 0, 3.11, 0, 0
OIa, 1, 9.28, 0, 0, 16.20, 0, 0, 9.99, 0, 0
OI, 1, 15.28, 0, 0, 23.027, 0, 0, 25.24, 0, 0
ArI, 1, 13.50, 0, 0, 27.50, 0, 0, 25.00, 0, 0
SiII, 1, 15.43, 0, 0, 16.94, 0, 0, 16.11, 0, 0
