Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.9521697509, 0.0397692817634, 0.00218499949385, 20.8747245308, 20.9998603849, 20.8489811957, 20.9336466536, 20.9623027105, 20.9803760764, 20.9988052263
TEMP, 405.991252098, 287.397055888, 9.58761381026, 0.302675580604, 932.78197053, 18.5078394166, 156.094998159, 338.842902907, 644.913474741, 974.807870888
B, 12.0894656869, 7.25975917718, 0.217423495398, 1.04723279746, 24.4673155344, 0.836991005795, 5.49403006262, 12.0457184047, 18.2770496248, 24.389909379
A_Z, 65053.3725896, 104.119707231, 5.61000667189, 64853.0815132, 65266.2356869, 64865.4252731, 64979.1916447, 65045.4012237, 65115.0168463, 65286.0201211
H24.99163935589, 10.3555382882, 5.97199832928, 0.153432721473, 0.864948964708, 20.6282673719, 0.441097779906, 5.16399566274, 10.4911109525, 15.5047743231, 20.3056481591
T4.99163935589, 399.441233488, 231.832899103, 7.40150766004, 40.8192027471, 788.025773658, 22.8069498026, 201.931107823, 390.314386496, 605.510884931, 779.885846218
B4.99163935589, 3.50169685702, 3.35491589245, 0.0921371630324, -2.75493071763, 10.5514523788, -3.38705083788, 1.31141176607, 3.58663970704, 5.75341475141, 10.1139004986
N_HI, 22.3972568489, 0.000942768296958, 4.11192530197e-05, 22.395547941, 22.3993772326, 22.3952887679, 22.3966866024, 22.397292688, 22.3978333705, 22.3992316703
B_HI, 91.2650352838, 53.2554450994, 1.3719440941, 2.69371986441, 184.637979994, 5.31754045525, 48.8237570871, 86.0963424911, 133.39875437, 189.679520513
A_Z_HI, -144.767048062, 5.29379698348, 0.230864817194, -149.967722564, -134.339152522, -149.806612952, -148.516954676, -146.318938036, -142.903574888, -130.655502832
N_NV, 6.83506757932, 4.02084823929, 0.136285501107, 0.167818574249, 13.3352894189, 0.330487050244, 3.24590701059, 6.78767632865, 10.257998401, 13.6813525921
B_NV, 52.9076304616, 26.6234681694, 0.751858919165, 8.87428171966, 94.7930002633, 10.2630230071, 28.6276348412, 52.334657166, 76.2257950074, 97.0637457465
A_Z_NV, 4.10989460055, 58.8758594295, 1.83397844496, -90.2957045878, 98.363002017, -94.6349115609, -47.8340648356, 6.26024110746, 56.9464304411, 96.5779599007
N_MgII, 7.88102286023, 4.71276843123, 0.180128395164, 0.111005216842, 15.2986327813, 0.37069952747, 3.68197506075, 7.80581993481, 11.8749390027, 15.8381157431
B_MgII, 51.160083583, 27.3415748173, 0.877462142303, 8.0124028502, 95.0880547071, 9.34940425533, 26.483759836, 49.5043260982, 74.6525249407, 97.2508602101
A_Z_MgII, 3.61093918568, 58.9884367719, 2.11309106757, -90.0031231212, 99.6372909742, -95.4826028838, -45.4323078554, 4.91460104061, 55.3248567337, 97.2277355766
N_SII, 15.1665731622, 0.04509149897, 0.00200241251311, 15.0860326564, 15.2663161324, 15.0686461457, 15.138665856, 15.1650422126, 15.1959022378, 15.2540922881
B_SII, 28.2319852084, 3.31010094164, 0.160753199332, 22.374386019, 34.5760208694, 22.7839860308, 26.0889433426, 27.8434089487, 29.9998001085, 35.703917296
A_Z_SII, -55.0807909645, 5.27702274855, 0.241462021869, -64.7246167544, -44.7485665705, -63.8842546782, -58.7701381796, -55.5723895974, -51.8453203372, -43.8165063198
N_FeII, 16.8361395847, 0.235884750186, 0.0214120112112, 16.4455767016, 17.2994925784, 16.463398049, 16.6787530888, 16.8205351926, 16.9774265404, 17.3482707338
B_FeII, 57.3544384137, 4.52626193672, 0.401426068316, 48.7471084561, 65.2900725505, 48.8933341406, 54.0870973156, 57.1422015376, 60.2250398377, 65.8941350288
A_Z_FeII, -48.8118495187, 6.47957110711, 0.343790103559, -59.8527189694, -37.2739516302, -60.8312924714, -52.1553567683, -48.6128005071, -44.6998219886, -37.7705822925
N_CrIIb, 7.07921323816, 4.12705469809, 0.129964573939, 0.559496728456, 13.8437510985, 0.463791831948, 3.40248489631, 6.8293499649, 10.7322290258, 13.8070061772
B_CrIIb, 53.9326076162, 26.2640927827, 0.793035970565, 12.5170079942, 99.0412976287, 10.686995276, 31.1415912605, 54.2955706675, 76.2405878523, 97.7986124519
A_Z_CrIIb, 1.82390470299, 56.92150412, 1.68542581648, -87.2517162533, 99.2843289917, -93.8106979918, -46.9814973925, 2.71616683778, 51.6054491709, 95.0324781351
N_CrIIa, 6.2681483245, 3.6861052725, 0.12454109913, 0.03854943231, 11.934408581, 0.297328213859, 3.03000949917, 6.28126434333, 9.47308051051, 12.418225221
