Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 15.1167131652, 0.130285356137, 0.0110835774339, 14.8535552353, 15.3347684177, 14.7828706355, 15.0433200253, 15.1410537158, 15.2126429871, 15.3001289618
TEMP, 389.985082742, 276.770951086, 8.49579612497, 0.86232655899, 900.808693263, 15.0389744203, 157.938593432, 335.454720539, 604.649539562, 953.630246552
B, 17.2014677107, 4.57785743301, 0.338889955151, 8.99187699807, 24.9330833306, 7.49983721006, 14.0802190811, 17.691441309, 20.899889509, 24.4136868844
A_Z, 424525.068203, 5.8676654809, 0.361056561868, 424515.522976, 424538.673399, 424513.449204, 424521.968571, 424523.741195, 424528.24858, 424538.031879
N_HI, 20.3946763557, 1.45761770282, 0.0536891891435, 18.2050429258, 22.9560428047, 18.0680175356, 19.1596539025, 20.2894513185, 21.655272835, 22.8861652341
B_HI, 79.020107746, 40.9655066361, 1.01781095926, 12.7470790811, 145.847559152, 12.9509141239, 43.7949293258, 78.7311901095, 115.595869498, 146.535830866
A_Z_HI, -1.01324110431, 85.6872556836, 2.52582949943, -148.339910451, 134.013452395, -143.05705135, -75.0077797603, -1.58285191304, 70.4987870791, 143.880713234
N_ZnII, 13.3623884451, 0.0260193430682, 0.00181905951477, 13.3039648408, 13.4067400977, 13.3064744197, 13.3469473765, 13.3656333678, 13.3806536627, 13.4106756933
B_ZnII, 22.0022744021, 1.24008142798, 0.0623364795167, 19.2854690059, 24.4036084568, 19.4356296032, 21.1878321276, 21.9790624512, 22.8685348729, 24.5808530277
A_Z_ZnII, -1.04768848958, 0.925894533298, 0.038992742242, -2.79030226982, 0.863029882551, -2.89064199606, -1.67447194415, -1.06534099498, -0.404053304297, 0.798312550747
N_BIII, 12.8713316585, 0.393988660344, 0.0308114077678, 12.5607340902, 13.1676426386, 12.4309938472, 12.8342301353, 12.9396910872, 13.0102226164, 13.1187705798
B_BIII, 39.8701294016, 13.9073166961, 0.847421629997, 14.4835376592, 67.904559048, 18.3949255005, 31.232879686, 37.4454004318, 46.1264892694, 77.9551786768
A_Z_BIII, -26.534903915, 11.3647815284, 0.599262430017, -45.4517250719, -4.88162288913, -43.2761063569, -33.0559733635, -27.4887315514, -21.6464290313, -2.48600785969
N_CrII, 13.5475200879, 0.151356518702, 0.0113961655918, 13.2524729641, 13.8428672035, 13.2364315875, 13.4525213942, 13.5503598423, 13.6405259903, 13.8428136177
B_CrII, 91.8872288456, 8.72910622328, 0.478228655595, 74.2700429453, 99.9840764247, 67.3541021401, 88.965048246, 94.2233320683, 97.959482633, 99.9141051398
A_Z_CrII, -50.7765774119, 44.3296097373, 3.62504888374, -99.9740502309, 28.0670031136, -98.9047404443, -89.3796390239, -68.0081108279, -11.1353602967, 38.9262687951
N_MgI, 13.6385665758, 0.0355114164848, 0.0019851695394, 13.5647858473, 13.7065141569, 13.5667970574, 13.6157242418, 13.6382998455, 13.6624574238, 13.7092339935
B_MgI, 15.7564788498, 1.44528821853, 0.0721133890712, 12.5578865021, 18.3196152386, 13.0705572077, 14.8165407676, 15.667702628, 16.6197904514, 18.8672736385
A_Z_MgI, -2.14281201736, 1.35895707211, 0.0610851980265, -4.95262748969, 0.286487863613, -4.81889985403, -3.04625722496, -2.10173172395, -1.1942480188, 0.499375043624
