Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 10.8478912528, 6.05380324649, 0.176218789949, 0.62404611915, 20.3753003647, 0.624728138547, 5.64845739668, 10.9627828842, 16.1615812869, 20.4139476628
TEMP, 408.912888062, 280.705562565, 9.39168365694, 2.03187314833, 924.447825554, 16.105863175, 165.807929138, 361.754479299, 620.020016885, 960.914669647
B, 11.7964910005, 7.46204937862, 0.246753802218, 1.28357194584, 24.9094046819, 0.705719390087, 5.10534197009, 11.2387495319, 18.482914025, 24.3873404666
A_Z, -2.24031555431e+14, 5.6353275534e+14, 5.53034473051e+13, -1.77602508108e+15, 1.94105139598e+14, -1.91883961377e+15, -1.53986345231e+13, 14610269752.8, 4.97377352464e+12, 1.48591226547e+14
H22.9935, 10.4300267114, 6.04561213028, 0.201414673759, 0.759334442827, 20.4772431914, 0.598407389576, 5.23095210099, 10.3908167621, 15.5913387519, 20.4450807569
T2.9935, 415.349192259, 232.808464041, 5.85476730792, 38.0373896975, 796.662439849, 23.1603404275, 211.30198579, 426.224624914, 623.350501803, 783.202415674
B2.9935, 3.44191028341, 3.50314430818, 0.0981556186087, -3.50170990327, 9.95513936756, -2.95648417675, 1.04610068302, 3.38377764548, 5.90163082342, 10.5866214702
H22.9907, 10.4236202495, 6.09562064948, 0.189742042577, 0.489786003103, 20.4115068692, 0.527182347122, 5.12851931037, 10.2022049788, 15.8205463988, 20.5240380589
T2.9907, 396.597384494, 229.828656572, 6.60425193656, 5.6990265228, 755.614337126, 15.6680897302, 193.765050355, 402.306270451, 593.856599778, 778.193734078
B2.9907, 3.43800913312, 3.40359821623, 0.108087859565, -3.2747465459, 9.9218019034, -3.44529839556, 1.22924410889, 3.44398928634, 5.77444404613, 9.91704475558
N_HI, 20.5701334633, 1.46365350696, 0.0595927108582, 18.0535928785, 22.7838906587, 18.1294261689, 19.283805177, 20.5799765476, 21.93393889, 22.8823440879
B_HI, 77.6617400554, 40.7016795244, 1.20954889541, 8.4198653908, 141.656013712, 10.6219666414, 42.670354861, 77.0116891928, 112.591015109, 145.100629219
A_Z_HI, -0.268866529335, 86.461991977, 2.49429409028, -133.368794141, 148.311537705, -142.619597934, -74.4762386271, -1.27247412134, 72.3839663963, 142.646836844
N_ZnII, 13.1772688327, 0.0334822753462, 0.00276308786435, 13.1078669406, 13.2339903946, 13.1021837515, 13.1569274172, 13.1843863822, 13.2018506264, 13.2289731493
B_ZnII, 24.1598837178, 1.67744309503, 0.118463904557, 20.5787946057, 27.2549826715, 20.6328236217, 23.0836476392, 24.2108810415, 25.2696313514, 27.4463478903
A_Z_ZnII, 0.933197303357, 1.52871780371, 0.099275257511, -1.8391531016, 4.0679965693, -1.70560735783, -0.107321286107, 0.853608620379, 1.82667764953, 4.36778050777
N_BIII, 12.5127138292, 0.0978658481837, 0.00582581147553, 12.3314415729, 12.6956180856, 12.3072522961, 12.4526245265, 12.5180843381, 12.5817363045, 12.6872957836
B_BIII, 11.0286893709, 2.55654968223, 0.146823795757, 8.00029727764, 16.1178251764, 8.14149774945, 9.02559294238, 10.3983019429, 12.2740795495, 17.6872792327
A_Z_BIII, -13.6975572604, 2.96949566675, 0.134280137244, -19.4576488473, -7.9296400532, -20.3237192021, -15.4529235926, -13.461988028, -11.6055796338, -8.54938494356
N_CrII, 13.711578905, 0.0339883829795, 0.00222991999939, 13.6417891365, 13.7715830091, 13.6448385517, 13.6884925938, 13.7126958257, 13.7335490982, 13.776352746
B_CrII, 19.5613305079, 1.55598032554, 0.0932974680767, 16.7558216174, 22.4148718869, 16.8931839616, 18.4985213358, 19.4005884779, 20.6574212164, 22.7488677488
A_Z_CrII, -1.36385257958, 1.42393856757, 0.0541226624405, -4.07007468056, 1.32581454315, -4.11616347578, -2.32658007595, -1.35849190047, -0.368098163859, 1.31980140446
N_MgI, 13.0367907351, 0.202580691914, 0.0176394896297, 12.7316564776, 13.4353382943, 12.7197181233, 12.88480787, 12.9758520378, 13.1931405928, 13.433668276
B_MgI, 31.6525511419, 21.8614765309, 1.89871280778, 8.14584705457, 73.1526891867, 9.16227070352, 13.9596004214, 20.275832539, 50.9262117181, 79.2540394215
A_Z_MgI, 8.08861203473, 17.0213296707, 1.40982987859, -33.7751489912, 28.4310832605, -35.879118152, 1.02728833165, 14.8995049664, 18.8238169876, 27.6950707294
N_ZnII2.9935, 12.6956202068, 0.0656780172628, 0.00430272634699, 12.5620046611, 12.8138772903, 12.5620046611, 12.6513711184, 12.7026313998, 12.7382333501, 12.8138772903
B_ZnII2.9935, 35.8783945532, 6.27576933884, 0.377943936802, 24.3600688561, 47.941974045, 26.1399331901, 31.6719744554, 34.9435996643, 39.2007542312, 51.0730356308
N_ZnII2.9907, 15.0209526245, 0.0688832372251, 0.00312470924105, 14.888781332, 15.1498570445, 14.8825836568, 14.977229685, 15.0229373898, 15.0703036778, 15.1485136544
B_ZnII2.9907, 0.354290601462, 0.248958250418, 0.0110560194849, 0.000173537418201, 0.852284934221, 0.0173669886714, 0.157067256794, 0.318503918528, 0.507309121338, 0.936953207859
N_BIII2.9935, 5.62343931544, 3.26855117914, 0.114071001139, 0.18625726189, 10.9238221278, 0.318615916209, 2.6522064766, 5.50501124717, 8.42397222223, 11.1926376372
B_BIII2.9935, 39.5452515645, 22.7661718689, 0.646073569704, 0.660658454767, 75.4764580434, 2.50653878114, 19.363403175, 40.0981357756, 59.722181761, 77.9397923077
N_BIII2.9907, 12.6711737781, 0.472965298835, 0.0461685174363, 12.1236759573, 13.6900008928, 12.142064912, 12.3414728876, 12.4480165113, 12.9938918524, 13.7468279631
B_BIII2.9907, 4.15344813348, 3.13513024089, 0.277273869744, 0.958688914226, 9.8905093724, 1.00624549804, 1.26415736263, 3.30183236172, 6.4491122134, 11.0967678254
N_CrII2.9935, 13.3969964033, 0.127693070016, 0.0072435917227, 13.1602207111, 13.5885156459, 13.0938151535, 13.33889355, 13.4217237675, 13.481397715, 13.5740979692
B_CrII2.9935, 73.7809436032, 7.67679839692, 0.488100029302, 59.3167839795, 79.9932667248, 51.3487823033, 72.1961670549, 76.1358339994, 78.6309156043, 79.8860995296
N_CrII2.9907, 13.8556091009, 0.0269226642449, 0.00129153634696, 13.802751943, 13.9057583554, 13.7997199485, 13.8386980496, 13.858697273, 13.8734327183, 13.9041934058
B_CrII2.9907, 78.7833956569, 1.17797929742, 0.0605384340053, 76.3136834262, 79.996788678, 75.5037027398, 78.2852604739, 79.1765640952, 79.6330324608, 79.9576114326
N_MgI2.9935, 7.19225036555, 4.08488112866, 0.217999837159, 0.4407224102, 12.9283387634, 0.4407224102, 3.44837149721, 7.48852140622, 10.8453079455, 13.2169164736
B_MgI2.9935, 37.2009273496, 23.6275778382, 0.837858497855, 0.985950365494, 76.8146332339, 1.91479405863, 15.5940483494, 35.5219419251, 57.308928357, 78.1011404402
N_MgI2.9907, 13.1784459054, 0.0950421429156, 0.00501999618625, 12.9757815359, 13.3383712681, 12.9680281184, 13.1183708491, 13.1892897803, 13.2437134303, 13.3356452458
B_MgI2.9907, 39.8284754134, 9.14957658674, 0.42746998005, 23.5645878942, 58.3836473178, 24.6934893019, 33.1140830816, 38.9587930142, 45.1875687846, 61.2015962475
