Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.6263133583, 0.0584273513843, 0.00110237794261, 14.5099962449, 14.7344360231, 14.506676234, 14.5873373664, 14.6294205314, 14.6664827707, 14.7325528784
TEMP, 250.684642922, 41.5332397014, 0.652458426753, 165.936027602, 330.084705043, 166.406226256, 224.423984789, 251.74341864, 277.616359907, 331.013550149
B, 3.66976907218, 0.362863330283, 0.0067765999919, 2.97100335413, 4.39048054824, 2.98068672007, 3.4207218415, 3.6615014005, 3.90745078777, 4.40890189014
A_Z, 9.86692409346, 0.123866351984, 0.00307342432383, 9.61608950898, 9.99997088948, 9.54342642656, 9.8136991431, 9.90200832575, 9.95740603342, 9.99660481427
N_HI, 21.6486151884, 0.00138712406512, 3.57089872806e-05, 21.6458653725, 21.6499983467, 21.6449791326, 21.6480790411, 21.6490360515, 21.6496164879, 21.6499691544
B_HI, 22.930739519, 11.4807333095, 0.175936237473, 2.83178786369, 39.9916529468, 1.50958394653, 13.3403598723, 24.5269633911, 33.1211673879, 39.2833415713
A_Z_HI, -4.3321600428, 4.67987663575, 0.0926950837039, -9.99922260847, 5.37793152503, -9.86858184672, -8.10292190159, -5.62844036173, -1.48137885188, 7.201120437
N_FeII, 15.5615714681, 0.0337725685578, 0.000672994281727, 15.4943558915, 15.6282209989, 15.4933043034, 15.5396739807, 15.561326462, 15.5845254964, 15.6271881078
B_FeII, 29.6204252019, 0.34882949886, 0.00881030229162, 28.9366203741, 29.9995145682, 28.713321544, 29.4612065823, 29.7190411307, 29.8808807186, 29.9899131064
A_Z_FeII, -4.21093626023, 1.55498192688, 0.0291725945647, -7.32296313578, -1.18191155888, -7.28304581171, -5.23258971876, -4.22205465565, -3.15792802544, -1.12682027661
N_FeIIa, 14.0502124139, 0.218543853118, 0.0150561570947, 13.5113934504, 14.4417593815, 13.52079258, 13.9525609645, 14.0859453969, 14.1744900339, 14.4639112902
B_FeIIa, 2.18987766109, 1.09952946596, 0.0596904672726, 0.302703287539, 3.92989139264, 0.37913442254, 1.20941207806, 2.27402921591, 3.07482832618, 4.10455374368
A_Z_FeIIa, 1.27409950252, 0.791619049403, 0.0360006739783, -0.101160112728, 2.77617484884, -0.0326761510214, 0.661198103162, 1.22732833866, 1.8349630198, 2.90432700565
N_SiII, 15.3632323234, 0.884933055002, 0.0807163512452, 14.5636469104, 17.3025672726, 14.7644689762, 14.9952594626, 15.1053655711, 15.2611970869, 19.0706985264
B_SiII, 20.5040668748, 6.80410798658, 0.462997570308, 7.18328405364, 29.948503936, 3.88309227861, 16.6993735479, 21.9662496342, 25.793315079, 29.4897083772
A_Z_SiII, 7.50860863585, 2.31085206381, 0.0593101696658, 2.87798572578, 9.99885976283, 1.2708517057, 6.55446459106, 8.1853231251, 9.16535823193, 9.91807552093
N_ArI, 13.5025107442, 0.086712547068, 0.00178627985958, 13.3231656987, 13.6624572834, 13.3102735704, 13.4515275744, 13.5087528008, 13.5617998191, 13.6551855409
B_ArI, 28.472313786, 1.44141287062, 0.0299916460789, 25.5929661666, 29.999898046, 24.6489837159, 27.8399506767, 28.9204615488, 29.5481505358, 29.957757057
A_Z_ArI, 7.22639096915, 2.69458091117, 0.0688773548491, 1.79196405052, 9.99965853659, 0.191184607541, 6.18656690214, 8.02042275415, 9.14964103253, 9.92180969469
N_OI, 15.2671530277, 0.0654884497298, 0.00123189445538, 15.1308130227, 15.3855499386, 15.1329747085, 15.2261329234, 15.2683101936, 15.3107382167, 15.3895576682
B_OI, 28.2442440416, 1.51882021208, 0.0350675116304, 25.103518807, 29.992419892, 24.2605516613, 27.4949376135, 28.6542581668, 29.4018828969, 29.9345450088
A_Z_OI, 9.37698800953, 0.614347194257, 0.013018109488, 8.1561646849, 9.99997522953, 7.7535959909, 9.13245420192, 9.57439919574, 9.80819527581, 9.98985496804
