Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.6778653399, 0.0519669073385, 0.00174537789194, 14.5720944972, 14.7718988346, 14.569537119, 14.6429133631, 14.6795693295, 14.7133652429, 14.7715750246
TEMP, 359.78412315, 42.6772476325, 1.49288707942, 281.854856516, 450.943534726, 284.398562925, 330.918394126, 356.425699077, 385.474958862, 454.107791039
B, 2.82869375034, 0.345987595177, 0.0182634826364, 2.29260738036, 3.69553472129, 2.27050624439, 2.60654153326, 2.78005603343, 2.99988147806, 3.69473674901
A_Z, 12.3720407504, 0.421172388264, 0.023055298855, 11.5200701086, 13.1862378141, 11.382058635, 12.1316636934, 12.4020023078, 12.6501453834, 13.1030252677
N_HI, 21.6481077428, 0.00195482073317, 9.06848533443e-05, 21.6443698698, 21.6499911055, 21.6428276126, 21.6474847421, 21.6486952608, 21.6495121855, 21.6499616277
B_HI, 22.7226866308, 11.6093903524, 0.32181443049, 2.62164678646, 39.9484300174, 1.29407863377, 12.7689602667, 24.2608391944, 33.0377503854, 39.2598381626
A_Z_HI, -5.73218217141, 3.82310370194, 0.127382046415, -9.99685793597, 2.04891760019, -9.87791639263, -8.7139763213, -6.74618014413, -3.80526584395, 4.2144545504
N_SiII, 15.9927300597, 1.59604939201, 0.146165747779, 14.8127995612, 19.4312830325, 14.8180476808, 15.0352123342, 15.1707135575, 16.0788155034, 19.4460349079
B_SiII, 16.6635564984, 8.75442259164, 0.700409424697, 1.18508713975, 29.5304153895, 0.709234370519, 9.54890220628, 18.6209525396, 23.9636911425, 29.251462323
A_Z_SiII, 16.1728680029, 5.09194967195, 0.130490886528, 6.36307232631, 25.4935019329, 6.49319267639, 12.6597921869, 16.1220897867, 19.6659690311, 25.7604106427
N_ArI, 13.5139472012, 0.0843315213015, 0.00279693867577, 13.3596099065, 13.6892560064, 13.3309128762, 13.4647753479, 13.5209366395, 13.5729203548, 13.6642425204
B_ArI, 27.6000869854, 2.24354497471, 0.0786880512739, 23.0684857006, 29.999628754, 21.6648349943, 26.6213505529, 28.2171788463, 29.2707619, 29.9474962425
A_Z_ArI, 24.7504731664, 6.27894038273, 0.163135565879, 12.6898500535, 36.9467323555, 12.0324689041, 20.562614212, 24.9639232717, 28.8056585735, 36.5811492959
N_OI, 15.2860800846, 0.0639422486161, 0.00182949789733, 15.1601610065, 15.4054635536, 15.1622236572, 15.2417898529, 15.2869519309, 15.3280830616, 15.408840465
B_OI, 23.0904940687, 3.13146575677, 0.0715663588494, 17.8986476223, 29.8949373455, 16.9422756336, 20.9258204786, 23.0252667531, 25.2785815676, 29.162214836
A_Z_OI, 25.6517037213, 2.5515612658, 0.0626237314564, 20.7507408748, 30.9543683116, 20.4957308538, 24.0581010414, 25.6770821624, 27.3079483388, 30.7347549412
N_OIa, 9.06575947284, 4.93502272275, 0.261474168234, 0.200418857712, 14.6622147378, 0.387123482171, 4.7295079171, 9.65271022406, 14.1280365303, 15.0594064626
B_OIa, 15.6562613822, 8.64688095873, 0.296769712258, 0.66801579858, 29.0745259183, 0.876283414275, 8.43448048743, 16.1956534045, 23.1022161309, 29.3251493991
A_Z_OIa, 9.37452313926, 51.495813134, 1.70228714673, -99.8959072735, 85.7013934663, -93.2093738857, -28.5585750329, 24.4947923367, 43.7573860581, 92.8625544383
N_OIb, 15.4210900676, 0.0536471339094, 0.00156810341912, 15.3113489344, 15.5202567049, 15.3156755233, 15.3843255723, 15.4204482663, 15.4558072256, 15.5286491885
B_OIb, 26.6603826537, 2.1304069675, 0.0614547665156, 22.8935792546, 29.9985301728, 22.1413699466, 25.1447529809, 26.8793383918, 28.4378281542, 29.8381356745
A_Z_OIb, -60.6710456711, 2.45201358559, 0.0531295395945, -65.3493965722, -55.6486087083, -65.4779964576, -62.318922844, -60.619221224, -59.0734381431, -55.7288728538
N_OVI, 18.7615093019, 0.0603850556031, 0.00242887565845, 18.645911257, 18.8823185737, 18.6403698682, 18.7267067623, 18.7631782401, 18.8009544331, 18.8801425369
B_OVI, 2.7247505363, 1.80160246013, 0.0562037304768, 0.00363020020149, 6.04279439229, 0.147429184527, 1.19705135588, 2.50133046522, 4.00414685292, 6.49799324173
A_Z_OVI, 1.24509643215, 2.95447038145, 0.0981361620487, -4.44140288563, 7.18822496063, -5.15186852625, -0.475410747757, 1.43070032331, 3.15125520626, 6.78239999915
N_CrIII, 14.6893345516, 0.724800153519, 0.0256450563386, 13.4961243227, 16.0795106443, 13.5002305807, 14.0878605785, 14.6409979122, 15.2125824207, 16.0975742403
B_CrIII, 1.1432206922, 0.541272318445, 0.0205860831676, 0.14122045539, 2.15379406344, 0.226252683969, 0.768652208354, 1.11813117816, 1.49232792585, 2.26445750905
A_Z_CrIII, 3.14864359824, 0.800063509524, 0.0264032906342, 1.57595033177, 4.64795590348, 1.55144625507, 2.61601324039, 3.17323450704, 3.73070638956, 4.63476662781
N_CII, 17.6206652402, 0.07607739202, 0.00247143661282, 17.4717343282, 17.7647176603, 17.4617950028, 17.5715919063, 17.6239656463, 17.6736665709, 17.7612396878
B_CII, 3.7115038085, 2.33632850891, 0.0685550755095, 0.00495787179629, 7.72120116085, 0.22883014214, 1.68932189164, 3.49778641358, 5.56272894426, 8.21537571954
A_Z_CII, -1.33396319915, 3.14879545982, 0.0821778962753, -8.15692545992, 4.59021432199, -8.09532103109, -3.12694440166, -1.21123273027, 0.644691327824, 4.75659256516
N_CIIa, 17.6034901928, 0.082455320041, 0.00305089330798, 17.4485262434, 17.7715882641, 17.4370832497, 17.5543375065, 17.6043140311, 17.6591737176, 17.7681451762
B_CIIa, 3.32493165251, 2.21312609164, 0.0639502557273, 0.0184626348, 7.25693995049, 0.142743367524, 1.39216612094, 3.05620722315, 5.02846843999, 7.74153849429
A_Z_CIIa, 11.0599767096, 3.28836044531, 0.0910126438532, 5.16331869641, 17.6984909856, 5.41484555536, 8.71705687073, 10.809411238, 13.1323285036, 18.1490305935
N_SIV, 17.950237858, 0.132554422692, 0.00679228447346, 17.6946846759, 18.1835251429, 17.6290780376, 17.8786980715, 17.9725721924, 18.0382956742, 18.1600525706
B_SIV, 1.03685418089, 0.661443323184, 0.0287299711012, 0.00207133737932, 2.24031715732, 0.0593664893145, 0.490340465822, 0.933540008549, 1.51347795685, 2.4094943457
