Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B, 10.9354913901, 2.92020979658, 0.278472422041, 5.98492456764, 16.7290181788, 6.08325877954, 8.7222053018, 10.9472721094, 13.2215731086, 17.1078522312
A_Z, 19.0343340426, 3.09012631229, 0.305595608111, 13.7176676406, 25.3536519916, 14.1915665204, 16.9394088569, 18.7032755521, 20.8009072607, 26.0128914069
NH2J0, 15.1174414756, 0.66478840694, 0.0616060416788, 13.9533392732, 16.2907906581, 13.497417368, 14.667317244, 15.308960153, 15.4042387392, 16.2782940295
NH2J1, 13.8979986083, 2.53504473191, 0.25101062282, 8.22420706784, 15.3261915542, 6.18353898195, 14.5207566328, 14.6290663862, 15.0243712943, 15.2195804395
NH2J2, 6.69401393867, 4.65501429774, 0.458105597719, 0.460473939732, 14.1035712547, 0.460473939732, 2.39087181202, 5.87998932604, 10.9752376318, 14.7764383707
NH2J3, 5.51107994604, 3.52894668947, 0.343538235172, 0.259738961865, 11.0909232339, 0.422332964433, 2.42269671585, 5.22711568614, 8.74932742065, 11.8841408002
N_HI, 21.4780281586, 3.5527136788e-15, 0.0, 21.4780281586, 21.4780281586, 21.4780281586, 21.4780281586, 21.4780281586, 21.4780281586, 21.4780281586
B_HI, 18.1512422761, 14.428930565, 1.42349198675, 0.266454298409, 47.4291237196, 0.930959431734, 6.9988410244, 15.106865639, 27.9361791329, 54.7482677577
A_Z_HI, 97.7204980896, 2.79293895593, 0.271721538475, 92.2984587013, 99.9023355986, 90.4093097608, 96.5622904575, 98.8152469253, 99.7066356718, 99.9023355986
N_SiII, 7.84279070808, 4.84977286061, 0.479363199928, 0.632640784194, 16.9591168442, 0.632640784194, 3.70876508474, 7.16654552794, 11.9709072132, 16.9591168442
B_SiII, 20.4234616741, 13.4870465279, 1.33402823747, 0.82559501187, 44.1287824204, 1.13465447888, 8.2403317203, 19.5457910267, 32.0272716602, 45.6028787225
A_Z_SiII, 14.1435062063, 3.89835182244, 0.386954995783, 8.02029350003, 21.1043402077, 7.83541611403, 11.0401125679, 14.3318493802, 17.7543504257, 21.0636983214
N_FeII, 15.8713222518, 0.158829378585, 0.0153358944012, 15.6265468636, 16.0775221248, 15.6265468636, 15.7096972889, 15.9488377993, 16.0180024374, 16.0775221248
B_FeII, 86.4141356882, 17.6864062814, 1.75597947712, 56.264681119, 116.012573519, 58.9004904458, 68.6211042086, 89.0415318845, 99.0937400514, 120.606783723
A_Z_FeII, 2.54864179333, 2.92464208646, 0.288496034019, -1.3616537278, 10.3706564612, -1.92447405252, 0.465826980631, 1.96380879674, 4.34053188639, 9.96994140207
N_CII, 16.3146732846, 0.414733355686, 0.0402334594491, 15.5537897922, 16.9653318178, 15.4985498329, 16.0423963323, 16.3387022551, 16.7709353946, 16.9653318178
B_CII, 113.942031831, 19.5946716963, 1.95143497014, 83.9640861705, 148.095216257, 84.630989738, 97.3632119831, 111.857433656, 127.700031959, 149.664525536
A_Z_CII, 59.0733181168, 4.91000410106, 0.488612296545, 49.1212147586, 67.3919102481, 49.4400093265, 55.8057242438, 59.1326245666, 62.4988536491, 68.0173993757
N_CIIa, 3.08485773138, 2.16943738457, 0.205576115524, 0.259830998126, 7.7159727788, 0.312258141284, 1.31080264551, 2.66457800461, 4.34444362442, 8.21637440428
B_CIIa, 56.9829200772, 20.6821202762, 2.05592472513, 18.1999908777, 89.6777695752, 18.2191670596, 43.1072807097, 58.3618753929, 74.3220184972, 90.8536108884
A_Z_CIIa, 55.7368536981, 5.2024661565, 0.517930867296, 42.8921655608, 61.5032476451, 42.0899533054, 54.4780833797, 57.7266492807, 59.2916585312, 61.1423388789
N_OVI, 16.0708593558, 0.738759089036, 0.0716754062105, 14.8678442201, 17.1795840843, 14.8880033359, 15.3792398069, 16.0476755179, 16.6321305616, 17.4199544114
B_OVI, 58.8080841613, 15.097908796, 1.49857253128, 38.1678225337, 86.3871612971, 38.1678225337, 44.7130538398, 57.134723348, 70.9026908696, 88.0376164359
A_Z_OVI, -59.8689068172, 4.19638782518, 0.416917017494, -66.4539017751, -52.6274290378, -65.7773294922, -62.8041000855, -60.9004189328, -55.5000818356, -51.4755773238
N_OI, 16.9794476634, 1.02033883354, 0.101207317514, 15.8163088197, 19.0313533584, 15.8163088197, 16.1493566443, 16.6795569933, 17.6020394459, 19.0313533584
B_OI, 64.7472042776, 34.2922074154, 3.42168017872, 25.6700838624, 138.68466412, 26.2725405327, 37.3247615181, 51.5550058962, 83.0325600777, 141.177451779
A_Z_OI, 38.5069277641, 4.54819898763, 0.452250204046, 26.9719597345, 43.8297576994, 26.3704600479, 38.2234221728, 40.0564417038, 41.1370787324, 43.7532176602
N_SIV, 15.7642676052, 0.0861061932132, 0.00851167557157, 15.6749505692, 15.9365653842, 15.477208793, 15.7257111046, 15.783977298, 15.8164135908, 15.9365653842
B_SIV, 292.802766558, 34.4117254701, 3.43154065562, 244.781955498, 354.22599274, 244.781955498, 262.277839695, 292.778111825, 321.633327003, 354.22599274
A_Z_SIV, 22.2246698809, 5.62504199696, 0.560151353763, 13.3716025023, 31.8729341052, 13.4814961638, 16.8790422232, 22.595592239, 26.8759637779, 32.1681698964
