Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.002560249, 0.0118339027922, 0.000702787441012, 0.982464302544, 1.01997167172, 0.981287933735, 0.99303177356, 1.00262602121, 1.01381548993, 1.01963851806
sigma1, 59.3947822255, 19.9460672714, 1.54381354934, 12.4235693661, 79.9751747248, 4.06063678705, 51.9890816914, 65.0897103708, 74.847576298, 79.596696134
v01, -7.03993052154, 134.159536806, 8.75272095147, -417.058397001, 150.756402346, -392.880950717, -22.5173817353, 24.6249530054, 46.4158908777, 275.533174602
A1, -236.896302438, 152.903880716, 13.9468066062, -462.083874744, -1.82070765285, -491.959890964, -358.855169508, -257.966120485, -82.9397479956, -4.77369680617
sigma2, 49.0581850757, 25.1746297793, 1.93747450267, 1.53734858828, 78.0696937555, 1.60354186942, 31.3825674771, 57.3599427967, 70.3469229489, 78.6960049087
v02, -14.9352576525, 171.899215101, 9.276221308, -410.419917169, 301.782273952, -405.157824493, -99.0953616473, 13.5793631278, 67.6437429497, 358.577394775
A2, -176.488405075, 155.607925046, 13.4621620544, -463.22956015, -1.01043390864, -532.242460754, -302.675093443, -126.504977, -34.0785879713, -2.63304074169
sigma3, 40.1067400286, 26.2976193946, 1.97170123373, 0.0464782092888, 76.1723127139, 0.303641232719, 15.4556442326, 44.7927212813, 63.31654354, 78.3624089768
v03, -16.4967252045, 197.121563842, 16.1868174231, -411.414470727, 323.097186934, -388.711802019, -134.534393143, 8.85889875023, 101.85683183, 364.020978279
A3, -131.016560308, 126.312412221, 9.75165722281, -409.488075146, -0.0301363951081, -474.389589873, -182.726949745, -89.9596810879, -36.6846446196, -4.38675594448
Osc, 0.133
GAMMA, 1130000000.0
