Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 10.7057984169, 6.13956013665, 0.1741207706, 0.64608948497, 20.5972912113, 0.586188247819, 5.36817038919, 11.0038617356, 15.9209550923, 20.5803700044
TEMP, 403.89718138, 279.19400578, 8.71802833199, 4.2429894428, 924.43229023, 25.6375834619, 165.913949228, 348.679521039, 617.888512131, 958.271069227
B, 11.9829785821, 7.44460876764, 0.229876927875, 1.00095571497, 24.4860874154, 0.588354585205, 4.88122984877, 12.0667637021, 18.3052948933, 24.2250166564
A_Z, 1.33081914512e+14, 3.56256154463e+14, 3.33129850652e+13, -2.63817583964e+14, 1.15486358695e+15, -1.39776521299e+14, -1.47981524265e+12, 108835735769.0, 8.56163913044e+13, 1.33777637494e+15
N_HI, 20.4774576669, 1.44757241309, 0.0458844002044, 18.0037658478, 22.7288537375, 18.092439947, 19.2291197981, 20.4035307796, 21.8397355174, 22.9017010693
B_HI, 78.4735732536, 40.1096709254, 1.06257230677, 13.1225341149, 145.850216643, 12.1856615312, 45.2478929137, 77.6409612207, 112.746205368, 145.602019711
A_Z_HI, 0.0259448429441, 87.1616461712, 2.81474928165, -141.736190358, 141.507070778, -141.736190358, -75.5531797659, -1.69094024351, 77.3676050577, 141.507070778
N_ZnII, 13.4584613671, 0.0924070630639, 0.00409545478463, 13.275576366, 13.6371979721, 13.2545557018, 13.4088129484, 13.4644794552, 13.5170883765, 13.6321987682
B_ZnII, 65.5443646997, 13.773028178, 0.486502032786, 38.3537359368, 92.8266237911, 39.3318119452, 55.875074453, 65.0320199321, 74.5990218169, 93.9868953566
A_Z_ZnII, 3.20343960622, 13.6535512054, 0.436254810432, -24.5041456452, 28.8673395394, -23.1875214687, -5.80232637424, 2.58956298281, 12.3010799648, 31.2275922587
N_BIII, 7.34587318044, 4.0880945803, 0.186074752233, 0.791231225272, 13.3987126458, 0.399859728279, 3.84577949632, 7.47860381735, 11.2444265268, 13.1745697636
B_BIII, 52.772925069, 26.4166955232, 0.850153231293, 9.58706385259, 96.0480177827, 10.5019272399, 28.9928985166, 51.2677998031, 75.4223533398, 97.6596877042
A_Z_BIII, 6.41397203431, 59.9332143836, 2.32648563983, -88.658331613, 99.5715348589, -94.7817999161, -47.6125358248, 10.8060248546, 62.0700968644, 95.3046149089
N_CrII, 13.5872648872, 0.163241108979, 0.00803009704843, 13.2851376939, 13.8561511202, 13.2476288452, 13.498211968, 13.6052382514, 13.6954899838, 13.8416237971
B_CrII, 17.0390793903, 5.65790246225, 0.343200927804, 8.11559639661, 26.3902775684, 8.69684627436, 12.0363049517, 17.0234235, 21.0920159906, 28.2044073951
A_Z_CrII, 24.7905600493, 9.03496108544, 0.573284836703, 9.23876344185, 40.1241038039, 6.7274097302, 17.9743070354, 26.0649816162, 31.9936909724, 38.5211049627
N_MgI, 7.07681151924, 3.81110101003, 0.136278040906, 0.767707318544, 13.4532855437, 0.511519180227, 3.91018774348, 7.08763430385, 10.3825023334, 13.2659420339
B_MgI, 55.4963912631, 26.0937620052, 0.753565259103, 12.3337292112, 98.8047601828, 11.310682763, 33.9735467093, 55.4446201166, 78.5856964738, 98.1511298679
A_Z_MgI, 4.2266483044, 57.6818665167, 1.66530938856, -88.6314117624, 98.9890775626, -94.8530565854, -45.8575188672, 10.0183053141, 53.6913287746, 94.8125791973
