Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B, 11.7353089437, 1.08715676514, 0.410906633815, 10.5567996943, 13.707550652, 10.5567996943, 10.6294802606, 11.5119015001, 12.7827152805, 13.707550652
A_Z, 5.05553081335, 0.695342949684, 0.262814931538, 4.07895624687, 6.28763930952, 4.07895624687, 4.58150533829, 4.84550696814, 5.67171573424, 6.28763930952
NH2J0, 2.75679628579, 0.529262394395, 0.200042381981, 1.69680776109, 3.54644181823, 1.69680776109, 2.43638222199, 2.91401264922, 3.00321353306, 3.54644181823
NH2J1, 5.36059603253, 1.06313359089, 0.40182672742, 4.0699461959, 7.10907276062, 4.0699461959, 4.35682975066, 4.96251890368, 6.54781232091, 7.10907276062
NH2J2, 3.43508922931, 1.79580887378, 0.678751954604, 0.965437372927, 5.50884259766, 0.965437372927, 1.24395747279, 3.87079397378, 5.12184048592, 5.50884259766
NH2J3, 3.49637663293, 1.7331524343, 0.655070046473, 0.874617698966, 5.98692665025, 0.874617698966, 1.96312721604, 4.01225780544, 5.24396418109, 5.98692665025
N_HI, 21.5509000216, 0.0, 0.0, 21.5509000216, 21.5509000216, 21.5509000216, 21.5509000216, 21.5509000216, 21.5509000216, 21.5509000216
B_HI, 73.7988921651, 14.0546668387, 5.31216474502, 59.8057312683, 99.8015379566, 59.8057312683, 59.8057312683, 76.7410218331, 83.8914697278, 99.8015379566
A_Z_HI, -32.1010905558, 16.0660006084, 6.07237745332, -45.1515354055, -2.84237432738, -45.1515354055, -45.1515354055, -39.2922937211, -12.4600353655, -2.84237432738
N_SiII, 9.51280756096, 5.78000011134, 2.18463469607, 3.33026942921, 17.8187074059, 3.33026942921, 3.33026942921, 10.0720074299, 15.5811047855, 17.8187074059
B_SiII, 26.0687703014, 2.45137518841, 0.926532731235, 22.2843736574, 28.1965286581, 22.2843736574, 22.3773220129, 27.2187409705, 28.1965286581, 28.1965286581
A_Z_SiII, 5.23340078812, 1.12531407419, 0.425328741022, 3.67402329497, 6.58441783593, 3.67402329497, 3.78959479267, 5.35360024042, 6.2996542517, 6.58441783593
N_ArI, 10.1304329009, 0.0, 0.0, 10.1304329009, 10.1304329009, 10.1304329009, 10.1304329009, 10.1304329009, 10.1304329009, 10.1304329009
B_ArI, 16.8270402815, 9.01011836889, 3.40550464105, 0.00366199396129, 27.3599717401, 0.00366199396129, 10.3259185169, 22.7807790642, 22.7807790642, 27.3599717401
A_Z_ArI, 2.97703478896, 1.41984241779, 0.536649991196, 1.33314854602, 4.93902954146, 1.33314854602, 1.46694694384, 2.3761555157, 4.86846763305, 4.93902954146
N_OI, 6.65013608394, 2.32727194081, 0.879626112657, 1.81715295944, 10.3421350014, 1.81715295944, 6.43187623379, 7.17597071971, 7.17597071971, 10.3421350014
B_OI, 22.6667973178, 1.18104585545, 0.446393374354, 20.4414602189, 24.0957749591, 20.4414602189, 21.8348253899, 22.738798828, 23.6447822869, 24.0957749591
A_Z_OI, 4.97486700271, 0.851361203261, 0.321784288531, 3.72310712711, 6.13274518027, 3.72310712711, 4.04101662033, 5.07462742601, 5.88048909588, 6.13274518027
N_OIa, 9.25214261615, 5.28615981762, 1.99798060971, 2.02601346005, 14.7089655195, 2.02601346005, 2.02601346005, 8.29303741723, 14.7089655195, 14.7089655195
B_OIa, 17.6860021468, 8.38602117197, 3.16961807291, 1.07156898273, 27.1882988675, 1.07156898273, 12.7238814578, 17.3959667062, 27.1882988675, 27.1882988675
A_Z_OIa, -3.76792537002, 0.684608753707, 0.258757786812, -4.74643878948, -2.69871961393, -4.74643878948, -4.42024899482, -3.79420527039, -3.0925015677, -2.69871961393
N_OVI, 16.1053236603, 1.45882923168, 0.551385621762, 12.9180420133, 17.3489729272, 12.9180420133, 15.924101609, 15.924101609, 17.3489729272, 17.3489729272
B_OVI, 21.6168684048, 6.68325226835, 2.5260319216, 10.9786895791, 29.2409954995, 10.9786895791, 16.9635344032, 18.912708997, 29.2409954995, 29.2409954995
A_Z_OVI, 2.19544436536, 1.36574850683, 0.516204414648, -0.0134366772576, 4.39881626366, -0.0134366772576, 1.14285923421, 2.43578727508, 3.24009137535, 4.39881626366
N_CrIII, 7.46989418095, 1.65811790676, 0.626709660817, 5.30938250767, 8.88977928972, 5.30938250767, 5.30938250767, 8.88977928972, 8.88977928972, 8.88977928972
B_CrIII, 6.385756022, 4.34911560897, 1.6438111892, 2.62825923502, 11.7193632392, 2.62825923502, 2.62825923502, 2.62825923502, 11.7193632392, 11.7193632392
A_Z_CrIII, -0.699354692928, 0.760538128233, 0.287456392841, -1.74555609696, 0.573665728494, -1.74555609696, -1.23885334168, -0.947790698508, 0.234711985852, 0.573665728494
N_CII, 14.036617417, 2.95372715996, 1.11640392943, 11.7739377557, 18.9841335694, 11.7739377557, 11.7739377557, 12.8195841075, 18.3112068673, 18.9841335694
B_CII, 25.7202645372, 2.77405996536, 1.0484961129, 22.1258154603, 28.6653916063, 22.1258154603, 22.126345553, 26.3437215735, 28.6653916063, 28.6653916063
