Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B, 60.5452381285, 2.34048335399, 0.106552037554, 55.783937728, 64.6965173782, 55.8303786053, 59.0075685588, 60.5489957081, 62.2203717301, 64.8386034635
A_Z, 43.3785410923, 2.02802451912, 0.0979138383371, 39.4599979281, 47.4030874624, 39.3290373569, 42.0254109082, 43.4229081114, 44.8085535852, 47.3105434716
NH2J0, 14.4560027829, 0.132491243166, 0.0069050354424, 14.1811552617, 14.6735956807, 14.147825291, 14.3886093555, 14.4737275123, 14.5452288672, 14.6489362369
NH2J1, 15.1504588577, 0.0345216097272, 0.0020083288527, 15.0881275637, 15.2235263993, 15.074130717, 15.1292967668, 15.1532602916, 15.1747414139, 15.2126335824
NH2J2, 5.21534867554, 3.73515172204, 0.196948373774, 0.00175809359509, 11.8458742551, 0.175653320738, 1.88312181148, 4.45681688152, 8.14930150805, 12.3523156743
NH2J3, 15.4788452953, 0.0200009819667, 0.000910376122423, 15.4381049102, 15.5156409501, 15.4389551461, 15.4657381587, 15.4790943098, 15.4917937827, 15.5249799278
NH2J4, 9.53572886267, 5.0892014856, 0.380473555642, 0.801813125136, 14.6724742486, 0.47277943646, 4.64503314097, 11.6669380572, 14.2928046282, 14.5311540795
N_HI, 21.5499977466, 0.000934994536613, 4.70178099119e-05, 21.5481828133, 21.5517153528, 21.548224464, 21.5493881581, 21.5500780878, 21.5505755939, 21.5519908572
B_HI, 48.7150545172, 28.6895031657, 1.18571240351, 5.53775857093, 98.9919319587, 2.59363515966, 23.0692382591, 47.1330174663, 72.8410876603, 98.5519101632
A_Z_HI, 1.31400540312, 28.3716622603, 1.23177215291, -45.1204456012, 48.8949623634, -47.8418656308, -23.1085858192, 2.32219903657, 25.7258394208, 48.0282981065
N_SiII, 10.1344351234, 5.77292650351, 0.239966752234, 0.00372580203355, 18.7982248785, 0.458067370146, 5.14587707144, 10.0329078141, 15.3337323009, 19.4297548429
B_SiII, 15.3347884003, 8.63302363481, 0.380279896586, 0.340867255266, 28.2537810291, 0.717990350945, 7.87391727667, 15.7172479498, 23.1890598327, 28.9661089926
