Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
A_Z, -27.9946968805, 0.643271601909, 0.0416063526463, -29.0856537989, -26.8581447397, -29.1864273587, -28.5170529437, -28.0009878266, -27.4459908904, -26.9039121152
NH2J0, 5.48688356776, 3.96542628155, 0.189355727228, 0.0333490472677, 13.0419123146, 0.117661378833, 2.25874052368, 4.7913481915, 8.27127163853, 13.6921331935
NH2J1, 5.69690161458, 3.79714659068, 0.180129539211, 0.0195547198635, 12.5941856875, 0.417285140548, 2.47209942658, 5.12294313688, 8.63132514331, 13.0019249208
NH2J2, 5.04082533232, 3.77869929445, 0.178191733914, 0.0310778475098, 12.2368708939, 0.15991452267, 1.6733766289, 4.30646656419, 7.78515658575, 12.829087011
NH2J3, 14.0096121702, 0.217969214799, 0.0170739918989, 13.6193371838, 14.493073145, 13.6193371838, 13.8685909436, 13.9833166561, 14.1247833629, 14.5844292792
NH2J4, 5.44034763621, 4.08431629796, 0.192792360421, 0.0159774908188, 13.1329424671, 0.273770336229, 1.89672423141, 4.57605051759, 8.63845872701, 14.1099082629
NH2J5, 5.35931047538, 4.10372581061, 0.19092932919, 0.000500178553232, 13.1998280737, 0.0780577876224, 1.95564372365, 4.39918876861, 8.26677816839, 14.0063461979
NH2J6, 5.1955897816, 3.57906226355, 0.185886738387, 0.00176494133807, 11.7974061292, 0.2192954445, 2.10339158261, 4.61149939436, 7.854475137, 12.2415152423
NH2J7, 5.74497028476, 4.22057772896, 0.224320045671, 0.000418088007701, 13.3691922456, 0.164501030103, 2.09433610052, 4.96184583186, 9.2470506405, 14.2811434642
N_FeII, 11.6537261188, 3.84392773139, 0.327670190928, 2.38131476468, 14.310176474, 1.5629893008, 10.6013266108, 13.7487433802, 13.9317546613, 14.0761012054
B_FeII, 18.7510966845, 7.79133549118, 0.405805614876, 4.41308292541, 29.9835797375, 3.12806058695, 12.8874309972, 19.9723893464, 25.4595127392, 29.480318809
A_Z_FeII, 1.90517218115, 35.7081502983, 3.0126116195, -98.9074122531, 52.6333384595, -88.4805765381, -2.64517051474, 10.2132906731, 17.7186851323, 79.5895298702
N_FeIIa, 14.8838061886, 0.247095251914, 0.0233407027602, 14.4466895145, 15.4438699383, 14.389914191, 14.7514069452, 14.8924728858, 15.0196561514, 15.4028058982
B_FeIIa, 1.42069056771, 0.211263727509, 0.0194191932795, 1.0820774847, 1.80148657124, 1.08755124664, 1.26345556015, 1.40165439571, 1.51818460282, 1.91285320465
A_Z_FeIIa, -5.68204546812, 0.13050804797, 0.0089617934877, -5.90457814228, -5.40480295206, -5.93857249965, -5.75998009159, -5.68201357732, -5.6055127218, -5.41429125902
N_FeIIb, 6.69743977009, 4.08131773713, 0.196052312721, 0.250523250957, 13.3401269381, 0.296932189877, 3.13039036304, 6.66851560953, 10.2633226779, 13.4993856938
B_FeIIb, 15.1703334045, 8.51355844534, 0.398922277419, 1.6897814534, 29.9929812919, 0.729454608054, 8.03480237519, 15.4381623074, 22.1858186143, 29.2363951628
A_Z_FeIIb, 1.71220413467, 57.736868075, 2.45494348298, -93.1444494539, 92.1198017732, -93.056308927, -49.5178307596, 3.4223751657, 54.8974841455, 92.2095120715
N_ArI, 13.9011420071, 0.257557229829, 0.0228775293214, 13.2852979115, 14.1620343048, 13.4461266877, 13.7929728264, 13.8873693508, 13.9743518121, 14.8168823787
B_ArI, 19.0664644349, 7.18350742349, 0.522269352994, 4.51395770228, 29.2014882007, 4.59476636118, 14.2504635577, 20.1609583126, 24.7251528472, 29.4312959655
A_Z_ArI, -34.2604415594, 7.61277859278, 0.451251778716, -48.8567045354, -20.8501127512, -47.720816797, -38.7946383745, -35.4412068034, -30.0085030304, -16.1139264725
N_SIV, 14.495395912, 0.0743740068037, 0.00451279019475, 14.3316674516, 14.6205792906, 14.3444575493, 14.4412165365, 14.493543049, 14.5475020214, 14.6370755123
B_SIV, 25.3567564617, 3.37940568583, 0.177333895812, 18.6820668581, 29.9776047686, 17.6700276311, 23.0622904429, 26.1836252668, 28.0116692352, 29.7063791121
A_Z_SIV, 20.0355652098, 4.24669890303, 0.187830008451, 12.621750081, 29.0370790416, 11.6425989316, 17.2341973346, 20.0301839268, 22.8245552146, 28.5124054991
N_CIII, 9.92543718364, 5.69022099042, 0.263432568201, 0.77962149955, 19.5409586797, 0.453589150311, 4.91446565777, 9.93239569073, 14.7908205369, 19.3756593218
B_CIII, 15.0857670802, 8.63139374333, 0.344313619579, 1.65673704805, 29.9794888427, 0.621631865936, 7.64112734432, 15.05014678, 22.497753476, 29.5746818779
A_Z_CIII, -1.45856624126, 57.0055835908, 2.43448803461, -94.1013925197, 93.0164343875, -93.7443641563, -48.8481803966, -2.15502845372, 46.3721320364, 93.6257733542
