Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B, 54.0584833065, 11.3757267538, 0.759424857022, 33.5847776467, 75.1812398906, 35.2436168085, 46.6545291594, 52.7605472336, 60.1887000142, 79.8281450222
A_Z, -36.961431676, 9.16218911607, 0.551062946562, -53.4096270852, -17.6044917552, -55.0995424281, -43.0448738643, -36.9269845939, -31.1896714616, -18.4011468761
NH2J0, 5.1961458588, 3.82863668154, 0.179515336701, 0.00860225189032, 12.1220698752, 0.113922734479, 1.78118929606, 4.61072809586, 8.10808744716, 13.0428052463
NH2J1, 6.59095034269, 4.95212496276, 0.387869699467, 0.459284260071, 14.6202415215, 0.196690726742, 2.23825213319, 5.34331450093, 11.1030243764, 14.4991187192
NH2J2, 5.29323573764, 3.73472671457, 0.181863919057, 0.0342046589107, 12.1996640061, 0.316451931302, 2.03183490181, 4.39653646117, 8.11542743188, 12.7797435395
NH2J3, 14.8986517917, 0.0829232123124, 0.00620805145191, 14.7379507539, 15.0519492458, 14.7278062494, 14.8505335961, 14.9004533665, 14.9594458411, 15.0519492458
NH2J4, 5.26319778801, 3.92807219588, 0.183144914297, 0.0678499230207, 12.7797260917, 0.277972871261, 1.93005933055, 4.61416628444, 7.9978826494, 13.5660399516
NH2J5, 5.46781134967, 3.97977211126, 0.217676563865, 0.00622556573157, 13.0258854968, 0.284938794286, 1.9532649963, 4.76211498678, 8.43483886775, 13.5957656236
NH2J6, 5.38771598181, 3.81083555662, 0.193993955324, 0.0172075846265, 12.4041587339, 0.121878521476, 1.95878897894, 4.83113195167, 8.36744720623, 13.1201001884
NH2J7, 5.90256535849, 3.98242396552, 0.202882150979, 0.229562745384, 13.2801782727, 0.362821099413, 2.43054872985, 5.44629007747, 9.19765136996, 13.5917986117
N_FeII, 11.4251936239, 3.93455815052, 0.325387373745, 2.05850912291, 14.0910108692, 1.15758903714, 9.87517635729, 13.5921270697, 13.8458951142, 14.043477954
B_FeII, 17.2191204253, 8.0113124264, 0.422340623297, 3.09926882986, 29.993849513, 1.56256785455, 10.6809232502, 18.1072465792, 24.1173871333, 29.6886853381
A_Z_FeII, 7.95213782671, 35.8800126174, 3.10010471, -77.7357369886, 90.6302535637, -84.5476081151, 2.89492145853, 13.4227756562, 21.1515192687, 88.2052322944
N_FeIIa, 15.0247316226, 0.339762830981, 0.0331017193858, 14.324182199, 15.5188029175, 14.0626055848, 14.9019680114, 15.0643450453, 15.2415156603, 15.4750680803
B_FeIIa, 1.48247403633, 0.212547745447, 0.0186384458075, 1.23801625949, 1.77729336465, 1.23801625949, 1.35200300855, 1.47620660397, 1.50412883622, 1.77729336465
A_Z_FeIIa, -42.6745600041, 0.393433129718, 0.0362147609246, -43.0373571371, -42.3401148565, -42.9514821378, -42.8325832846, -42.7786781025, -42.6258530037, -41.512427003
N_FeIIb, 6.97003505151, 4.21315951734, 0.238762383211, 0.256156735672, 13.700741271, 0.181115161483, 3.48413120369, 6.99422358104, 10.5035194748, 13.700741271
B_FeIIb, 14.2158242753, 8.69324706225, 0.438931463488, 0.0630334458528, 28.3156424921, 0.298516814758, 6.77088847594, 13.945263792, 21.6539746537, 29.4447552199
A_Z_FeIIb, 2.94761895564, 58.8697480424, 2.7440193741, -89.6907126612, 99.3417691657, -95.245464725, -48.6188104714, 4.40194195581, 53.3489349402, 96.9663665076
N_ArI, 13.8533279422, 0.152159699008, 0.0110303709244, 13.5321289203, 14.0846036764, 13.5228593456, 13.7834003999, 13.8810107245, 13.9483220604, 14.0808788645
B_ArI, 19.8292946593, 6.4281275552, 0.391976742969, 8.56807964101, 29.9733597042, 6.56874763759, 15.3811361678, 20.6572492596, 24.9274147082, 29.4049734153
A_Z_ArI, -34.2001026483, 7.13805811297, 0.39083281669, -47.4661777251, -19.8291723339, -47.4661777251, -39.159225341, -34.459644334, -29.8183817892, -18.9724739631
N_SIV, 14.5010151515, 0.0756758120684, 0.00487350757184, 14.3644884386, 14.6408461029, 14.3423094165, 14.4462873663, 14.4966174546, 14.5567293887, 14.6399522082
B_SIV, 26.1390517818, 3.37454699421, 0.179893081972, 19.3328932819, 29.970829303, 17.2700598084, 24.5877753074, 26.992981003, 28.7527986805, 29.8110292181
A_Z_SIV, 19.9302225239, 4.33828942286, 0.196697195412, 11.6753153847, 28.3531387057, 11.6753153847, 17.0829511206, 19.8893403456, 22.8544142318, 28.4048584919
N_CIII, 9.56947061366, 5.90904187908, 0.257216229742, 0.0497420544695, 18.9907340228, 0.392458407857, 4.56485801525, 9.08782862382, 14.9808329705, 19.5908628678
B_CIII, 14.4028358872, 8.57569215099, 0.397677425225, 0.155074580499, 28.4316327863, 0.675643729816, 7.03543708774, 13.8279017335, 21.4439052243, 29.1922186259
A_Z_CIII, -0.983688095542, 58.6516001889, 2.54423941275, -90.7066785714, 97.1122428625, -95.5381977379, -51.5558794424, -3.03764276597, 51.3467293889, 95.0052681059
