Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 13.8042716158, 0.114104368738, 0.00400151704818, 13.5880023315, 14.0316491354, 13.5560294781, 13.7311435936, 13.8088574863, 13.8867000354, 14.0056798929
TEMP, 41.8563418406, 20.3184313327, 0.642436751763, 0.364956912219, 71.9867807523, 3.01447355296, 27.0562293088, 44.3658092715, 56.4321797726, 77.7749462243
B, 2.35650894216, 0.4774145287, 0.0117966594355, 1.51611408791, 3.30338659818, 1.55976425336, 2.01658253365, 2.31175070468, 2.65415889184, 3.41299139109
A_Z, 20.595255486, 0.453303412266, 0.0129990461038, 19.7234829852, 21.4343456914, 19.7643115326, 20.2890284035, 20.5841280438, 20.9055969691, 21.5079293624
N_HI, 21.7937438912, 0.00559170721956, 0.000162371882296, 21.7824277437, 21.7999896756, 21.7788461345, 21.7910553146, 21.7953455952, 21.7978867301, 21.7997869197
B_HI, 19.7559764118, 11.5241206284, 0.200516629995, 1.31124188767, 39.3359918033, 0.863951698067, 9.86531643445, 19.5107517262, 29.7404467693, 39.0808434685
A_Z_HI, -38.7457001775, 8.87366171638, 0.249590673116, -49.9939450571, -21.2829887968, -49.6876811049, -45.7022504115, -40.6989011597, -34.1719669501, -16.4653669325
N_SiII, 15.4355485112, 1.03102696953, 0.0690776503487, 14.5661244625, 18.7206786205, 14.6473386592, 14.938957838, 15.0820304879, 15.3219886049, 18.9647809761
B_SiII, 16.9413915598, 7.10568152439, 0.363887688335, 4.75220034848, 29.96281765, 2.08658354001, 11.7276927838, 17.4381250178, 22.4072034751, 29.0131553283
A_Z_SiII, 16.1116994442, 5.44422130524, 0.129119479591, 5.47546508388, 26.8252030282, 4.976794364, 12.5818132169, 16.262814141, 19.5964792088, 26.5923151377
N_ArI, 13.5086662799, 0.0841290049565, 0.00214233399368, 13.3446143237, 13.6711289967, 13.3229762733, 13.4572520091, 13.5153097504, 13.568920724, 13.6562031274
B_ArI, 27.5030862385, 2.24261696846, 0.0669289247014, 23.1130498963, 29.9960814803, 21.6248581988, 26.3924844239, 28.0946897754, 29.1959495235, 29.912483604
A_Z_ArI, 25.0023357807, 6.18520449387, 0.130819775934, 12.9594130418, 37.4569053221, 12.2979283037, 21.044657037, 25.1290136689, 29.1285315622, 36.9353952163
N_OI, 15.2809536026, 0.0638460568838, 0.0014346902884, 15.1529383936, 15.4058779324, 15.152917976, 15.2372004769, 15.2815299656, 15.32308759, 15.4058779324
B_OI, 23.0279137585, 3.13230097657, 0.067469138387, 17.453898514, 29.4077174613, 17.0737434111, 20.8216949232, 22.9317455402, 25.2312338763, 29.1409128537
A_Z_OI, 25.5497280624, 2.63704646818, 0.0512856539743, 20.1471988202, 30.4895559821, 20.1633136842, 23.8409508215, 25.6287968103, 27.3169713409, 30.5590962961
N_OIa, 9.28424359984, 4.88275000611, 0.228660724389, 0.527397755679, 14.8025104813, 0.533839624018, 5.04528182142, 10.0143056575, 14.2336967053, 14.8123909421
B_OIa, 16.2048074612, 8.67577868958, 0.300673290208, 1.45650792644, 29.8345987395, 0.70942200747, 8.850200183, 17.2466440315, 23.6822101408, 29.3324638268
A_Z_OIa, 9.9867250004, 29.186569563, 1.11765139778, -43.0155999657, 49.997928791, -46.7038232237, -13.9618388872, 16.4414180767, 35.7821525607, 48.0697023599
N_OVI, 14.8285473423, 0.05097659355, 0.00132543875355, 14.7241623177, 14.9251090426, 14.7312357718, 14.7941672999, 14.8284477572, 14.8618822304, 14.9346352941
B_OVI, 39.0323137361, 0.954946448614, 0.030450335336, 37.1268112072, 39.9974347018, 36.4663191088, 38.6876901924, 39.3086849161, 39.7071653944, 39.9722316828
A_Z_OVI, 3.99165066209, 3.17847588221, 0.0889245098141, -2.51034993899, 9.79815884554, -2.30888136479, 1.79805412093, 4.00805556328, 6.17541467049, 10.1251874926
N_CrIII, 14.6311024995, 0.708216465539, 0.0202543023063, 13.4626982756, 16.0105806606, 13.4687477311, 14.0868210169, 14.573059251, 15.1297553794, 16.0369623305
B_CrIII, 1.07666968217, 0.537720297911, 0.0153142061315, 0.111669406494, 2.05992562038, 0.169714433363, 0.667955178512, 1.05625991849, 1.44810883559, 2.16626934486
A_Z_CrIII, 3.10615897397, 0.783303142034, 0.0177658539986, 1.59708716774, 4.58743752551, 1.46564621716, 2.58102283544, 3.17473819555, 3.67200515317, 4.49968627017
N_CII, 14.5747329221, 0.0847178163417, 0.00195634232959, 14.4132595213, 14.73981863, 14.4188531908, 14.5172808952, 14.5731242747, 14.6274475943, 14.7476060147
B_CII, 28.9523088676, 0.978408026163, 0.0298375445957, 27.0427456941, 29.9998630944, 26.3696196932, 28.5405481234, 29.2385433699, 29.6693708719, 29.9655009321
A_Z_CII, -1.33192507402, 3.27613957643, 0.0617479223616, -7.75008208715, 5.02673762106, -7.70210179582, -3.537931719, -1.37764091311, 0.850821061203, 5.09891971605
N_CIIa, 17.8080747474, 0.0729056545709, 0.0017189969034, 17.6633597092, 17.9475490592, 17.6548780713, 17.7619332563, 17.8088544123, 17.8610385598, 17.942549556
B_CIIa, 3.1389784705, 2.17393134496, 0.0529406648402, 0.00368863798163, 7.16096599802, 0.102730334514, 1.34426987246, 2.87147994128, 4.59285207046, 8.15062833313
A_Z_CIIa, 15.2902164145, 4.53178677525, 0.0930758358016, 7.42759885087, 23.9356661881, 7.63254500529, 11.7358151834, 15.0147846305, 18.6761597834, 24.2993460587
