Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.6749477906, 0.0574718164627, 0.00374131043264, 14.5717307324, 14.7873183305, 14.5550985781, 14.6391505698, 14.6755976377, 14.7168370451, 14.7849898487
TEMP, 266.366176624, 41.1318575939, 1.39683142223, 181.980803921, 342.8077345, 183.119222987, 241.024902504, 267.135868042, 292.85711404, 345.19776028
B, 3.75874927526, 0.297191805561, 0.0113038285179, 3.15588935298, 4.30654924613, 3.19400444162, 3.55575395317, 3.76363922279, 3.9504359425, 4.36431417685
A_Z, 9.85333819952, 0.139143248337, 0.00821510195063, 9.55785781674, 9.99956589671, 9.50472186512, 9.80008442678, 9.89236785383, 9.95435779369, 9.99634353217
N_HI, 21.6464467468, 0.00270844887733, 0.000237145037614, 21.6416109235, 21.6498274042, 21.6392599279, 21.6456336714, 21.6460921808, 21.6489787654, 21.6495673743
B_HI, 22.3826818756, 11.5251578915, 0.401050200352, 2.60710036623, 39.8554943902, 1.47071184654, 12.7862272002, 23.8428573216, 32.2672006741, 39.3420113982
A_Z_HI, -5.10437948447, 4.15093598174, 0.188334011595, -9.99862131015, 3.68388657018, -9.78838086302, -8.33935748436, -6.20779133957, -3.00161778152, 5.64981215071
N_FeII, 15.5963506213, 0.0310038263035, 0.00204956956621, 15.5470435738, 15.656577921, 15.5423689741, 15.5728416619, 15.595528491, 15.6186123264, 15.6527476147
B_FeII, 29.7012692118, 0.278232139602, 0.0149446280807, 29.1360930974, 29.99794543, 28.9539552083, 29.5561598932, 29.794860786, 29.9006961719, 29.977513228
A_Z_FeII, -2.20046259633, 1.53850512942, 0.049181335514, -5.2161942645, 0.79637513529, -5.18819091966, -3.25534103047, -2.24475912481, -1.21841026075, 0.909096809903
N_FeIIa, 14.7053716115, 0.07008184219, 0.00616745380891, 14.5464456867, 14.8052526194, 14.5578443241, 14.6591332999, 14.7105655313, 14.7589038388, 14.8246478916
B_FeIIa, 28.3820688072, 0.390591781992, 0.0371303048648, 28.2037700824, 29.6469292886, 28.2037700824, 28.2644304675, 28.2737168394, 28.2740455626, 29.8984529803
A_Z_FeIIa, -9.67715622203, 0.301839757431, 0.018245876351, -9.955754099, -9.40758057906, -9.73069958855, -9.73068930833, -9.73068930833, -9.7301006481, -8.94316424184
N_SiII, 16.7531686939, 1.93766372311, 0.190756875789, 14.8146936291, 19.4954070818, 14.7710041069, 15.086057731, 15.4873916262, 19.1834155759, 19.4920238845
B_SiII, 13.59442684, 9.79940807227, 0.903383271525, 0.0157207505543, 28.5337638642, 0.445421109543, 3.88515096037, 12.7524794565, 22.9755318922, 29.3268410278
A_Z_SiII, 7.54943038548, 2.46004344542, 0.153363772698, 2.5930325569, 9.99736863172, 0.793695710336, 6.68226100997, 8.27523621716, 9.25801987549, 9.92476796354
N_ArI, 13.5030833113, 0.0822897852806, 0.00447323923708, 13.3217327598, 13.6383653816, 13.3354209066, 13.4479775652, 13.5180009215, 13.5545401571, 13.6666693615
B_ArI, 28.5189380303, 1.39334390066, 0.0581364692541, 25.6870796778, 29.9874361999, 24.796751944, 27.9951927638, 28.8620137201, 29.5389773577, 29.9438222619
A_Z_ArI, 7.2955582678, 2.48808742789, 0.118032745352, 2.1454864264, 9.99903928056, 0.678949712848, 6.24366047969, 7.99643489223, 9.14830212792, 9.92343429397
N_OI, 19.2297170799, 0.0806230124369, 0.00482811045755, 19.0669051545, 19.3700513484, 19.0748285876, 19.1734677408, 19.2325408624, 19.2830223725, 19.3909185029
B_OI, 2.22309156778, 1.31745508453, 0.0536406317689, 0.0243332229316, 4.371624946, 0.0763027335955, 1.13050510283, 2.23577361431, 3.34408704118, 4.51501113401
A_Z_OI, 9.67137662889, 0.336816786274, 0.0134938677487, 8.98389731664, 9.99948299689, 8.73633836533, 9.54475596092, 9.78570361654, 9.90352114356, 9.99448373861
N_OIa, 8.38987913985, 4.687019928, 0.180777766628, 0.50740533311, 14.6083847757, 0.578247050219, 4.14266294346, 8.61139792578, 12.9025347615, 15.1701007378
B_OIa, 15.2319137225, 8.92040623685, 0.307811463112, 1.3247515015, 29.760028767, 0.769993818688, 7.41955304347, 15.423529001, 23.156420452, 29.457189552
A_Z_OIa, 0.40715938556, 5.79592050609, 0.185583657363, -8.95015547383, 9.95235563765, -9.50846101515, -4.67547743734, 0.54209861872, 5.611418849, 9.47668316321
N_OIb, 14.994728216, 0.0905972446445, 0.00481976096921, 14.8049123054, 15.162671654, 14.7899592443, 14.9436599548, 15.0103787228, 15.0592730595, 15.1552934323
B_OIb, 29.3815552022, 0.743201370619, 0.0374078323649, 28.0133984345, 29.9989213864, 27.2449162126, 29.1631819826, 29.6644782327, 29.8590002141, 29.9759128067
A_Z_OIb, -8.56126941433, 1.51732650817, 0.0706556359164, -9.99974741149, -5.54545413195, -9.96832085064, -9.61166976287, -9.03027859464, -8.05029697514, -4.35052233284
N_OVI, 18.7651692848, 0.0602945165697, 0.00386573386882, 18.649222637, 18.8732991032, 18.6512312352, 18.7239552823, 18.7680466963, 18.8095037665, 18.8904750074
B_OVI, 2.81252038056, 1.90975115923, 0.0783089451907, 0.00177559807305, 6.32187399252, 0.0848954093703, 1.18572443083, 2.5036390533, 4.20966168154, 6.72649032333
A_Z_OVI, 1.28909117891, 2.86745330047, 0.13566131884, -4.30682039537, 7.15514037307, -5.36915849425, -0.427004153847, 1.47485008601, 3.21245614214, 6.45407207454
N_CrIII, 14.7761431925, 0.696739623169, 0.0458920111006, 13.6423041811, 16.1489217819, 13.5356788257, 14.219228363, 14.7226633091, 15.3441757874, 16.1463919545
B_CrIII, 1.1625875251, 0.546798043339, 0.0315001419194, 0.206220062156, 2.18404208919, 0.176791603999, 0.747065302087, 1.1773216858, 1.55111588759, 2.17120620096
A_Z_CrIII, 3.07565132104, 0.821374930114, 0.0323532587951, 1.58137756532, 4.74961365485, 1.4029907855, 2.50272440681, 3.10703200228, 3.67057795087, 4.60775103011
N_CII, 14.5809582884, 0.0904423958338, 0.00519300452022, 14.4196410149, 14.7737557419, 14.4104571156, 14.5171370542, 14.5761162421, 14.6403672534, 14.7688386565
B_CII, 28.8674182728, 0.972184550496, 0.0436974478789, 26.9850450414, 29.9990040394, 26.3417416927, 28.4693435925, 29.0902037238, 29.5907357032, 29.9682430086
A_Z_CII, -1.63270636754, 3.15099129766, 0.0803280504087, -8.00713905155, 4.23359204008, -7.69137399638, -3.8084777313, -1.6843678609, 0.4982344173, 4.69064571751
N_CIIa, 17.6989280494, 0.0751485483255, 0.0044544982386, 17.5700892359, 17.8407190755, 17.5624757141, 17.6488190969, 17.6962907493, 17.7493896707, 17.8406017509
B_CIIa, 3.57618860333, 2.26649750517, 0.0804097817611, 0.0422824675475, 7.57260754777, 0.153373909871, 1.57333375498, 3.38494405822, 5.42723899633, 7.88065888171
A_Z_CIIa, 8.11241065529, 1.49105180772, 0.0527689663367, 5.21730538951, 9.99961234773, 4.33721880406, 7.30000992691, 8.41934877854, 9.30214570495, 9.92966246755
N_SIV, 14.4642860824, 0.0809268980748, 0.0053556280626, 14.2886955688, 14.5922877979, 14.2886955688, 14.4111131269, 14.4765884162, 14.5214865048, 14.6088323974
B_SIV, 27.1755329422, 2.27404334912, 0.0950026162518, 22.4106119651, 29.9997329486, 21.3995553156, 26.016214171, 27.7244473737, 28.9259373283, 29.8978824392
A_Z_SIV, 8.52824462639, 1.38948631297, 0.0670061471452, 5.68071233386, 9.99842949535, 4.83764573447, 7.91636332573, 8.93217221359, 9.55209509116, 9.97747906847
