Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 13.0989519477, 3.17968066186, 0.326895608414, 5.53428123368, 14.8466123867, 2.17929805042, 14.0802452055, 14.5643934133, 14.5643934133, 14.8466123867
TEMP, 287.288582907, 181.050714297, 18.9466966207, 35.4317423103, 617.789598049, 40.9473815497, 71.17960138, 348.797677635, 386.025464845, 690.073815838
B, 2.87711260158, 0.779342421788, 0.0823936602145, 1.08039912559, 4.26624203814, 1.08039912559, 2.40237872952, 2.79370911221, 3.334975622, 4.37408652388
A_Z, 14.4044386194, 4.83680537336, 0.469279941089, 8.94889880019, 24.6468384487, 5.6982837939, 11.7414365575, 12.1240783494, 20.2848397018, 22.6324083221
N_HI, 21.5232822722, 0.00752447293249, 1.42108547152e-15, 21.5227198666, 21.5227198666, 21.5227198666, 21.5227198666, 21.5227198666, 21.5227198666, 21.5227198666
B_HI, 27.7162866488, 11.3726863013, 0.904465316948, 3.75455211399, 39.2002133129, 3.26217506193, 21.4567440233, 32.7017359048, 36.4192246906, 39.2002133129
A_Z_HI, -4.56037853078, 4.00734863461, 0.374235759303, -9.93481846057, 3.48715319522, -9.67036972915, -7.43761308694, -5.31538632716, -2.25264687314, 6.60078464547
N_SiII, 15.089102517, 0.19319850303, 0.0192170059003, 14.8103611599, 15.2809298632, 14.8103611599, 14.9845426941, 14.9845426941, 15.2809298632, 15.2809298632
B_SiII, 23.9257760062, 4.42950584278, 0.390129285792, 16.1541439979, 29.9091065937, 15.8263253756, 20.8629779232, 24.5533143486, 27.6868740217, 29.7812971931
A_Z_SiII, 11.2854028751, 4.83614419805, 0.506748021487, 3.70283288876, 20.8072898587, 3.70283288876, 7.157993162, 10.7203941778, 14.5844299968, 20.8346414852
N_ArI, 13.5624509317, 0.048948316849, 0.00527012370385, 13.4821161667, 13.6491304793, 13.4821161667, 13.5664086167, 13.5664086167, 13.5664086167, 13.6491304793
B_ArI, 28.5337224931, 1.27174765181, 0.112541086595, 26.429073934, 29.8509736225, 24.5924963425, 27.8005719236, 29.0202198922, 29.6052632376, 29.8385669357
A_Z_ArI, 23.7604937689, 8.90944392606, 0.768460672566, 3.63620317455, 39.013442449, 2.66499348241, 21.5465688715, 24.643103377, 28.4525794684, 38.4739974255
N_OI, 15.0915705316, 0.272047163323, 0.0289324095641, 14.561992622, 15.2306528876, 14.561992622, 14.9022925117, 15.1961873245, 15.2306528876, 15.471675996
B_OI, 23.4446658762, 3.5879128256, 0.338279377066, 17.6085248532, 29.7265177361, 16.6260237796, 21.3395557612, 23.7058904335, 25.8528782969, 29.2785990699
A_Z_OI, 18.3691476938, 8.48653839686, 0.890715421661, -4.28759088265, 26.8406268085, -4.17993657439, 16.3096847529, 21.3704195132, 23.664445882, 27.2158250433
N_OIa, 11.095253341, 4.53510934304, 0.434431115972, 0.751150967025, 14.5603254108, 0.340127209097, 8.67716698151, 13.8147279737, 14.2238299901, 14.5603254108
B_OIa, 18.3172172154, 7.63675236812, 0.615193028743, 4.58617563178, 29.9915859751, 2.15501785979, 12.5451991504, 18.9196174411, 25.1363209752, 29.2286006593
A_Z_OIa, 24.0091694991, 5.07194229425, 0.531958200635, 13.5983548184, 32.8457072299, 12.8429584807, 20.6111679838, 25.4852438864, 27.5119707202, 32.4354156206
N_OIb, 15.2323891886, 0.269470758183, 0.0257693117607, 14.8244063024, 15.5253183095, 14.8244063024, 15.0734711642, 15.0734711642, 15.5253183095, 15.5253183095
B_OIb, 27.7998270188, 2.07220729803, 0.19492967139, 22.7732634614, 29.9389860472, 22.7732634614, 27.005198848, 28.233549224, 29.6351126093, 29.9389860472
A_Z_OIb, -46.712133577, 20.9567495123, 2.19044751179, -67.3985724643, -6.41342771594, -66.6575998937, -61.7136529201, -59.4122619019, -28.2775198627, 0.540098241337
N_OVI, 18.590428619, 0.246481749303, 0.0258387907677, 17.8363991589, 18.7331432386, 17.8363991589, 18.5743766871, 18.5993706278, 18.7331432386, 18.7331432386
B_OVI, 3.99455003497, 3.34108301524, 0.344809345987, 0.586143933773, 12.6463220929, 0.31578882686, 1.34410275152, 3.24902131281, 4.93897843991, 12.6463220929
A_Z_OVI, 3.7873369956, 2.8555135955, 0.293705599391, -1.8293373354, 10.3536414873, -1.70200292248, 1.99406335335, 3.53095770515, 5.49820584921, 11.582900237
N_CrIII, 14.7730280798, 0.746049800964, 0.0779297392861, 13.8418526672, 16.1211970711, 13.8418526672, 13.9568401442, 14.8450995991, 15.1855910275, 16.403289199
B_CrIII, 1.19181526204, 0.506969225441, 0.0470048203843, 0.284096977476, 1.85366059027, 0.284096977476, 0.776669183987, 1.24260868025, 1.60740410305, 1.91027294369
A_Z_CrIII, 3.26408912314, 0.817946498503, 0.0742452681275, 1.93558986782, 4.68905867268, 1.75855078987, 2.57835437344, 3.32759866031, 3.96338540648, 4.65101821043
N_CII, 14.703304865, 0.129787500634, 0.0139898391207, 14.5812268225, 14.8666347019, 14.5812268225, 14.5812268225, 14.7152903729, 14.8666347019, 14.8666347019
B_CII, 28.8431181954, 1.1266039232, 0.110685778099, 26.1001011528, 29.9108234524, 26.1001011528, 28.4585696283, 29.0269322119, 29.7910963082, 29.9540511177
A_Z_CII, -1.50360321387, 3.09559480411, 0.313894997807, -6.66826869191, 5.52867870293, -6.28983439109, -3.50996042259, -1.89212933177, 0.124942508492, 6.59560580898
N_CIIa, 17.8966598627, 0.0807938492988, 0.00847043781907, 17.8339790791, 18.0206729659, 17.8339790791, 17.847462601, 17.847462601, 18.0206729659, 18.0206729659
