Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.6722987128, 0.0420673499575, 0.00413602554877, 14.5805358962, 14.727198249, 14.5805358962, 14.6566019521, 14.666448054, 14.6875059129, 14.7985632026
TEMP, 359.650449177, 39.0939090807, 3.31722974165, 306.109064345, 425.732617314, 306.109064345, 330.698030205, 356.651522172, 381.582297761, 425.732617314
B, 2.82532863967, 0.332898132666, 0.0309345277448, 2.31798070289, 3.69351893183, 2.26247318614, 2.57737959596, 2.81015522814, 2.977695902, 3.69351893183
A_Z, 12.3823312736, 0.367023375297, 0.0313975543383, 11.6695223767, 12.9729312467, 11.6044603243, 12.1428219033, 12.418110715, 12.6604569555, 12.9610942362
N_HI, 21.6971548196, 0.0254685589375, 0.00253395772569, 21.6794153053, 21.733719941, 21.6794153053, 21.6794153053, 21.6794153053, 21.733719941, 21.733719941
B_HI, 6.77373345863, 3.81360088471, 0.374095463569, 0.00260713655816, 12.1330596266, 0.191626511036, 3.70597584099, 7.33928445372, 9.81049965459, 13.2705648556
A_Z_HI, -37.4013578058, 10.1216063578, 0.739377364994, -49.9679834581, -16.3911564399, -49.7620974568, -45.5861636207, -40.0283068497, -31.1686765278, -12.2684728004
N_SiII, 15.2388647396, 0.398428212778, 0.0379797072235, 14.7794226713, 15.9383915492, 14.7794226713, 15.0237374315, 15.1004604691, 15.2883569336, 15.9383915492
B_SiII, 19.0655379359, 6.43009745124, 0.513075908594, 8.9123272767, 29.9060972147, 6.4388654113, 14.3980211654, 19.5117594482, 24.7367592033, 29.5306429464
A_Z_SiII, 13.622683871, 3.57871833156, 0.338855191504, 6.97627120696, 21.1205682991, 6.9886593366, 11.2807085819, 13.6525988993, 15.771683877, 21.1980862415
N_ArI, 13.2803342267, 1.06999055941, 0.100266823937, 13.0466633974, 13.6328461486, 13.0466633974, 13.3446508085, 13.3484754623, 13.4926385201, 13.6328461486
B_ArI, 26.9232456799, 2.65168821506, 0.208354947587, 21.8197481447, 29.9844866723, 20.9918483629, 25.7426140232, 27.6712385109, 28.8647417027, 29.8909792557
A_Z_ArI, 20.1489294676, 7.83238485161, 0.77509135706, 4.68634982552, 30.9507832717, 3.66754190895, 15.7281213609, 22.3783549733, 26.1983120767, 30.5961026515
N_OI, 15.2608458345, 0.128121530824, 0.0126929173492, 15.0967562777, 15.4794933602, 15.0967562777, 15.2057975689, 15.2057975689, 15.3536873763, 15.4794933602
B_OI, 23.3380268759, 3.05802334663, 0.180880683004, 18.1869278713, 29.7035883897, 17.0697521441, 21.110257346, 23.436979419, 25.5538090453, 28.9027338262
A_Z_OI, 25.0564727436, 3.02002998419, 0.283578519733, 19.1870223647, 30.9347900765, 19.0477707241, 23.0243394218, 24.8766747232, 27.0628805191, 30.8968486471
N_OIa, 7.96720710498, 4.68348817823, 0.35575792983, 0.439086887366, 14.4677580334, 0.377403579666, 3.65878668468, 8.03007461493, 12.4466842981, 14.4677580334
B_OIa, 15.0637387148, 8.58797485336, 0.622489185586, 0.206683149313, 28.1647080513, 0.346811662207, 8.12814899831, 15.6723822612, 22.0259305021, 29.1321734453
