Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.03400156676, 0.00506332673583, 0.000215966343443, 1.02394545436, 1.04337626424, 1.0239649988, 1.03064061144, 1.03397729321, 1.03754428698, 1.0435106755
v01, 18.2279273552, 0.233863971798, 0.0114328618807, 18.0006143189, 18.7069935798, 18.0076996711, 18.0575941676, 18.1626059112, 18.3207323873, 18.8691174736
b1, 12.2537299113, 0.490801434379, 0.0354910677442, 11.3564613396, 12.9985663069, 11.1759313638, 11.9107492283, 12.3291624935, 12.6545978382, 12.9641250478
N1, 15.1828218005, 0.118959836501, 0.00862494130001, 14.9498344686, 15.3954773411, 14.9617122327, 15.0990582453, 15.1811280208, 15.267300157, 15.4098395122
v02, -24.749224825, 0.737484281319, 0.0339563190007, -26.2196626043, -24.0001365655, -26.6964240447, -25.0533723749, -24.5030900513, -24.2262665051, -24.0170549579
b2, 15.7318647283, 1.45380182087, 0.0655896974026, 14.012712203, 18.6267416773, 14.0749990552, 14.5799375435, 15.3872500553, 16.5180532759, 19.3918792557
N2, 13.5711033305, 0.049844451449, 0.00277848698261, 13.4729948211, 13.6713428481, 13.465868711, 13.5377422837, 13.5709228186, 13.6055174773, 13.6708423758
v03, -102.471452306, 2.00962583574, 0.0692862914047, -104.986680939, -98.3899868895, -104.879264259, -104.094640155, -102.975554898, -101.325236768, -97.2210341594
b3, 13.8310835826, 2.30573291641, 0.0931696844448, 10.0105928982, 17.4039580557, 10.1773132136, 11.870889483, 13.793932481, 15.8177255881, 17.7444816869
N3, 13.0640231308, 0.0623180565166, 0.00272095879547, 12.9397836356, 13.18501567, 12.9342959789, 13.0231277473, 13.0642402522, 13.1053313695, 13.1845657365
Osc, 0.254
GAMMA, 862000000.0
