Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 10.3619568721, 6.00478915174, 0.456999509081, 1.59718957265, 20.9430328292, 0.516849888066, 5.06594627231, 10.2265213118, 15.3498570719, 20.9011393702
TEMP, 400.568766407, 249.409262986, 21.9862187646, 8.60561552433, 860.347850869, 30.5805690349, 191.508302617, 369.243229249, 579.299577286, 906.694206908
B, 9.99360230898, 7.76257141669, 0.725416099636, 0.40985862402, 23.9347938015, 0.542981899869, 2.64883285268, 7.83771897434, 16.7977548199, 24.2293586777
A_Z, 61.3940427162, 77.1186499685, 7.66770783748, -63.8677381311, 181.657432048, -63.8677381311, -5.23636618738, 63.7841602668, 128.15721107, 181.657432048
H22.8146, 10.0090096088, 5.93274812287, 0.42623014059, 1.16195154059, 19.9207038346, 1.06843947055, 4.85071826324, 9.71040569142, 15.5636641877, 19.8322178455
T2.8146, 410.689631047, 236.983426977, 17.8138978623, 2.85483531432, 745.353469301, 6.01211746707, 204.010131848, 416.007735935, 626.981046891, 757.720121643
B2.8146, 3.3981673876, 3.54443958241, 0.293845834147, -3.62092533472, 10.0157993633, -3.25121722379, 1.06187821227, 3.04578724023, 5.64737806613, 10.6837578624
H22.8151, 11.5424651553, 6.00653759547, 0.449844430219, 1.46447198195, 20.8200312342, 1.05095445807, 6.61281228655, 12.1794779677, 16.8067175831, 20.6990262536
T2.8151, 401.338932591, 224.671601697, 17.6714396078, 6.37312470694, 759.975367411, 23.4798465208, 221.913600205, 378.9418919, 608.324165409, 778.318966168
B2.8151, 4.40150200613, 3.57172565808, 0.297946896427, -1.91885138412, 11.645658952, -1.72678577169, 1.78085121969, 4.14422912169, 6.5889632013, 13.633388197
N_HI, 20.6290236053, 1.43543510013, 0.133012103399, 18.4192717392, 22.9925892047, 18.2559057083, 19.3527047039, 20.4442281203, 21.9022253366, 22.9925892047
B_HI, 85.4467782041, 39.9452615431, 3.77540773236, 15.0299269264, 146.621305897, 15.0299269264, 54.1386946921, 87.8896017523, 119.880313583, 147.157276049
A_Z_HI, 57.0179836647, 38.2854172625, 3.71609932665, 4.48384822943, 148.195695688, -4.66782182581, 31.9491062734, 48.6070884036, 76.1076032647, 144.519679918
N_ZnII, 13.2632543854, 0.0478653802077, 0.00475259012169, 13.2383189252, 13.3805848204, 13.2383189252, 13.2447000461, 13.2447000461, 13.2447000461, 13.3805848204
B_ZnII, 49.6794129458, 1.88144604486, 0.18362371064, 45.8284571026, 52.2221202272, 45.8284571026, 48.2703735853, 49.8120958094, 51.2705427809, 52.5532548567
A_Z_ZnII, 44.7844619405, 2.63526488647, 0.255659872847, 38.3447526608, 48.712621614, 38.4871935037, 43.7687996358, 45.210681315, 46.4745437258, 48.9473745971
N_BIII, 12.865672612, 0.0304510024602, 0.00304510024602, 12.8291437896, 12.8910570479, 12.8291437896, 12.8291437896, 12.8910570479, 12.8910570479, 12.8910570479
B_BIII, 38.8087121521, 6.8814489716, 0.601462478542, 27.1521603264, 51.1499644102, 28.5100823978, 34.5379313284, 37.4364644783, 42.6315567238, 59.0444549249
A_Z_BIII, -44.7050241278, 4.76892340265, 0.457822270109, -53.2501974368, -35.9022590111, -54.4262239978, -47.9929482692, -44.0672214834, -41.1952753558, -36.4876342624
N_CrII, 13.7864452952, 0.000406886193435, 4.06886193435e-05, 13.7865168515, 13.7865168515, 13.7841316424, 13.7865168515, 13.7865168515, 13.7865168515, 13.7865168515
B_CrII, 18.8208470565, 0.408593332882, 0.0402802504154, 18.1280047552, 19.6383664519, 18.1280047552, 18.4427354837, 18.8954852639, 19.0956952029, 19.6383664519
A_Z_CrII, 2.38633565111, 0.392648027708, 0.0299576676916, 1.68081835022, 3.20904359041, 1.54830855482, 2.14176742014, 2.38787123536, 2.64518708735, 3.15116309146
N_MgI, 13.5146362762, 0.0408848574102, 0.00406227741657, 13.4408777337, 13.551745649, 13.4408777337, 13.5191969055, 13.5191969055, 13.551745649, 13.551745649
B_MgI, 10.8730727594, 1.09180827101, 0.107995408963, 8.45557562752, 12.2611094396, 8.45557562752, 10.6578494001, 11.1159962382, 11.4048640355, 12.2611094396
A_Z_MgI, -62.9188803786, 0.673444833618, 0.0587821079436, -63.8173216509, -61.3165090942, -64.077678928, -63.4460619076, -62.9214664456, -62.5709825002, -61.5015043539
N_NiIIb, 15.1345709847, 0.14471149325, 0.0142866223789, 14.9087626529, 15.3715456935, 14.9087626529, 15.1121571074, 15.116952715, 15.2188917288, 15.3715456935
