Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 0.814156289033, 0.45819389948, 0.0512276353057, 0.00366097625222, 1.65901508756, 0.0107926792044, 0.418925345505, 0.806340388838, 1.14419442597, 1.84216384241
TEMP, 377.76641526, 230.423626529, 25.762144627, 8.79514720515, 740.821278295, 8.79514720515, 190.897351847, 377.852415159, 556.405909281, 740.821278295
B, 25.0388690072, 10.7051523677, 1.19687242018, 6.58491575712, 39.6756652593, 6.58491575712, 15.0940284418, 27.1392181865, 36.128467956, 39.6756652593
A_Z, -4.27178471191, 75.2342855849, 8.41144884032, -131.04931398, 118.547551465, -110.057466911, -63.84193828, -18.2093211564, 67.575220021, 145.043649249
N_HI, 22.0554156336, 0.0, 0.0, 22.0554156336, 22.0554156336, 22.0554156336, 22.0554156336, 22.0554156336, 22.0554156336, 22.0554156336
B_HI, 27.6353090936, 6.84813831809, 0.765645139929, 15.507056636, 39.3683734273, 15.507056636, 23.4298562253, 27.4388972595, 33.3454017054, 39.7200037717
A_Z_HI, 7.05165810038, 23.0214816225, 2.57387989253, -27.3854116609, 53.7992114968, -27.3722603383, -7.39716561174, 3.95328527411, 17.5114985067, 72.4600435042
N_FeII, 19.7622212097, 0.0124087396051, 0.00138733926361, 19.7470236695, 19.7723529032, 19.7470236695, 19.7470236695, 19.7723529032, 19.7723529032, 19.7723529032
B_FeII, 13.6391266085, 2.12344922357, 0.237408840534, 11.4182463633, 16.6681001839, 11.4182463633, 12.3885363676, 12.3885363676, 16.5119295415, 16.6681001839
A_Z_FeII, -50.4491133565, 5.92359702201, 0.662278280627, -54.5791044947, -35.8932153092, -54.5791044947, -53.4142835655, -51.8704758828, -51.8704758828, -35.8932153092
N_MnII, 9.6303230934, 6.27790639024, 0.701891272248, 0.197840536305, 17.9829967771, 0.426356720751, 3.39998166309, 10.1637572814, 15.2160730762, 19.9871344491
B_MnII, 17.4245064397, 8.06322972584, 0.901496489258, 1.52665090615, 28.7453614078, 1.52665090615, 13.2201126487, 18.2652815498, 24.0312252491, 28.7453614078
A_Z_MnII, -13.245372534, 56.0758317189, 6.26946858092, -97.6016391814, 92.8008448501, -97.6016391814, -58.5805593757, -17.8700818991, 28.4452860582, 92.8008448501
N_SiII, 19.9866540602, 3.5527136788e-15, 3.9720546452e-16, 19.9866540602, 19.9866540602, 19.9866540602, 19.9866540602, 19.9866540602, 19.9866540602, 19.9866540602
B_SiII, 0.615485083268, 0.38406011453, 0.0429392261768, 0.0551159906576, 1.51723399428, 0.0551159906576, 0.318063874222, 0.503428322528, 0.874294983948, 1.51723399428
A_Z_SiII, 52.6582336422, 28.1818676162, 3.15082858614, -3.09310353214, 93.242739223, -3.09310353214, 32.9468100489, 55.1818584137, 76.8552450461, 94.7774402244
N_MV, 10.0927619599, 5.80829465585, 0.649387084192, 0.189249573772, 19.0606574243, 0.189249573772, 5.06874074086, 10.7388904051, 15.1429325599, 19.3583487691
B_MV, 13.4479421864, 7.7073124909, 0.861703732674, 2.91319738811, 29.845721081, 2.44146192491, 7.08081496032, 12.2531065125, 18.8602460153, 29.7427297945
A_Z_MV, -27.8433623539, 54.8150972996, 6.12851418775, -97.1167282923, 76.4252201626, -97.1167282923, -79.1573308078, -35.7796334394, 15.1542418105, 76.6908320892
N_CIV, 7.30029975508, 5.81168972633, 0.649766664611, 0.0428192562143, 19.165091852, 0.0428192562143, 2.31482069779, 6.13617894198, 11.9678032564, 19.165091852
B_CIV, 18.9126412283, 8.27946056512, 0.925671832032, 1.90362634363, 29.9739759914, 1.90362634363, 13.6126977494, 19.9199564134, 26.1071792312, 29.9739759914
A_Z_CIV, -10.0891779015, 9.99207812963, 1.11714829672, -22.8201566297, 8.33409854967, -22.8682655348, -17.8190405653, -13.3786488965, 1.3954807474, 8.29316393266
N_CII, 19.0112928066, 0.0028850809136, 0.00032256185217, 19.0117547893, 19.0117547893, 19.0117547893, 19.0117547893, 19.0117547893, 19.0117547893, 19.0117547893
B_CII, 18.7931008507, 7.79951223776, 0.872011977748, 4.65210438897, 29.5058845542, 2.52229643207, 14.1544936863, 20.5163887886, 25.740921845, 29.5058845542
A_Z_CII, 58.0565259544, 33.7311780685, 3.77126035611, -1.01768294959, 98.6148963063, -5.20566687519, 24.5105872252, 70.2155455971, 86.7455268253, 97.6189645331
N_NiII, 11.8459025293, 5.57356902249, 0.623143960578, 2.57754833214, 19.9713699746, 2.04247476136, 7.50630996808, 12.3959838382, 16.2184163862, 19.9713699746
