Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.0914291948, 0.0142900983203, 0.00141541735897, 20.0686841656, 20.1035229822, 20.0686841656, 20.0879491187, 20.0952609172, 20.1035229822, 20.1035229822
TEMP, 717.047610257, 71.5797399049, 6.43271216614, 568.303858297, 795.91812784, 547.860211814, 680.155517496, 725.392282193, 775.494599315, 794.039458844
B, 3.06397147493, 0.342065086821, 0.0290046994835, 2.24557031225, 3.60775522663, 2.24557031225, 2.87997954188, 3.09694900602, 3.31684751716, 3.7326859723
A_Z, -4.9002837692, 2.79907288211, 0.186500014864, -9.92985252857, -0.0229291210734, -9.4424862102, -7.00195342202, -5.35384807278, -3.03443004843, 1.03604341071
N_HI, 21.8945458659, 0.0536652669764, 0.00536117721786, 21.8366514899, 21.9801729884, 21.8366514899, 21.8366514899, 21.8885015785, 21.9375383814, 21.9801729884
B_HI, 54.3406160456, 28.2025894721, 2.13619417223, 2.27270359754, 93.9645612186, 2.4251179492, 34.3772058773, 56.712232679, 79.3573937177, 96.0815530762
A_Z_HI, -12.0507460033, 54.6077531875, 4.34049808738, -99.8899379118, 80.0233287051, -96.7406049321, -56.5363812858, -15.3061367437, 34.6441384293, 94.8412417368
N_FeII, 15.5748829335, 1.7763568394e-15, 3.5527136788e-16, 15.5748829335, 15.5748829335, 15.5748829335, 15.5748829335, 15.5748829335, 15.5748829335, 15.5748829335
B_FeII, 19.1815484285, 0.670816306527, 0.0621049582703, 17.3634725339, 19.9836100596, 17.3634725339, 18.7529421874, 19.3740392142, 19.7122295044, 19.9836100596
A_Z_FeII, -24.4694865939, 7.98513572007, 0.663054448264, -38.4216499753, -6.88764348479, -38.2686065336, -29.1872570358, -25.7741744389, -20.4775455876, -5.93936290361
N_FeIIa, 13.3338603965, 0.103563601532, 0.0102382281474, 13.1740110961, 13.5398836304, 13.1740110961, 13.2559799829, 13.3363190106, 13.4070493901, 13.5398836304
B_FeIIa, 9.26386656252, 6.36416323274, 0.613425159429, 0.0905951638278, 19.1753946683, 0.147454647569, 2.71956478605, 9.83238340901, 14.6389505247, 19.7933188076
A_Z_FeIIa, -8.71742929781, 43.0256325776, 3.40226160488, -99.696529779, 57.3570758028, -95.070534959, -34.4747890158, -10.9969108019, 22.7626591539, 74.555530326
N_FeIIb, 13.1151372337, 0.15582489143, 0.0151245108234, 12.8545215041, 13.3083195323, 12.8545215041, 12.984755676, 13.1137184999, 13.2891889553, 13.3083195323
B_FeIIb, 9.61690542114, 5.86782498096, 0.479713430994, 0.364616371633, 18.898367646, 0.420967298852, 4.36442873646, 9.50508678664, 15.1143546751, 19.0828290066
A_Z_FeIIb, -5.53901993977, 59.3383574002, 4.44760212677, -99.3642211651, 85.6181883127, -97.154940945, -55.5042557084, -9.51613066058, 49.5913771233, 91.7737498367
N_OI, 18.1082592716, 2.99307382314, 0.258416447244, 14.123103654, 19.9717320414, 6.55032909937, 17.7031093169, 19.0679338351, 19.6633482433, 19.9717320414
B_OI, 22.6478426132, 7.02611196926, 0.614368060554, 8.40490285574, 29.9896889909, 5.20625875472, 18.0013507525, 25.8348466821, 27.8748111176, 29.7779261006
A_Z_OI, 0.261997511915, 2.89339666907, 0.259625883745, -4.37172532816, 4.89404431708, -4.61689744394, -2.13118486916, 0.664179313685, 2.70548551102, 4.79308704042
N_OIa, 15.28531952, 0.127425439913, 0.0122215920711, 15.1018321371, 15.4528325399, 15.0384202927, 15.2253134101, 15.2451711568, 15.4084144141, 15.4528325399
B_OIa, 10.454068741, 5.74622059062, 0.490528308952, 1.25110058748, 19.9705711225, 0.456257150591, 5.42046463173, 11.2429110144, 15.3473299445, 19.8118655109
A_Z_OIa, 20.2802352078, 45.7695290441, 3.76041401954, -63.8359603743, 99.3642876122, -71.6647612312, -11.0883072574, 19.4682383869, 54.7067650544, 95.6420267446
N_OVI, 18.8845669086, 1.55682856095, 0.139364159456, 15.7940212456, 19.9707671531, 15.2842567314, 18.458237673, 19.6909192671, 19.7553185485, 19.9707671531
B_OVI, 16.1176642477, 8.43853856773, 0.681669611955, 2.8465138056, 29.7041889646, 1.79545323067, 9.01230269575, 16.0447005371, 23.5552565171, 29.489478406
A_Z_OVI, -0.0919566082626, 2.62142356077, 0.215704122152, -4.01546472794, 4.79702101529, -4.41360957494, -2.08030621642, -0.455816468532, 1.99742803021, 4.77392367012
N_CrII, 13.6790092309, 0.150644515822, 0.0145329693879, 13.4210148388, 13.9096941086, 13.4210148388, 13.5394807716, 13.6566895747, 13.8140329727, 13.9096941086
B_CrII, 10.8700869417, 5.38989228705, 0.387931527693, 1.4739853669, 19.9082006178, 0.417825963184, 7.03655608361, 11.0383958347, 15.5586622789, 19.3231253544
A_Z_CrII, -23.5295778289, 51.3348580149, 4.73534042303, -99.459049953, 77.4741150662, -94.1527984596, -69.7143915371, -31.7004596906, 13.0424734893, 83.634575636
N_NiII, 14.1463714648, 0.177940812585, 0.0170396604205, 13.9284674164, 14.4723537785, 13.9284674164, 13.9948855846, 14.0994023027, 14.1963592235, 14.4869285524
B_NiII, 9.9041022503, 5.84377157682, 0.416520996468, 0.102906688092, 18.524310441, 0.270915563767, 4.25844607402, 10.2208365044, 15.1738489954, 18.9284420458
A_Z_NiII, 3.7523612579, 57.4002806485, 4.0846139539, -89.4357063596, 94.6128539861, -90.7895534744, -43.9003998566, 4.68629709837, 52.8681720935, 94.2114033928
N_NII, 16.1028857704, 2.14129319723, 0.180278469059, 14.1583073846, 18.0583675358, 8.66852442649, 15.792674815, 16.5913758818, 16.9447186538, 18.0583675358
B_NII, 23.721811538, 5.34985755694, 0.450041618857, 13.6470864182, 29.8945692044, 9.5361866743, 20.9131503523, 24.9389850074, 27.709088805, 29.6832702349
A_Z_NII, -0.147683605984, 3.00412363727, 0.26725877476, -4.85618470247, 4.69535248345, -4.85302201161, -2.74192134892, -0.257976897748, 2.53797176838, 4.81401946486
N_SIV, 18.4238867333, 1.33511080996, 0.128737717666, 15.7057009949, 19.9465105194, 15.5697049311, 17.6747459982, 18.8020471685, 19.6452859439, 19.9362182904
