Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
A_Z, 14.3696454789, 1.24921720059, 0.112524531535, 11.5950844534, 16.6304538227, 11.371682875, 13.7056323325, 14.6094272328, 15.2074821828, 16.4448107005
NH2J0, 19.1464570539, 0.0669927753331, 0.00634372481318, 19.033946254, 19.2527622604, 19.0255222787, 19.1013187428, 19.1777451351, 19.1835757382, 19.2527622604
NH2J1, 19.8396011696, 0.042323214313, 0.00397097394069, 19.7289520337, 19.8954562558, 19.7289520337, 19.8223033313, 19.84209697, 19.8670614511, 19.9152909844
NH2J2, 19.2031982722, 0.120807669328, 0.0110701419861, 18.9628522139, 19.3842570102, 18.855951719, 19.1524440143, 19.1958979212, 19.3313960749, 19.3648745047
NH2J3, 18.0712411769, 0.644111115, 0.0582222595999, 16.6721130951, 18.7318392703, 16.524479583, 17.9768630442, 18.3194554448, 18.5315984829, 18.6432873562
NH2J4, 12.9676919656, 3.90302919156, 0.357538245893, 2.51084327184, 15.2142389686, 0.559329053158, 14.3167362713, 14.6268753132, 14.866667634, 15.2142389686
NH2J5, 15.3133076672, 0.277540630024, 0.0250276996936, 14.8464050141, 15.8790196973, 14.7790453991, 15.1328636768, 15.3441767374, 15.4212085537, 15.839514267
NH2J6, 7.60669557466, 4.43644020264, 0.393440628965, 0.634830441434, 14.5519451428, 0.228673428598, 3.86878683981, 8.03198583247, 11.3587895708, 14.5519451428
NH2J7, 16.9011524034, 0.255999297691, 0.0231599259646, 16.4189759952, 17.3482273599, 16.4267555302, 16.7413337639, 16.9167264389, 17.0945189578, 17.3619800841
N_HI, 21.9490510156, 3.5527136788e-15, 1.42108547152e-15, 21.9490510156, 21.9490510156, 21.9490510156, 21.9490510156, 21.9490510156, 21.9490510156, 21.9490510156
B_HI, 55.6222393521, 26.4938007334, 1.99258957132, 8.72015395747, 99.7837276257, 2.51571349421, 36.4383988585, 60.1595955086, 73.5134214532, 98.1822944443
A_Z_HI, -15.9603053129, 53.3189589908, 4.03537352535, -95.8660914035, 76.3099915397, -92.3377852808, -60.4556087535, -28.3284978747, 29.7186405513, 83.27787281
N_ArI, 19.8805362683, 0.102468728097, 0.0100225366825, 19.6579774903, 19.9753396917, 19.6034037635, 19.8476471905, 19.9221864023, 19.9221864023, 19.9753396917
B_ArI, 9.21277857229, 6.7517151417, 0.596238628142, 0.279317336917, 24.549845863, 0.611395601654, 3.91928001514, 8.11430490882, 12.6080820733, 27.938020721
A_Z_ArI, -94.2748181284, 5.91296052822, 0.533404440136, -99.942311422, -81.997939201, -99.8175622995, -98.9682699665, -95.9766558334, -91.7383630107, -78.9487304048
