Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.7501316388, 0.268397751082, 0.0357620051141, 19.788458551, 21.0940183484, 19.788458551, 20.7194787687, 20.7194787687, 20.7194787687, 21.0940183484
TEMP, 78.4844386583, 11.4759300314, 1.47839517357, 74.1016743052, 118.724237972, 74.1016743052, 74.1016743052, 74.9011714857, 74.9011714857, 118.724237972
B, 17.0430193111, 2.64244380791, 0.286701681785, 11.7981435151, 19.9798037828, 11.7981435151, 14.7313542632, 18.3776602847, 19.1878872855, 19.9798037828
A_Z, 14.0042664704, 4.81135536644, 0.49572657402, 4.73061321068, 20.6024359922, 5.17458607339, 9.64099897135, 13.7907379463, 18.2262903632, 21.5229703434
N_HI, 21.8983033693, 0.0, 7.1054273576e-16, 21.8983033693, 21.8983033693, 21.8983033693, 21.8983033693, 21.8983033693, 21.8983033693, 21.8983033693
B_HI, 21.3591442267, 10.0134275001, 0.989102689324, 4.98841173194, 39.8419516615, 2.02975445522, 14.257600346, 23.0594907185, 29.5747670207, 38.6267289819
A_Z_HI, 93.4715172901, 5.4058823447, 0.506943778003, 84.0918208194, 98.8853290548, 80.8939546004, 90.2906031688, 94.5499938414, 98.4692830591, 98.8853290548
N_FeII, 15.3827995574, 0.0139444959885, 0.0, 15.330624031, 15.3865263807, 15.330624031, 15.3865263807, 15.3865263807, 15.3865263807, 15.3865263807
B_FeII, 19.3573179054, 0.549012325545, 0.0575202813975, 18.3894384136, 19.9306007777, 18.1160779775, 18.9041350079, 19.407496335, 19.7724586856, 19.9306007777
A_Z_FeII, 7.82662058772, 2.07067384031, 0.19378572494, 3.19375777547, 11.0589967063, 3.19375777547, 6.48814918154, 7.50269721819, 9.91144233156, 11.8518607136
N_FeIIa, 13.1542428024, 0.12055564773, 0.00660441820791, 13.0766593627, 13.4793298946, 13.0766593627, 13.0766593627, 13.0766593627, 13.2316299259, 13.4793298946
B_FeIIa, 11.4875095467, 5.70882405855, 0.606304118523, 2.41084600175, 19.9994862406, 1.50639067041, 6.66346056288, 11.6203703821, 16.470749372, 19.9819000313
A_Z_FeIIa, 81.4074984372, 19.4007991401, 2.30587364134, 37.7647711444, 97.6242899685, 25.2309380521, 79.3670641423, 89.9551628758, 91.6210194576, 97.6102238788
N_FeIIb, 12.8470558426, 0.0785762393734, 0.000640493054947, 12.8039703201, 12.8760075139, 12.8039703201, 12.8039703201, 12.849037891, 12.849037891, 12.8760075139
B_FeIIb, 11.644910728, 5.69642581249, 0.561634444633, 1.23828691168, 19.6978360926, 1.23828691168, 7.17516588451, 12.5222947893, 16.6785584938, 19.6978360926
A_Z_FeIIb, -25.3687293324, 54.2122468308, 5.20073065605, -92.0434008395, 82.3651222756, -92.0434008395, -72.7735706331, -41.3317643718, 14.5550567521, 87.2772959844
N_ZnII, 13.2825145199, 0.0166023681186, 0.00191791264172, 13.2730749961, 13.3299076782, 13.2730749961, 13.2730749961, 13.2730749961, 13.28773417, 13.3299076782
B_ZnII, 9.93265267265, 5.51654599411, 0.502019853127, 0.792521401167, 19.2070965778, 1.04107080885, 5.02752468534, 10.4344294946, 14.6371335338, 19.6098594994
A_Z_ZnII, 4.22066971784, 59.9639106149, 5.86217787954, -78.8235627098, 97.5700492882, -79.8339757192, -46.5832277121, -5.73689262463, 61.1102889777, 97.1630776472
N_OIa, 15.2281500654, 0.159585284815, 0.00585345957301, 15.1037247042, 15.5845640478, 15.1037247042, 15.1037247042, 15.1137265626, 15.2724186046, 15.5845640478
B_OIa, 9.38386023205, 6.1911915741, 0.63402157911, 0.113940209518, 19.36122509, 0.167867076691, 4.15140810397, 9.08546972366, 14.6024708141, 19.4278940919
A_Z_OIa, 19.9087646043, 50.814910037, 5.28293012897, -87.5099247993, 98.2841139191, -89.4336248958, -11.2146911521, 24.5179308698, 61.4439119925, 97.8740346301
N_CrII, 13.6936496897, 0.115397774852, 3.5527136788e-16, 13.4937748806, 13.7602746261, 13.4937748806, 13.7602746261, 13.7602746261, 13.7602746261, 13.7602746261
B_CrII, 9.42942770118, 5.6772718343, 0.596390515792, 0.277639964812, 18.5664404155, 0.277639964812, 4.43397318432, 9.48235608854, 14.2007847182, 18.9532271601
A_Z_CrII, 9.76527504371, 55.7703299007, 4.34154426031, -95.2805069628, 94.3399269272, -94.5636944236, -33.3053194372, 13.6279177769, 60.9374436179, 96.3586359416
N_NiII, 14.1762801528, 0.121478800627, 0.0159065216429, 14.0228600371, 14.399226123, 14.0228600371, 14.1544935388, 14.1544935388, 14.2428317567, 14.399226123
B_NiII, 9.89908264162, 5.76027199407, 0.506858598655, 0.197591750512, 18.4869142347, 0.607650453065, 5.07636886031, 8.99581969897, 15.394747051, 19.9946744192
A_Z_NiII, -8.46339293262, 57.7356460825, 5.64415294199, -99.2862449904, 83.7127380759, -98.8198644666, -57.1178576438, -11.330566889, 42.0159978125, 90.980844588
N_OI, 16.5322533663, 5.30330657279, 0.589837248352, 0.191059586225, 19.9646414984, 0.182571651748, 16.1309127511, 19.0373742156, 19.9646414984, 19.9646414984
B_OI, 20.849578173, 7.55479223744, 0.792267131414, 5.33169619906, 29.784987718, 5.02976450047, 14.9889592703, 22.0348285419, 28.2858530375, 29.784987718
A_Z_OI, -6.46100226875, 4.01022648826, 0.360642505433, -13.1449899582, -0.00796127123472, -13.0309571006, -10.0602705942, -6.48892152936, -2.84256082444, 0.36452828709
N_ArI, 6.74988651011, 4.63233508483, 0.452450134126, 0.565191964767, 15.4400700667, 0.565191964767, 2.80583271528, 5.92304177072, 10.7182098762, 15.4400700667
B_ArI, 13.0248591041, 8.90561342936, 0.931764234284, 0.126511602835, 29.1526878726, 0.341376955918, 5.3243252094, 11.634762695, 20.6896333036, 29.5340501532
A_Z_ArI, 0.823181727625, 4.76761589877, 0.310901321402, -6.70150372707, 10.7382422759, -6.70150372707, -3.14284926756, 1.09731923883, 3.64184118983, 10.7382422759
N_NII, 15.8984183639, 3.78885579598, 0.481678361257, 3.4061094008, 19.1182550725, 2.60283851129, 15.833531805, 16.1109897932, 18.1813685059, 19.1182550725
B_NII, 20.7941004712, 7.52263883523, 0.663597704726, 3.45089801021, 29.7757403146, 1.60920934153, 17.3148088409, 22.5680914923, 26.4785827248, 29.7757403146
A_Z_NII, 1.57616954353, 4.19432209177, 0.521106744549, -6.30634261419, 7.80557841453, -6.17896643186, -1.56293979093, 2.62037170622, 4.88485256736, 7.99519495784
N_SIV, 10.3225952258, 6.36029609442, 0.666508632221, 0.654652333656, 19.7275670075, 0.117652371897, 4.0365037379, 11.2595696726, 15.9040217163, 19.7275670075
B_SIV, 14.4437428754, 8.17410018736, 0.789686885052, 0.160218656423, 27.6813599276, 0.896654940963, 7.74766321498, 13.5939487806, 21.3835179894, 29.6636257671
A_Z_SIV, 9.55068795835, 2.70350807529, 0.270548993652, 4.39411700605, 13.9442700193, 4.42603093297, 7.4364327555, 9.78064501255, 11.5224416288, 14.4848438986
N_CII, 12.2319464287, 6.72886199854, 0.643773091676, 1.20682657122, 19.560980845, 0.846967870134, 5.539521531, 15.5177908282, 18.3450681281, 19.560980845
B_CII, 13.2002386896, 8.14698050346, 0.686763133854, 0.0499338189593, 26.8675383588, 0.225895360755, 6.42416251535, 13.0424151932, 19.8033649366, 28.5935231184
