Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.7208107334, 0.0453351951599, 0.00419013185949, 20.6425627025, 20.7927818548, 20.6425627025, 20.7016203916, 20.7165999918, 20.7456895949, 20.8263689509
TEMP, 150.890796794, 7.94472566216, 0.607814446485, 135.181556818, 165.363082157, 135.214495254, 146.006800267, 150.997591817, 155.682881029, 166.140247457
B, 1.32693373035, 0.872783720367, 0.0843075610415, 0.0274005994579, 2.81944948007, 0.0520641920015, 0.648806763296, 1.18130382147, 2.08452051944, 2.86013198072
A_Z, 5.16567422161, 1.59226985022, 0.154487192409, 3.03386044451, 8.45646596385, 2.42971622521, 3.78415266074, 5.16061259121, 6.31619257089, 7.91611366994
N_HI, 22.025806187, 0.0305544552577, 0.0029258684639, 21.9840828118, 22.0496252218, 21.9146135228, 22.0310067237, 22.0372045034, 22.0442587251, 22.0496252218
B_HI, 19.7973646723, 11.4039675595, 0.394602260025, 0.0792502346456, 37.8741303683, 0.751434572272, 10.1080707024, 19.6363668166, 29.4521807254, 38.9107789242
A_Z_HI, 10.369903425, 56.5279691889, 3.04081988981, -83.0196669151, 99.6320668185, -91.7301596886, -38.1760431785, 16.1944708114, 58.8006522289, 96.2390774325
N_FeII, 15.5395023881, 0.0616640500162, 0.00431694878264, 15.4167656607, 15.5997934641, 15.3825087214, 15.517117265, 15.5634532062, 15.5781711398, 15.5976087307
B_FeII, 18.7369203878, 1.18811862921, 0.0637465004587, 16.2971941897, 19.9979678325, 15.6014828838, 18.2731177825, 19.043521472, 19.6151977926, 19.955506626
A_Z_FeII, -2.2393494965, 12.328781828, 0.513721365886, -23.0319285737, 21.8829197449, -22.9452790384, -11.6483518156, -3.42126925619, 7.09140313971, 22.2952612992
N_FeIIa, 13.305901943, 0.168983727, 0.0117276627264, 13.0347543158, 13.593952957, 13.0094882743, 13.1588821182, 13.3331999006, 13.4310698471, 13.5890735993
B_FeIIa, 10.0901217273, 5.6597533539, 0.17616505562, 1.15637809853, 19.9981029066, 0.494619126589, 5.13453118142, 10.2794852369, 14.8225391324, 19.5941933867
A_Z_FeIIa, -1.38933791291, 53.5020858938, 1.93216775594, -95.5417954957, 88.9850369831, -92.3505232086, -47.9518996873, -0.101904353382, 40.1242003132, 93.7905101271
N_FeIIb, 13.1322896812, 0.17570692938, 0.0110955495534, 12.8366348272, 13.3985295383, 12.8063212039, 12.9824024399, 13.1412837669, 13.2961203566, 13.3878973535
B_FeIIb, 9.57311202522, 5.93411850388, 0.242042240038, 0.0247693397273, 18.7630014391, 0.214988392048, 4.33996313199, 9.53473160429, 14.7790727433, 19.3707737961
A_Z_FeIIb, 19.4718180396, 55.777429011, 3.52553873792, -83.6614370582, 99.9494995746, -91.7274232774, -19.9739826702, 24.4540481675, 69.6962398253, 97.5983166996
