Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 13.8739061336, 4.46102480282, 1.1152562007, 4.73821985439, 16.7484991536, 4.73821985439, 11.7750208091, 16.7484991536, 16.7484991536, 16.7484991536
TEMP, 421.34865261, 193.656635305, 48.4141588263, 17.4943460141, 791.120523024, 17.4943460141, 427.029058641, 427.029058641, 427.029058641, 791.120523024
B, 7.22254521646, 3.68137074908, 0.920342687271, 1.82440439155, 10.6328951515, 1.82440439155, 3.1055329879, 9.80048985627, 9.80048985627, 10.6328951515
A_Z, 6.03895571589, 2.87605902071, 0.719014755178, 2.62672468449, 9.85720800394, 2.62672468449, 2.62672468449, 7.06214767467, 9.13908000375, 9.85720800394
N_HI, 22.0807067843, 0.0, 0.0, 22.0807067843, 22.0807067843, 22.0807067843, 22.0807067843, 22.0807067843, 22.0807067843, 22.0807067843
B_HI, 24.8944962465, 8.14578702461, 2.03644675615, 15.508546851, 37.6783961022, 15.508546851, 18.3347654866, 19.8867912882, 33.8086417403, 37.6783961022
A_Z_HI, -81.3231785546, 0.0, 0.0, -81.3231785546, -81.3231785546, -81.3231785546, -81.3231785546, -81.3231785546, -81.3231785546, -81.3231785546
N_FeII, 16.5680758472, 0.214712488207, 0.0536781220517, 16.0, 16.6492295396, 16.0, 16.6492295396, 16.6492295396, 16.6492295396, 16.6492295396
B_FeII, 28.3318710358, 1.76987412229, 0.442468530571, 24.2432652103, 29.6728383964, 24.2432652103, 28.2251290779, 29.6728383964, 29.6728383964, 29.6728383964
A_Z_FeII, -7.58162020379, 2.10993838723, 0.527484596807, -9.0658365118, -2.52219560487, -9.0658365118, -8.95477954715, -8.94037622234, -5.1247536247, -2.52219560487
N_FeIIa, 6.52432009485, 3.55709229633, 0.889273074083, 0.628905291745, 11.3525031055, 0.628905291745, 3.26664388991, 5.02985325003, 10.2152243646, 11.3525031055
B_FeIIa, 15.9692105281, 6.4189826331, 1.60474565828, 5.62483490502, 29.4896280814, 5.62483490502, 11.0946230032, 16.8777211834, 20.073887687, 29.4896280814
A_Z_FeIIa, 2.0132604847, 2.07562931224, 0.518907328059, -0.0323050805472, 5.86361526444, -0.0323050805472, 0.396253829003, 1.25000405467, 4.72959062963, 5.86361526444
N_FeIIb, 14.7892821922, 0.201845292243, 0.0504613230607, 14.4032444313, 15.1846371437, 14.4032444313, 14.8528453864, 14.8528453864, 14.8528453864, 15.1846371437
B_FeIIb, 24.3900636751, 5.65602843104, 1.41400710776, 11.6319166349, 29.6568173031, 11.6319166349, 24.4266785254, 24.4266785254, 29.6568173031, 29.6568173031
A_Z_FeIIb, 2.77000266375, 0.553125400867, 0.138281350217, 1.91554972085, 3.79824089371, 1.91554972085, 2.22128955347, 3.06814259963, 3.17047038411, 3.79824089371
N_SiII, 16.3149645763, 0.629156590672, 0.157289147668, 15.8096649088, 17.4493614665, 15.8096649088, 15.8096649088, 16.0, 16.6745648196, 17.4493614665
B_SiII, 22.1421498295, 4.30096419572, 1.07524104893, 16.5418123345, 25.8482234156, 16.5418123345, 16.5418123345, 25.2139482984, 25.8482234156, 25.8482234156
A_Z_SiII, 0.703668701163, 2.10608063988, 0.52652015997, -2.12597786597, 3.8742340998, -2.12597786597, -0.615893783284, 0.172283681697, 2.85479182512, 3.8742340998
N_OI, 16.0, 0.0, 0.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
B_OI, 26.0131861751, 0.584657839902, 0.146164459975, 24.966596547, 27.0383396386, 24.966596547, 25.8731252313, 25.8731252313, 26.8360645852, 27.0383396386
A_Z_OI, -1.27659604296, 0.968641159602, 0.242160289901, -2.61657572428, 0.304943627288, -2.61657572428, -1.96478033981, -1.05806160788, -0.751083574047, 0.304943627288
N_OIa, 16.492521653, 0.0, 0.0, 16.492521653, 16.492521653, 16.492521653, 16.492521653, 16.492521653, 16.492521653, 16.492521653
B_OIa, 23.9769611806, 1.81364590784, 0.453411476959, 20.2159520237, 24.9197372965, 20.2159520237, 24.4332062784, 24.9197372965, 24.9197372965, 24.9197372965
A_Z_OIa, -1.5882416107, 2.65809439697, 0.664523599241, -5.89865895775, 2.65325228694, -5.89865895775, -3.54061372967, -1.46439689266, 1.29049462238, 2.65325228694
N_OIb, 12.4489372209, 5.31120593365, 1.32780148341, 3.6678498753, 16.0, 3.6678498753, 9.36292042529, 16.0, 16.0, 16.0
B_OIb, 5.35964026428, 3.67790898678, 0.919477246695, 2.03971458582, 10.5610479148, 2.03971458582, 2.03971458582, 3.3508918038, 9.97675887343, 10.5610479148
A_Z_OIb, -4.25517552757, 0.728681348307, 0.182170337077, -5.94885434424, -2.93575274854, -5.94885434424, -4.60654067674, -4.36233148475, -3.68510582366, -2.93575274854
N_OVI, 16.1340106768, 0.232113301049, 0.0580283252623, 16.0, 16.5360427074, 16.0, 16.0, 16.0, 16.5360427074, 16.5360427074
B_OVI, 22.0230232716, 7.59050323451, 1.89762580863, 9.38180151795, 28.9065432873, 9.38180151795, 12.7901015835, 25.8315653476, 28.9065432873, 28.9065432873
A_Z_OVI, -2.21366218683, 0.770661071981, 0.192665267995, -2.83999592615, 0.173334471567, -2.83999592615, -2.65478409095, -2.4309259851, -1.8645299443, 0.173334471567
N_CII, 16.9541840983, 0.983202990445, 0.245800747611, 15.9614028467, 17.9373160616, 15.9614028467, 15.9614028467, 17.9373160616, 17.9373160616, 17.9373160616
B_CII, 24.9254060454, 4.35987016989, 1.08996754247, 16.3974490843, 29.9723864582, 16.3974490843, 20.771781826, 27.9247661706, 27.9247661706, 29.9723864582
A_Z_CII, -3.87246932676, 1.85222206614, 0.463055516536, -7.29830795749, -1.30133467552, -7.29830795749, -5.36368593525, -3.80202471829, -2.12201810401, -1.30133467552
N_CIII, 7.33423856281, 5.02645370188, 1.25661342547, 2.42936421018, 17.0993793329, 2.42936421018, 4.80023436702, 6.39975833852, 8.9147268556, 17.0993793329
B_CIII, 13.0162905697, 5.25244060679, 1.3131101517, 3.54263483858, 24.2146422639, 3.54263483858, 10.264989039, 12.9952116775, 16.6537860549, 24.2146422639
A_Z_CIII, 6.5431936727, 1.68440105122, 0.421100262804, 1.94987099001, 8.70767246929, 1.94987099001, 6.46007616424, 7.05082507892, 7.41064468926, 8.70767246929
N_CrIII, 8.153840504, 2.18530559919, 0.546326399797, 4.03173648234, 12.7328142999, 4.03173648234, 6.29152039327, 8.46503621086, 8.46503621086, 12.7328142999
B_CrIII, 7.46080222851, 5.99231666505, 1.49807916626, 0.715717297782, 19.7501623702, 0.715717297782, 3.02009374562, 6.97652287636, 12.6996268832, 19.7501623702
A_Z_CrIII, 7.17389778595, 0.98222065138, 0.245555162845, 5.38748109807, 9.78745843217, 5.38748109807, 6.67047179034, 7.3321436735, 7.56372508309, 9.78745843217
N_NiIIb, 16.0, 0.0, 0.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
B_NiIIb, 27.383174084, 0.271809717271, 0.0679524293178, 27.1434604454, 27.6913773337, 27.1434604454, 27.1434604454, 27.1434604454, 27.6913773337, 27.6913773337
A_Z_NiIIb, 1.92959611678, 0.708278457553, 0.177069614388, 1.01437456623, 3.13661158505, 1.01437456623, 1.22421220647, 2.05293012784, 2.82391356879, 3.13661158505
