Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 18.9264120865, 0.220272670662, 0.0197831618676, 18.4105965229, 19.2770588807, 18.4105965229, 18.8733547987, 18.9340330486, 19.0438609864, 19.3174384331
TEMP, 120.105538518, 52.8483649895, 4.17348670595, 34.9195615677, 216.998212092, 41.0920758766, 78.3483266648, 113.39049766, 154.902237841, 228.044522943
B, 1.89609757427, 1.33143707341, 0.0993007675864, 0.0109074668025, 4.31846463991, 0.133559584988, 1.01701789316, 1.72762652841, 2.42673100411, 5.45236784226
A_Z, 8.5762097549, 9.82896294746, 0.967092947349, -10.0842246896, 26.4888283433, -9.53567093718, 4.20970551335, 8.90177592703, 12.6139309078, 27.2697671068
N_HI, 21.8468149693, 0.00860307503313, 0.000851515208967, 21.8293321568, 21.852861661, 21.8293321568, 21.8364712094, 21.850664866, 21.852861661, 21.852861661
B_HI, 48.1086723863, 28.1788733156, 1.37909950151, 0.120544360783, 91.7390442322, 2.14677976205, 23.7006663577, 48.9177112153, 71.1963040384, 96.6218107377
A_Z_HI, -4.08675670883, 143.239482369, 7.63380267376, -249.532978966, 218.476918068, -243.697106699, -122.129626847, 2.70193504721, 116.682664737, 229.504282987
N_CII, 12.05454466, 6.02687033426, 0.409637305954, 1.14537556928, 19.4309691107, 0.610917572762, 7.23979774086, 13.7355433913, 17.3177541832, 19.1728005962
B_CII, 14.8815458919, 8.53104035266, 0.47161658042, 1.19866219895, 29.3119455409, 0.85655039778, 7.8584438936, 14.5658533595, 22.1105992304, 29.0688419533
A_Z_CII, -13.8656113178, 32.2923815189, 2.97813459958, -83.9092757215, 35.1756592513, -85.4591911372, -36.5766959617, -0.912599372665, 7.43191747785, 34.0184719318
N_CIII, 10.0571093818, 5.72826681631, 0.284949120239, 0.0220763757089, 18.7429596157, 0.303485544961, 5.3156843214, 10.1076992229, 15.125215121, 19.499785461
B_CIII, 14.7923497782, 8.7542992005, 0.472629105481, 0.234361243643, 28.3406995536, 0.650629261891, 7.19385567397, 14.9669321004, 22.5043320148, 29.2026939505
A_Z_CIII, 8.53462127533, 49.8876260032, 4.85665238218, -99.1470111589, 80.9051806345, -94.0612797193, -24.3833884656, 20.6455701085, 45.5454122795, 89.9673627295
N_OI, 12.1697565317, 6.19195676741, 0.393429390907, 1.4061860369, 19.9833284959, 0.63634628187, 6.88791516069, 13.7010872001, 17.7628740914, 19.9833284959
B_OI, 16.1443568083, 8.52228919701, 0.457565410762, 1.81053516113, 29.599016875, 0.992401589856, 9.28769237656, 16.8241192752, 23.6273060855, 29.1447901725
A_Z_OI, -3.16118549609, 52.7546696013, 5.13646388519, -99.9858840087, 79.2635792994, -96.5593588028, -54.336441475, 9.78258214417, 26.1741244731, 87.9523983149
N_OVI, 14.5227557656, 5.92352375707, 0.433040692868, 2.23529461822, 19.9990726641, 1.0827804842, 11.1618720562, 17.3754061968, 19.3346754026, 19.8840069936
B_OVI, 15.4227665257, 9.10524951379, 0.60165603208, 0.00344895601391, 28.713700738, 0.218702556572, 7.26546019488, 15.7523852328, 23.4933237874, 29.2816885681
A_Z_OVI, 25.9830396406, 41.8390989009, 3.99395863599, -59.1309825376, 98.8018143065, -71.8381570254, 9.71090291686, 38.2882296313, 49.3237572434, 90.6374095792
N_ArI, 16.1259832212, 4.12266595891, 0.332056517731, 4.63512848911, 19.9519096042, 2.54345124064, 15.4759844095, 17.2527100259, 18.7465139927, 19.8311537593
B_ArI, 19.3228868347, 7.80610544294, 0.527921058859, 4.41002440402, 29.8908639194, 2.48468012111, 14.033237907, 20.8794843574, 25.9808146698, 29.5857809003
A_Z_ArI, 12.2118015929, 32.8997886207, 3.11390488081, -30.3329045677, 77.0500636723, -29.9769519742, -17.7018049587, 9.67345369079, 39.1687576855, 77.5262822414
N_SIV, 11.6733115011, 6.06340621179, 0.371246444623, 1.36216303346, 19.9161866923, 0.56788736468, 6.83064384731, 12.5511596649, 16.975284658, 19.8241715436
B_SIV, 15.2192756038, 8.45412318288, 0.496700595828, 1.87580466334, 29.934344346, 0.701163542202, 8.0803467196, 15.0747979617, 22.5521981553, 29.050260609
A_Z_SIV, -7.30173737585, 49.0473357822, 4.77319383187, -99.8123043126, 80.7514072832, -96.6471238641, -40.6762650267, -10.427307285, 22.4555676044, 89.148471868
N_NII, 19.5340794515, 0.714495583688, 0.0626697204842, 18.1963179401, 19.9993697589, 17.5684083032, 19.6403528462, 19.7354287686, 19.8357079159, 19.9993697589
B_NII, 15.999937523, 8.69610468807, 0.540048125942, 2.07867002658, 29.5729564478, 1.31172398296, 8.60725869931, 16.312723069, 23.9804360035, 29.2444349176
A_Z_NII, 32.4081852021, 40.2895866308, 3.85636568955, -18.6027680475, 98.8529246409, -37.0835028617, -1.92371708474, 28.8471253686, 69.870959553, 96.9719935257
N_FeIII, 17.6144153292, 1.14689845301, 0.0972125839556, 15.3471566808, 18.8625286279, 15.2618973406, 16.7730611175, 17.98118252, 18.5813157573, 18.8625286279
B_FeIII, 16.3748013048, 8.44423441904, 0.64746173446, 2.21025961622, 29.9182471498, 0.970350988525, 9.53184437337, 16.8909306771, 23.2197275781, 29.464182042
A_Z_FeIII, 10.1349397183, 18.7953071252, 1.59416923286, -34.2227180208, 40.1523157004, -34.2227180208, -0.723133539937, 14.547587127, 22.0239260679, 40.4750664274
N_NI, 18.7461289192, 1.10455618146, 0.0976059570623, 16.8009610882, 19.9896146589, 16.5619839636, 17.7445265079, 19.2191460652, 19.708748545, 19.9896146589
B_NI, 20.156288079, 8.26171957063, 0.667826387677, 2.72811002161, 29.9361147344, 1.04583398981, 15.2282117055, 22.8130665427, 26.5171372198, 29.7319909478
A_Z_NI, 2.46190606153, 27.5580409398, 2.55937748307, -51.3454610697, 55.2363889722, -64.9121675487, -12.5402116074, 2.37452092648, 17.4213724188, 53.448755497
