Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 15.7146757143, 0.194605601895, 0.00708324247364, 15.3040417357, 16.0465704861, 15.3165033511, 15.6020011959, 15.7204585808, 15.8429499314, 16.07415918
TEMP, 321.718962708, 138.655756992, 5.45063964965, 128.797172366, 642.531470053, 149.689641303, 230.391430393, 289.374806272, 378.473598498, 716.44348643
B, 25.2286396222, 3.78553330757, 0.128957639674, 17.7778924711, 29.9986444389, 16.3277380048, 23.1091358302, 26.0506009111, 28.2508979581, 29.8825130466
A_Z, 6.75354528095, 8.93988558134, 0.290204800902, -10.1003031178, 25.2488803818, -10.4344680237, 1.07576944555, 6.52216315356, 12.3549109917, 25.1574814614
N_HI, 21.8470979887, 0.00790902686185, 0.00023962014419, 21.8311094707, 21.8625377874, 21.8317174981, 21.8418408193, 21.846890826, 21.851942899, 21.8638901357
B_HI, 50.369339849, 29.0338552533, 0.710798338517, 2.59414457766, 97.1734720187, 2.84892616105, 24.8841949647, 50.8621788467, 75.5081127274, 97.854561869
A_Z_HI, -103.138290615, 104.44121389, 2.83396883059, -249.71812819, 96.8448961853, -245.090703677, -188.15646739, -120.23938872, -37.8196206383, 146.513998308
N_CII, 12.910848214, 5.85676553705, 0.236770639388, 1.52600894497, 19.25864959, 0.800344133242, 8.09784938537, 15.3013966226, 18.0278086019, 19.0794325052
B_CII, 15.7212887673, 8.68463180821, 0.211320807207, 0.9350071273, 29.1784221084, 0.855164438659, 8.22951090423, 16.1265459874, 23.3286019176, 29.1784221084
A_Z_CII, 4.6112276968, 55.1086852681, 1.61630843, -86.088558789, 99.6702533937, -93.4139856577, -38.8234759256, 5.05155984029, 52.259491381, 95.6147475413
N_CIII, 9.78201599203, 5.72211221403, 0.127585708436, 0.0790578153476, 18.9208052653, 0.434066723381, 4.8501556053, 9.62843573305, 14.6991014406, 19.414668235
B_CIII, 15.1027793517, 8.82133203425, 0.21948422381, 0.989995701433, 29.31698008, 0.863476307112, 7.17713900173, 15.3545612098, 22.8753017841, 29.2592605005
A_Z_CIII, 1.02732127449, 58.7163771569, 1.38180638002, -89.5752629099, 99.3764891059, -96.1905091442, -50.0843573318, -0.013116524205, 54.0363321457, 95.6087236402
N_OI, 12.1229102547, 6.08078860003, 0.184570802493, 1.4299734982, 19.9758809163, 0.763050237166, 6.88849330665, 13.4646470868, 17.6459926551, 19.8108977036
B_OI, 15.8714986711, 8.69750213395, 0.224415497956, 1.78925615905, 29.8618851182, 0.968203009706, 8.41311807287, 16.4126705566, 23.3580121336, 29.4724950231
A_Z_OI, 9.31234063145, 55.5172738288, 1.66224356302, -87.3943032052, 99.7214110482, -94.2639569143, -34.8300919376, 14.4226213441, 55.8541516335, 95.0541851501
N_OVI, 12.5717997694, 5.85896366199, 0.214313378674, 1.65711167079, 19.7439884382, 0.848020711586, 7.81648422313, 14.435077976, 17.6907000274, 19.502495153
B_OVI, 15.8376841292, 8.78312963462, 0.222596552223, 1.10312099503, 29.3505111491, 0.847898242451, 8.19610847545, 16.2349147418, 23.5663277505, 29.1572198818
A_Z_OVI, -12.260007916, 55.6300383493, 1.64211969904, -99.6166781782, 88.250416143, -95.7345042136, -59.9175817981, -18.9005290408, 31.8980675859, 93.4728804828
N_ArI, 16.3460480635, 3.76621696258, 0.156926191635, 6.85660631697, 19.9868740365, 3.10910256322, 15.6752202328, 17.408044059, 18.6536620891, 19.5601445158
B_ArI, 19.2330720979, 8.03760645281, 0.27578750699, 3.45583522433, 29.9977261353, 1.60917018609, 13.9004790324, 20.8777789337, 25.928139121, 29.5668111467
A_Z_ArI, 18.7797095406, 36.8704617075, 1.08706485957, -43.1803180235, 97.2885767094, -58.6783095511, -6.57543042873, 19.7530372234, 44.7856203132, 87.4744899652
N_SIV, 12.383136788, 6.03896177698, 0.221315368948, 1.43605879992, 19.9804862082, 0.699538590777, 7.37406673839, 14.1761112385, 17.6749362454, 19.7713039186
B_SIV, 15.8351217811, 8.65231269504, 0.282905802624, 1.42187806747, 29.6682451488, 0.891793467848, 8.4332376899, 16.3003783055, 23.3576352563, 29.3803130806
A_Z_SIV, 15.6702923361, 55.7855566217, 1.80740231657, -88.4417619976, 97.9428375812, -92.4863856616, -26.8900687173, 24.6366320625, 63.7138049345, 95.5262811993
N_NII, 19.6106597159, 0.501887967037, 0.0229072681875, 18.9926022203, 19.999843252, 18.5401702127, 19.5296707157, 19.7288389027, 19.8677109246, 19.9892110025
B_NII, 15.4936221902, 8.78538539274, 0.247974863354, 1.77547861771, 29.9999819904, 0.856088336483, 7.78547019291, 15.7156638576, 23.1828156948, 29.3632497241
A_Z_NII, 50.9498339885, 36.3437517494, 1.16497681392, -17.5414152737, 99.9379834872, -33.690943481, 28.7139004136, 58.2978762762, 79.8977613219, 98.1113171308
N_FeIII, 17.2379734671, 1.74935349816, 0.10384160115, 15.0406291528, 18.8810369007, 14.6736476028, 16.485601731, 17.70588351, 18.3771974561, 18.7785091757
B_FeIII, 17.3139379045, 8.59944071324, 0.440860201086, 1.69382307293, 29.8331841285, 0.989145845355, 10.6518914866, 18.8236516164, 24.6812906514, 29.4502137499
A_Z_FeIII, 6.49895996307, 23.3541971321, 0.741168295593, -36.151663225, 57.5316576414, -42.5171545563, -7.2877771944, 7.10333217095, 20.5507532467, 52.6544847264
N_NI, 19.0693808015, 0.94407259527, 0.0511689202887, 17.0538159887, 19.9986811256, 16.6927153169, 18.6037692712, 19.4981785329, 19.7245070456, 19.9718167437
B_NI, 16.576012328, 9.29254317297, 0.508295509416, 1.65118559713, 29.9724078737, 0.779778415554, 7.94685746831, 18.1336224985, 24.8331565006, 29.6192099
A_Z_NI, 13.6670153817, 28.5354659754, 0.860991494492, -40.260681537, 67.8075579149, -45.6239532889, -5.83663459734, 16.1961590708, 34.8482567125, 63.4989885501
