Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 10.4551933308, 5.8011437878, 0.211873852314, 0.255726172023, 19.705933878, 0.52064244518, 5.6909226816, 10.3812804658, 15.4810595398, 20.2885641675
TEMP, 419.238864056, 281.977716448, 11.2959855779, 1.67696199396, 921.146308238, 18.1780047819, 180.027981597, 361.657924898, 650.987212811, 960.495892798
B, 11.9374731644, 7.61267505881, 0.312962733278, 1.16547848401, 24.6858477881, 0.625462294931, 4.7787761149, 11.9188953141, 18.7428849197, 24.2825404274
A_Z, 3905422260.53, 7444969457.31, 731812882.658, -2813190473.58, 22872712627.4, -2926078246.48, -727994109.08, 25879975.0723, 7706510881.86, 22818711585.2
N_HI, 21.8681178571, 0.00789212987219, 0.000487146588517, 21.8541753, 21.8849951117, 21.8533374976, 21.8633273305, 21.8676505694, 21.8733033934, 21.8849951117
B_HI, 99.8349586397, 55.9496630514, 2.20878098431, 6.90330211042, 190.864819138, 6.90330211042, 51.5338119384, 101.031200098, 146.179573399, 190.864819138
A_Z_HI, 127.390150622, 21.5376403106, 1.41957153502, 80.0681213348, 149.642045483, 69.6909759665, 119.014259362, 133.176364796, 142.295026433, 148.904186207
N_NV, 19.5110322813, 0.936663317118, 0.0885782391629, 18.1556240931, 19.9973820188, 15.5282380748, 19.4495879436, 19.8993359224, 19.9671121024, 19.9941369301
B_NV, 19.3338185304, 9.64044639609, 0.639645172906, 8.03450003372, 36.2601402232, 8.26496440197, 11.7191002177, 17.3512770662, 24.39965244, 41.0134123066
A_Z_NV, 9.19417362017, 56.3871942701, 4.35691984552, -79.9249850719, 99.9590525047, -90.0758173968, -40.146588858, 13.1694513013, 54.3540030209, 98.351599282
N_MgII, 10.8591129549, 5.51706149968, 0.379628567794, 0.985141983797, 17.0317326826, 0.619325394422, 6.16806926846, 11.6169275022, 16.5672318597, 16.9663194835
B_MgII, 56.7863366873, 25.7254030984, 1.03080436669, 11.3102832618, 97.328669602, 11.4401124187, 35.8665241542, 58.1241140916, 79.0647628517, 97.919035144
A_Z_MgII, -0.0496280273927, 51.0214791864, 1.97339401614, -91.1829805851, 91.0340425886, -91.1829805851, -38.9139226639, -0.739582130993, 37.6486193111, 91.5655598127
N_SII, 16.0648880685, 0.20175105224, 0.0143459921503, 15.7574998338, 16.4271729561, 15.8237518933, 15.9509799053, 16.0375411933, 16.1320457582, 16.6028189934
B_SII, 66.4492500074, 12.5484550162, 0.843584014418, 43.7604734997, 94.5590848681, 40.4806604183, 58.5364356455, 66.3400006785, 74.5152427967, 93.2970858128
A_Z_SII, 26.8264224071, 10.2758688506, 0.453321326318, 5.95244054119, 46.0296524331, 5.98529987504, 20.2376809382, 27.7090835961, 33.7727003882, 46.5817324556
N_FeII, 10.2369334947, 5.47022455053, 0.378540239204, 0.277067898222, 17.0779432754, 0.544866979069, 5.24014328887, 10.7463241868, 15.8812240281, 17.8590506859
B_FeII, 58.1487541922, 26.4397727983, 1.43909700952, 13.13185152, 98.9639202082, 11.0103818352, 36.4007014987, 59.4840364872, 82.1185027465, 98.2653560568
A_Z_FeII, -13.1798628666, 52.1049151173, 2.42922511056, -99.2990042343, 78.3294745207, -94.7702808516, -54.6287561931, -17.3386127851, 28.1294747683, 87.3779576311
N_SiIIa, 15.6267659775, 1.23313471433, 0.11548173324, 13.8941462555, 17.1256413351, 13.8973396894, 14.2625406362, 16.0400633518, 16.8243086599, 17.1515896019
B_SiIIa, 31.908222433, 25.0207545291, 2.29597565147, 8.03413877147, 85.2324837952, 8.50080220671, 13.5346062092, 19.0780520245, 47.1323831516, 92.899866478
A_Z_SiIIa, -6.87622265812, 15.0483714585, 0.868010963017, -36.3711139371, 22.8640101046, -35.5963363693, -16.3919806371, -7.74226990931, 2.64432465658, 23.9698957339
N_SiII, 15.1506377016, 4.59280716564, 0.412433510959, 3.66709044434, 17.9146526038, 1.74408640374, 14.5616207181, 17.4220047056, 17.7263646719, 17.8768823153
B_SiII, 36.8201487869, 22.4674964308, 1.61066571501, 8.02829180873, 88.6415916829, 8.9103694052, 19.9574313002, 32.6352256398, 46.3861900234, 94.2208188742
A_Z_SiII, -44.2580699312, 41.7606300125, 3.16327134341, -99.769056167, 32.7647383115, -96.8817593698, -78.7964997417, -54.0852140712, -15.9607714132, 54.6799605242
