Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 22.9112307376, 0.0544809709743, 0.00520964658726, 22.8209420861, 22.9695637773, 22.8209420861, 22.8744097733, 22.9326602642, 22.9695637773, 22.9695637773
TEMP, 14.6420496137, 9.66763761262, 0.898004452, 0.0846684236457, 28.0451068384, 0.0846684236457, 5.42254184493, 14.804334324, 22.5860929247, 31.3400696819
B, 3.44552598453, 0.552394991594, 0.0347721953787, 2.41739976885, 4.56222471401, 2.37468296365, 3.00977532375, 3.42726570858, 3.81352880733, 4.53387820569
A_Z, 4.26941121317, 2.80457314009, 0.168318649663, 0.0945203470949, 9.40133855866, 0.175647827625, 1.89003125173, 3.99986789727, 6.58363763219, 9.63990513038
N_HI, 22.2912906768, 0.0303623582802, 0.0028002710026, 22.2580869311, 22.3147158263, 22.2580869311, 22.2580869311, 22.3147158263, 22.3147158263, 22.3147158263
B_HI, 20.7754467472, 11.6966921976, 0.711207582273, 1.79529306103, 39.3285114147, 0.771859465433, 10.9487693601, 21.2850411027, 31.4236610137, 38.6126996173
A_Z_HI, -2.63507670963, 5.02540834805, 0.470402714933, -9.98063346452, 7.43592988243, -9.70090898338, -6.81686488043, -3.09061762707, 0.571367630865, 8.52436505041
N_FeII, 16.1732957094, 0.159500609749, 0.0140428004106, 15.9693515127, 16.3880284284, 15.9816181767, 16.0476024455, 16.1543338264, 16.2649814981, 16.5980223268
B_FeII, 28.9392804399, 1.05226645756, 0.0881566219649, 26.4779167505, 29.9737559193, 26.2130434114, 28.4801356023, 29.3392416078, 29.7370035605, 29.9700661337
A_Z_FeII, 4.86017437787, 3.23616912403, 0.283645731506, -1.38945469268, 9.96886987021, -3.00813416706, 3.03250571495, 5.13408760128, 7.24425089813, 9.71644048559
N_OI, 18.6778594613, 0.113686044899, 0.0111579835896, 18.5202453374, 18.8274884976, 18.5202453374, 18.6027517545, 18.6444723132, 18.8027632958, 18.8274884976
B_OI, 29.743208992, 0.231586595444, 0.0211840959455, 29.2582238565, 29.9831376721, 29.2582238565, 29.6066402366, 29.8467914729, 29.9161461114, 29.9831376721
A_Z_OI, 9.34777004006, 0.630889338078, 0.0510737239819, 8.15128506088, 9.9988960783, 7.82326746349, 9.08126312329, 9.53592780139, 9.83417012289, 9.98041715866
N_SiIV, 17.4804198645, 0.0447752810354, 0.00442886176272, 17.382998902, 17.5375029165, 17.382998902, 17.4450126726, 17.4778201507, 17.5290870104, 17.5375029165
B_SiIV, 29.7584030216, 0.19727709546, 0.0170302558884, 29.3868157195, 29.999738218, 29.1408409536, 29.6478859409, 29.8251875129, 29.9085392499, 29.965911595
A_Z_SiIV, -8.47523826804, 1.19015484742, 0.0920452840977, -9.98705834499, -6.11069868498, -9.93064970926, -9.40855497734, -8.76436370409, -7.75736969287, -5.70848917106
N_NiII, 14.534099624, 0.0510824370381, 0.00499908157811, 14.4741234646, 14.6165117296, 14.4741234646, 14.4846060746, 14.5014115834, 14.5867988793, 14.6165117296
B_NiII, 29.4097005297, 0.626406326394, 0.0468960540536, 28.2616249707, 29.9712285151, 27.6171144087, 29.1005837866, 29.6803608871, 29.8483080135, 29.9559406433
A_Z_NiII, 8.3456556703, 1.354481042, 0.109369223982, 5.68050135944, 9.99386783361, 5.10770408061, 7.67121381539, 8.64850359154, 9.36484452354, 9.96737812804
N_SiII, 17.1911679468, 0.142248152199, 0.0141292320061, 16.9638816389, 17.3716585645, 16.9638816389, 17.080251355, 17.2157190728, 17.3077014392, 17.3716585645
B_SiII, 27.5673257462, 1.2993513004, 0.121063551402, 25.0659090152, 29.8854306329, 24.5211388429, 26.6917728341, 27.789028366, 28.4589205765, 29.8622534618
A_Z_SiII, 7.41742193914, 1.98032267708, 0.165023026056, 3.58935673269, 9.97830463864, 2.77530561922, 6.23915848247, 7.84877643036, 8.9837475332, 9.89496219567
N_SII, 16.5308692506, 0.360505010162, 0.0358339641703, 16.1008449515, 17.3027170946, 16.1730449542, 16.2362260755, 16.4842164252, 16.6127289607, 17.442006566
B_SII, 27.5251752003, 3.00490251514, 0.286770959442, 19.909546062, 29.9862263161, 18.3715742129, 27.166294231, 28.7499075369, 29.4688049502, 29.9780932103
A_Z_SII, 8.84435576629, 1.17107846306, 0.0967662611294, 6.25664605495, 9.99815651036, 5.76739377788, 8.40802951727, 9.3003793697, 9.67223278234, 9.9530131704
N_NI, 18.4425918516, 0.234148674746, 0.0209439691783, 17.8330843093, 18.8084261129, 17.7249176705, 18.3670806631, 18.4044012854, 18.6261946007, 18.7271536276
B_NI, 28.7636963146, 1.25248516396, 0.0891814851617, 26.6319000769, 29.9690026326, 25.4038001903, 28.3580473394, 29.1865861305, 29.5771978851, 29.942479209
A_Z_NI, 6.20727487285, 3.32543402592, 0.29477160964, -0.689583255533, 9.97601828129, -1.75153645162, 4.21670403897, 7.26173464942, 8.77050374254, 9.92444370993
N_FeIIa, 13.466787204, 2.41481496353, 0.209878527199, 7.38950601984, 14.5118862841, 3.88489384882, 14.0221074009, 14.0881042596, 14.253005484, 14.5118862841
B_FeIIa, 13.6599217789, 5.53496345998, 0.3870551858, 4.00708759111, 26.8796915226, 4.07167003582, 10.201688635, 12.5106426499, 16.154149628, 27.1355177856
A_Z_FeIIa, 3.36087481115, 5.14778906615, 0.488252255055, -7.28319627748, 9.99360718097, -8.73770013816, 0.882892178593, 4.68866777717, 7.43246903916, 9.8201452783
N_FeIIb, 7.48642812306, 4.18329533896, 0.269298547713, 0.928715407273, 14.0418048094, 0.618803175122, 3.64730781544, 7.36035127204, 11.2998284645, 13.9762590347
B_FeIIb, 16.0257112729, 8.99495783444, 0.587509352916, 0.103027452752, 28.667897944, 0.377678076454, 8.04751525294, 16.7325538277, 24.0572181133, 29.5116121292
A_Z_FeIIb, -0.652696188744, 5.65711551213, 0.344652620709, -9.96996168957, 8.45999795178, -9.52539871352, -5.7685587416, -0.645991196674, 4.02732566225, 9.28120771003
N_SiIIa, 16.7823176652, 0.109448163571, 0.0104016543393, 16.6549039449, 16.9687881409, 16.5757993479, 16.6817612641, 16.789331192, 16.8983809936, 16.9687881409
B_SiIIa, 3.33671798497, 1.46244192189, 0.121162190603, 0.50392097706, 4.86940318781, 0.282090275409, 2.30042500231, 4.12394903274, 4.54532741254, 4.86940318781
A_Z_SiIIa, 7.13149989714, 2.12148806938, 0.198879204982, 2.78817988968, 9.99419113102, -0.498582268732, 6.58611615628, 7.36091129912, 8.41507085215, 9.80402822802
N_OIa, 14.7437132297, 0.162248139536, 0.0156364451785, 14.4815134899, 15.0753433259, 14.4815134899, 14.6416418272, 14.6840670594, 14.833823636, 15.1343851974
B_OIa, 27.5604010056, 2.16634422763, 0.166721069159, 23.4097904509, 29.9896650568, 21.9994719953, 26.3773777535, 28.0736246135, 29.309932384, 29.8387891763
A_Z_OIa, -3.01648682825, 3.89631801732, 0.333834121627, -9.79987716376, 4.01984457268, -9.07701019854, -6.00749731632, -3.43222610698, -0.408367016806, 5.86785357737
N_OIb, 14.2130241181, 0.0989973781761, 0.0093650906831, 14.0032297326, 14.3420091593, 14.0032297326, 14.126449362, 14.2534829999, 14.2785679738, 14.3490611907
B_OIb, 21.7231885142, 4.15261263009, 0.24469739103, 14.4654490506, 29.0958993881, 14.206479072, 18.5053909052, 21.2575954815, 25.025031124, 29.0958993881
A_Z_OIb, -6.84367922089, 2.30365492213, 0.170691031427, -9.97160598067, -2.39291977736, -9.86021599777, -8.7381992166, -7.29838088993, -5.40412174357, -1.45912546478
