Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 121.577427074, 63.6103846121, 6.26271740122, 37.2355251825, 238.447045767, 40.0503469826, 69.3579792094, 110.95042322, 160.481959115, 266.929153191
a1, 9.21084334081e+39, 1.74882071562e+40, 1.74306745806e+39, -1.56695546311e+39, 5.58551952578e+40, -8.56272173981e+38, -2.41492861954e+36, 2.65814577476e+37, 6.11020202245e+39, 6.11650001635e+40
v01, 97.2267097869, 8.34879345531, 0.832741118588, 80.5387069843, 105.985416239, 76.7868097897, 93.1054049257, 101.062714244, 102.66752927, 105.442901935
b1, 67.746357287, 25.2946388813, 2.49084645267, 16.2529589067, 99.9891657509, 11.349329161, 49.0089662346, 77.3239846236, 87.8090046272, 98.3108257174
N1, 21.4607951457, 0.0123729594318, 0.00123359315657, 21.4397018259, 21.4813024156, 21.4390500434, 21.4524625867, 21.460153341, 21.469523146, 21.4809928451
v02, 11.5397296239, 255.411477722, 7.83042963889, -407.341256598, 429.955764703, -413.832480333, -204.577602591, 14.0425941688, 235.810384063, 428.729885353
b2, 53.3978297382, 27.1804168841, 0.805496127625, 9.8908362377, 97.8489321974, 9.19282444962, 29.7773874563, 54.0433204861, 76.8975214044, 97.7290707823
N2, 6.67347471217, 5.05941226659, 0.227700818183, 0.0265034157046, 16.8411208298, 0.355538637882, 2.35981344089, 5.41960149698, 10.0392173925, 17.6281061603
Osc, 0.05399224
GAMMA, 243400000.0
