Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 12.966156992, 5.22678499168, 2.33748930903, 5.62630982612, 20.9501618088, 5.62630982612, 9.22548690101, 14.2046471405, 14.8241792834, 20.9501618088
TEMP, 12.4848570603, 0.0, 0.0, 12.4848570603, 12.4848570603, 12.4848570603, 12.4848570603, 12.4848570603, 12.4848570603, 12.4848570603
B, 1.90635810953, 0.0664630952799, 0.0297231998082, 1.87312656189, 2.03928430009, 1.87312656189, 1.87312656189, 1.87312656189, 1.87312656189, 2.03928430009
A_Z, 1.44224755269, 1.08721361303, 0.48621670896, -0.434469645197, 2.54431632217, -0.434469645197, 1.01774636256, 1.67144213568, 2.41220258824, 2.54431632217
H24.0635, 13.1807239011, 4.18151949546, 1.87003236822, 8.08509893188, 18.1504896156, 8.08509893188, 10.3517846649, 11.1657566776, 18.1504896156, 18.1504896156
T4.0635, 387.069072872, 156.994338055, 70.2100023948, 308.571903844, 701.057748982, 308.571903844, 308.571903844, 308.571903844, 308.571903844, 701.057748982
B4.0635, 6.45269207167, 0.933609818334, 0.417523003651, 4.585472435, 6.91949698084, 4.585472435, 6.91949698084, 6.91949698084, 6.91949698084, 6.91949698084
N_HI, 21.1317140936, 0.0, 0.0, 21.1317140936, 21.1317140936, 21.1317140936, 21.1317140936, 21.1317140936, 21.1317140936, 21.1317140936
B_HI, 27.2056611852, 2.80795622815, 1.2557562008, 24.6843939793, 32.6545561967, 24.6843939793, 25.643515357, 26.4824503228, 26.5633900702, 32.6545561967
A_Z_HI, 2.01935975808, 0.824394646278, 0.368680493873, 0.524142465978, 2.89265571618, 0.524142465978, 1.8883335112, 2.17314635102, 2.61852074603, 2.89265571618
N_ZnII, 6.62814581013, 0.676285043654, 0.302443865955, 6.07596138425, 7.45642244894, 6.07596138425, 6.07596138425, 6.07596138425, 7.45642244894, 7.45642244894
B_ZnII, 51.0421270911, 10.4664839953, 4.68075393978, 33.9549990255, 62.9375911929, 33.9549990255, 45.7157016594, 52.391023822, 60.2113197559, 62.9375911929
A_Z_ZnII, 1.02124572785, 1.07193404859, 0.479383480007, -0.39060976498, 2.58696903221, -0.39060976498, 0.0849777259902, 1.16984035738, 1.65505128866, 2.58696903221
N_BIII, 5.83475131216, 2.51296646457, 1.12383276799, 1.22610022966, 8.70493732913, 1.22610022966, 5.56181198649, 6.84045350775, 6.84045350775, 8.70493732913
B_BIII, 45.8995110967, 10.3675957605, 4.63652977672, 26.7085899438, 56.3971903008, 26.7085899438, 44.1881334235, 50.1308374846, 52.0728043306, 56.3971903008
A_Z_BIII, -0.0138891299845, 0.726233092722, 0.324781312567, -1.32462129997, 0.879335186527, -1.32462129997, -0.0328278283419, 0.0911914193113, 0.317476872555, 0.879335186527
N_CrII, 9.16201945144, 1.37412060674, 0.614525417192, 6.41377823795, 9.84907975481, 6.41377823795, 9.84907975481, 9.84907975481, 9.84907975481, 9.84907975481
B_CrII, 58.9715661063, 13.4272082034, 6.00483005815, 46.6949789412, 84.0469231619, 46.6949789412, 48.0403027516, 57.4356633829, 58.6399622942, 84.0469231619
A_Z_CrII, 1.56170587402, 0.652699167875, 0.291895941645, 0.708915525191, 2.50724111678, 0.708915525191, 1.05417792942, 1.48170773336, 2.05648706536, 2.50724111678
N_MgI, 4.32087237767, 1.50711738831, 0.674003386068, 1.30663760104, 5.07443107182, 1.30663760104, 5.07443107182, 5.07443107182, 5.07443107182, 5.07443107182
B_MgI, 50.1747300224, 13.0289390506, 5.82671867837, 27.7992951468, 66.8569851933, 27.7992951468, 46.2864339733, 52.8693577538, 57.061578045, 66.8569851933
A_Z_MgI, 1.98608255618, 0.251621248261, 0.112528443139, 1.68261737896, 2.44951692105, 1.68261737896, 1.90600680743, 1.93906009549, 1.95321157798, 2.44951692105
N_NiIIb, 5.70177538385, 0.00458604597575, 0.00205094210994, 5.69260329189, 5.70406840683, 5.69260329189, 5.70406840683, 5.70406840683, 5.70406840683, 5.70406840683
B_NiIIb, 94.0230403882, 2.57043907527, 1.14953530087, 89.4847858189, 96.7729633202, 89.4847858189, 93.8220822227, 93.8220822227, 96.2132883564, 96.7729633202
A_Z_NiIIb, 0.662701202671, 1.47140936121, 0.658034270877, -0.915686807118, 3.16877724217, -0.915686807118, -0.341374899261, -0.0210518952795, 1.42284237284, 3.16877724217
N_ZnII4.0635, 10.6098052668, 0.0, 0.0, 10.6098052668, 10.6098052668, 10.6098052668, 10.6098052668, 10.6098052668, 10.6098052668, 10.6098052668
B_ZnII4.0635, 39.9506345134, 8.25839573511, 3.69326684976, 28.2792885287, 48.7447370402, 28.2792885287, 32.0299829262, 43.5586389918, 47.1405250801, 48.7447370402
N_BIII4.0635, 9.10774384203, 2.10181382227, 0.939959716529, 7.3916200424, 11.6819295415, 7.3916200424, 7.3916200424, 7.3916200424, 11.6819295415, 11.6819295415
B_BIII4.0635, 15.2876109615, 5.67636217724, 2.53854633864, 9.61587245316, 25.8261897864, 9.61587245316, 11.3374950905, 13.8670717198, 15.7914257577, 25.8261897864
N_CrII4.0635, 7.35517236622, 4.60257147194, 2.05833253651, 1.71819656074, 11.1131562365, 1.71819656074, 1.71819656074, 11.1131562365, 11.1131562365, 11.1131562365
B_CrII4.0635, 13.5734848621, 7.26620681368, 3.24954647479, 2.79392876986, 22.8222358051, 2.79392876986, 8.07815040231, 15.167106306, 19.0060030272, 22.8222358051
N_MgI4.0635, 7.85423251409, 0.528110548849, 0.236178217372, 7.20743182786, 8.28543297158, 7.20743182786, 7.20743182786, 8.28543297158, 8.28543297158, 8.28543297158
B_MgI4.0635, 17.5645532511, 2.47087739325, 1.10500996307, 13.4071888009, 20.6715998888, 13.4071888009, 16.4783175625, 18.3814149274, 18.8842450757, 20.6715998888
N_NiIIb4.0635, 11.6761355141, 0.872251283051, 0.390082632473, 11.2400098726, 13.4206380802, 11.2400098726, 11.2400098726, 11.2400098726, 11.2400098726, 13.4206380802
B_NiIIb4.0635, 17.0258695059, 9.45219777218, 4.22715135107, 5.32478091114, 30.4973460509, 5.32478091114, 7.29405119634, 20.0258745541, 21.987294817, 30.4973460509
