Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.00046357052, 0.00487714601674, 0.000365209010652, 0.991914679516, 1.01101000651, 0.99140131851, 0.996998955802, 1.00066573215, 1.003704629, 1.01101000651
sigma1, 18.4892520673, 0.502646534855, 0.0370414517216, 17.5446238371, 19.4210902124, 17.5559823731, 18.1210862153, 18.4913668143, 18.8210234015, 19.4734206858
v01, -157.368844492, 0.540965848406, 0.036477186452, -158.464878288, -156.394667604, -158.445201112, -157.751161289, -157.347401921, -156.986480243, -156.363076456
A1, -141.496151292, 3.80450693239, 0.298767728727, -148.292311495, -134.043029157, -148.699675634, -144.272293071, -141.644274864, -139.041715073, -134.2715284
sigma2, 14.1755437365, 1.15586476042, 0.101350402903, 11.9940013586, 16.1858620928, 12.1179394356, 13.4560729253, 14.1563316524, 14.783075539, 17.3688737818
v02, -38.7452335188, 3.52153914041, 0.345780967323, -45.8686139809, -34.3052092462, -48.0466659008, -40.0659438501, -37.4540423651, -36.413356238, -34.973069626
A2, -64.407293116, 9.96789487327, 0.962241562664, -83.0196890894, -45.6767410755, -82.9421599207, -71.6821544649, -64.2116938346, -57.6059995104, -44.7146287812
sigma3, 14.0237078249, 13.8832329624, 1.13015267294, 1.63354132021, 45.5127294378, 2.38570840254, 5.15090882715, 8.72701644612, 19.3256705714, 55.8988821038
v03, 49.7468895017, 49.0489601877, 4.82725569997, -32.4324276234, 102.061703082, -31.86476479, -25.4480379918, 72.2831900053, 77.2279326239, 108.37706771
A3, -11.4646118872, 7.85064280091, 0.740701316575, -31.1916948767, -2.74363258027, -31.1916948767, -14.101470075, -8.59734125493, -6.30410307123, -2.67779747359
sigma4, 50.0409941024, 6.32586594835, 0.415199886685, 37.6961624415, 62.2655878188, 36.7763402405, 46.2541149206, 50.2653737014, 54.3581025769, 61.782263238
v04, 399.193574372, 6.68358294275, 0.388809503448, 388.159715351, 415.019006397, 386.62136702, 394.863290139, 399.065554182, 403.127758634, 414.445918809
A4, -73.0742518923, 9.40472384529, 0.687490435572, -90.8381025799, -54.4953766225, -90.7946677905, -78.9840985312, -73.778545291, -67.3025539444, -53.2534057047
sigma5, 9.25087153308, 1.23558885848, 0.0600538746771, 6.87873668143, 11.8427268987, 7.01245223862, 8.38107433215, 9.16619994291, 9.86742974912, 12.1749776127
v05, 215.282074415, 1.57740449408, 0.0682004704431, 212.190924577, 218.19297197, 212.324319269, 214.263219344, 215.254195065, 216.349430252, 218.421974872
A5, -16.3851165681, 2.31791121332, 0.111850867636, -20.9989939516, -11.9956469792, -21.278391899, -17.7732140273, -16.3371807029, -14.7919398361, -12.1626043118
sigma6, 26.2119702551, 1.4659484314, 0.141842378294, 23.5612253477, 28.7523710938, 23.6278159416, 25.0848266743, 26.2336373807, 27.2895301025, 28.8370930564
v06, -79.8914755461, 1.76392163224, 0.167415222712, -83.0354596849, -76.4266901247, -83.5681764448, -81.0737520439, -79.7950638396, -78.5581949374, -76.7855604796
A6, -219.535368958, 15.1189222034, 1.48343090119, -245.582415724, -191.729626576, -245.17627754, -231.709004238, -219.319621642, -209.759796943, -190.284413335
Osc, 0.05399224
GAMMA, 243400000.0
