Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.00434513073, 0.00404065815476, 0.000133175202959, 0.996134055319, 1.01195988367, 0.996495132944, 1.0015997259, 1.00442406632, 1.0069365467, 1.01255577556
v01, 46.7844574086, 1.51497275812, 0.125596289018, 45.0039620163, 49.8701398105, 45.0696233338, 45.5865662632, 46.4006161044, 47.5416874699, 50.905453397
b1, 24.8865674896, 2.07641277878, 0.179308772299, 20.2810992119, 28.4690806767, 20.4669823653, 23.5334884766, 24.9682085, 26.3148641696, 28.7248015029
N1, 15.3469309103, 0.106972669199, 0.00936326714497, 15.175281438, 15.5722407135, 15.1918706458, 15.2702510808, 15.324240966, 15.403736518, 15.6096848893
v02, -9.84773157653, 2.40954788995, 0.213585758244, -14.0716159977, -6.1127919821, -14.4500640408, -11.6836007794, -9.64941368427, -7.71697180409, -6.1757948057
b2, 24.9020916768, 2.43756907821, 0.214566362188, 20.2356825002, 29.4526996755, 19.8921142462, 23.1841753777, 25.0302688897, 26.6857049227, 29.2587255751
N2, 15.1782408973, 0.0677651848048, 0.00529721491659, 15.0522852362, 15.3098892974, 15.0691550232, 15.1299798765, 15.169925033, 15.2177882629, 15.3457138309
v03, -131.16582556, 0.652753803766, 0.0221175912411, -132.457355105, -129.912759712, -132.432172834, -131.624477285, -131.176275993, -130.708952056, -129.851910666
b3, 22.8955179249, 1.44006424776, 0.0622874112907, 20.0891251697, 25.7316002018, 20.0993449107, 21.9232186582, 22.8290098863, 23.8830895641, 25.7902661168
N3, 14.6333693907, 0.0162389140349, 0.000667045140749, 14.6039391802, 14.6684026554, 14.6039767701, 14.6219758506, 14.6328815133, 14.643195035, 14.668881688
Osc, 0.048
GAMMA, 565000000.0
