Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 10.1685929372, 6.41592067194, 0.424380008012, 0.329582479787, 20.2396632969, 0.329582479787, 4.04990162225, 10.8128443552, 15.8888898474, 20.5978922558
TEMP, 290.911363459, 228.281649896, 19.5350497927, 0.224865565923, 761.92753802, 13.860861755, 95.4601961461, 233.589917271, 440.090271514, 833.954519839
B, 11.9247568966, 7.85720616791, 0.737059981013, 1.44800721737, 24.743968301, 0.393537619555, 4.171992336, 11.5709482929, 19.2825767603, 24.5350570049
A_Z, -41.9398108372, 51.3875159947, 5.06622287572, -151.275439328, 29.7143927097, -146.998709718, -80.9312053647, -29.0948918996, -1.56704000745, 39.4764531104
H22.7097, 11.2314821498, 6.02010709973, 0.416423796474, 1.37699810391, 20.6784755176, 1.0121656358, 6.02980690027, 11.6251945153, 16.3756867048, 20.6248928127
T2.7097, 412.898477459, 216.095138047, 14.74578892, 50.1675211283, 766.234697822, 43.6988516267, 224.17729535, 393.33272525, 615.294662401, 766.234697822
B2.7097, 2.77510957785, 3.21907340126, 0.259423422884, -3.93654437994, 8.2208203309, -3.70945392718, 0.625450571724, 2.92972167319, 4.9393407708, 8.63538050707
H22.7083, 10.3185629231, 5.67831705205, 0.397027178781, 0.307413183686, 19.883445676, 0.399046560033, 5.58912613974, 9.98947363206, 15.2274457842, 20.2057465503
T2.7083, 399.674010833, 236.063415724, 18.5832941657, 46.0786616491, 795.703919009, 29.4419232109, 197.127489166, 403.440136966, 570.016769728, 794.145323013
B2.7083, 3.77908560744, 3.13942152853, 0.235182234733, -1.27592153295, 9.67310458844, -1.27592153295, 1.45173101446, 3.64175911519, 6.0611181175, 10.1549222861
N_HI, 20.2096050451, 1.29887459248, 0.116563390053, 18.1340627193, 22.3368134566, 18.1575563268, 19.0284132912, 20.6560178226, 21.02020868, 22.6513453538
B_HI, 78.622268828, 41.4582968295, 3.15842609704, 18.6083855425, 149.065049203, 14.7570774544, 44.7384262055, 74.1009972192, 114.75309006, 148.720964859
A_Z_HI, 54.3398601758, 51.9355580495, 5.11469995077, -16.8742111795, 149.767151648, -31.613633794, 14.6821537612, 43.4645294607, 98.4346336848, 146.948503505
N_FeII, 14.2154048695, 3.5527136788e-15, 3.5527136788e-16, 14.2154048695, 14.2154048695, 14.2154048695, 14.2154048695, 14.2154048695, 14.2154048695, 14.2154048695
B_FeII, 23.3567992509, 0.0910361966257, 0.00900013975471, 23.2728625584, 23.5403776475, 23.2583331031, 23.2728625584, 23.3023787266, 23.4357265477, 23.5403776475
A_Z_FeII, 4.22203854548, 0.166725153198, 0.0147908229663, 3.94636058642, 4.52851415339, 3.96360625485, 4.09653452142, 4.19859266313, 4.33255411633, 4.57430862557
N_FeIIa, 13.2195003321, 0.0245464088255, 0.00243598855901, 13.1685455387, 13.2383532369, 13.1685455387, 13.2295677984, 13.2295677984, 13.2295677984, 13.2383532369
B_FeIIa, 27.7223898217, 1.18528317802, 0.117001754733, 24.6850319383, 28.9655644566, 24.4289858044, 27.6482945551, 27.9857440076, 28.6089790543, 28.9655644566
A_Z_FeIIa, 12.1070414364, 0.539281409356, 0.0404344569212, 10.9875368348, 13.0464673579, 11.1092784156, 11.7584537855, 12.1252771586, 12.477423695, 13.1782333651
N_FeIIb, 13.0007512949, 0.0114849250531, 0.00113841737308, 12.9968805898, 13.0348286788, 12.9968805898, 12.9968805898, 12.9968805898, 12.9968805898, 13.0348286788
B_FeIIb, 25.2101837235, 0.473608508806, 0.0426743053099, 24.3633355927, 25.9714724569, 24.3633355927, 25.0185121356, 25.1138061414, 25.4105688847, 25.9714724569
A_Z_FeIIb, 10.3370590822, 0.761770340837, 0.0624088073409, 8.95119882321, 11.8199862971, 8.67520681054, 9.80776318765, 10.3668184145, 10.8979323031, 11.8199862971
N_MnII, 12.8500541993, 0.00705683788451, 0.000702134405779, 12.844340212, 12.8587694727, 12.844340212, 12.844340212, 12.844340212, 12.8587694727, 12.8587694727
B_MnII, 99.6929481289, 1.42108547152e-14, 4.26325641456e-15, 99.6929481289, 99.6929481289, 99.6929481289, 99.6929481289, 99.6929481289, 99.6929481289, 99.6929481289
A_Z_MnII, 34.8633560801, 7.1054273576e-15, 7.1054273576e-16, 34.8633560801, 34.8633560801, 34.8633560801, 34.8633560801, 34.8633560801, 34.8633560801, 34.8633560801
N_NiIIb, 13.1074522704, 0.0051565176939, 0.000510646805465, 13.1014896242, 13.1119127297, 13.1014896242, 13.1014896242, 13.1119127297, 13.1119127297, 13.1119127297
B_NiIIb, 20.3901699467, 1.1534759857, 0.107471531421, 18.6910818822, 23.1219183896, 18.5820373595, 19.6080589704, 20.5595336933, 20.9548596525, 23.1219183896
A_Z_NiIIb, 12.4992095032, 1.07585688272, 0.0795302103073, 10.3556482038, 14.3796750006, 10.2779304134, 11.8100580911, 12.5066001395, 13.2814443214, 14.3436179947
N_FeII2.7097, 17.3779073283, 3.5527136788e-15, 3.5527136788e-16, 17.3779073283, 17.3779073283, 17.3779073283, 17.3779073283, 17.3779073283, 17.3779073283, 17.3779073283
B_FeII2.7097, 0.0554127842833, 0.0185855691893, 0.00181126704079, 0.013455375001, 0.0768765302502, 0.013455375001, 0.0505412859165, 0.0585467363843, 0.0681231151039, 0.0768765302502
N_FeII2.7083, 16.0025493401, 0.0182507443852, 0.00180698901252, 15.988259393, 16.0306610289, 15.988259393, 15.988259393, 15.988259393, 16.0306610289, 16.0306610289
B_FeII2.7083, 0.0338561658984, 0.0214871929156, 0.00212394887808, 0.00212231229583, 0.063581082268, 0.00212231229583, 0.0213580331001, 0.021436810986, 0.063581082268, 0.063581082268
N_FeIIa2.7097, 13.1608553172, 0.00672725941424, 0.000662463533795, 13.1497226518, 13.1654697336, 13.1497226518, 13.1551214526, 13.1654697336, 13.1654697336, 13.1654697336
B_FeIIa2.7097, 24.4999268432, 0.509925685324, 0.0476177172686, 23.402306927, 25.2653383541, 23.402306927, 24.044789157, 24.6058362577, 24.940503208, 25.2653383541
N_FeIIa2.7083, 13.06020172, 0.0204219390024, 0.00203133563415, 13.031514083, 13.0771983289, 13.031514083, 13.031514083, 13.074349363, 13.074349363, 13.0771983289
B_FeIIa2.7083, 32.5852842931, 1.40413479749, 0.129929160396, 29.7211962863, 34.5844077726, 29.7647843626, 31.1133780129, 32.8222885468, 33.4300750589, 34.9604806179
N_FeIIb2.7097, 12.9479593843, 0.00372623661631, 0.000372623661631, 12.9449169249, 12.9525230735, 12.9449169249, 12.9449169249, 12.9449169249, 12.9525230735, 12.9525230735
