Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 15.5324287246, 0.0290626311456, 0.00289321936525, 15.5007280541, 15.5590728465, 15.5007280541, 15.5007280541, 15.5590728465, 15.5590728465, 15.5590728465
TEMP, 799.840507393, 1.13686837722e-13, 2.27373675443e-14, 799.840507393, 799.840507393, 799.840507393, 799.840507393, 799.840507393, 799.840507393, 799.840507393
B, 28.9484028291, 0.596844862598, 0.0575115352817, 28.1864214858, 29.9846406792, 28.1864214858, 28.5357972256, 28.9220065089, 29.2095939451, 30.0197189795
A_Z, 9.96055660488, 0.00951685147988, 0.000933999550291, 9.95735586919, 9.99900718029, 9.95735586919, 9.95735586919, 9.95735586919, 9.96033987415, 9.99900718029
H22.70831, 15.3312728957, 0.061028636894, 0.00608130580176, 15.2352700334, 15.4094542054, 15.2352700334, 15.2789461825, 15.3685634707, 15.3685634707, 15.4094542054
T2.70831, 799.765347906, 0.0, 1.13686837722e-14, 799.765347906, 799.765347906, 799.765347906, 799.765347906, 799.765347906, 799.765347906, 799.765347906
B2.70831, 31.2564296112, 2.78058967223, 0.277503778025, 26.9941096513, 35.1411718133, 26.7019669028, 28.917243046, 32.6304147688, 33.2935097041, 35.0104681486
H22.70971, 15.3513062614, 0.0431034475987, 0.00428730039161, 15.3235356869, 15.4182723341, 15.3235356869, 15.3235356869, 15.3235356869, 15.4179583004, 15.4182723341
T2.70971, 798.992697071, 0.647442922634, 0.0643661318401, 797.890882385, 799.373144294, 797.890882385, 797.890882385, 799.373144294, 799.373144294, 799.373144294
B2.70971, 28.9398889249, 1.19567206785, 0.119182261922, 27.8228937108, 31.0030025684, 27.8228937108, 28.0454981852, 28.3516114117, 30.4268951878, 31.0030025684
N_HI, 20.9600033621, 0.0, 3.5527136788e-16, 20.9600033621, 20.9600033621, 20.9600033621, 20.9600033621, 20.9600033621, 20.9600033621, 20.9600033621
