Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 15.3727343838, 0.00447694884759, 0.000314761699624, 15.3646755662, 15.381715302, 15.3641470789, 15.3693710717, 15.3729917977, 15.3758209159, 15.381715302
TEMP, 799.948375521, 0.0493019340982, 0.00449518332146, 799.844158296, 799.996652751, 799.783391801, 799.921223144, 799.968134577, 799.984832993, 799.996056873
B, 24.8514332935, 0.201203356174, 0.0121268873772, 24.4317081945, 25.2086479267, 24.4618547797, 24.7055718512, 24.8544917238, 24.9843743864, 25.2688057565
A_Z, 9.98580740921, 0.0130446308533, 0.000823903678121, 9.96260683366, 9.9996411128, 9.94954161571, 9.97858979628, 9.98943223164, 9.9955658941, 9.99920316263
H22.70831, 15.5858678645, 0.003122339874, 0.000237152587938, 15.580945261, 15.5932275987, 15.5794724375, 15.5837357575, 15.5856725285, 15.5875180263, 15.5924171174
T2.70831, 799.977327364, 0.0218900517023, 0.00175439838698, 799.939130357, 799.999877051, 799.916173055, 799.9681155, 799.984971357, 799.992626586, 799.998895272
B2.70831, 43.8797561046, 0.213142431294, 0.012354235612, 43.5078678784, 44.3165285056, 43.4958377771, 43.7280398252, 43.8715430427, 44.0107435982, 44.3165285056
H22.70971, 15.5168809136, 0.00281092053996, 0.000159912256696, 15.5114644732, 15.5223654001, 15.5116024284, 15.5149148658, 15.5169532095, 15.5188330457, 15.5226871055
T2.70971, 799.937705698, 0.0561045018066, 0.00479297081882, 799.849908414, 799.997286999, 799.75518343, 799.903007011, 799.945328772, 799.977230988, 799.997286999
B2.70971, 35.9644467161, 0.0001765293388, 1.41256097146e-05, 35.964114677, 35.9646236454, 35.9640815547, 35.9643756914, 35.9644892348, 35.9645868864, 35.9646160032
N_HI, 20.9599999715, 2.82904032763e-07, 2.55407451133e-08, 20.9599992409, 20.9600002882, 20.9599992965, 20.9599998645, 20.9600000372, 20.9600001856, 20.9600004165
B_HI, 54.9095566072, 1.47946303595, 0.0867820555691, 51.5567086979, 57.3713013266, 51.2846856528, 54.0940786226, 55.1277195802, 55.9433790702, 57.2892678218
A_Z_HI, -64.0138871315, 2.23243583697, 0.096706171009, -68.1113602916, -59.6613680223, -68.1113602916, -65.5828934614, -63.930085781, -62.5591316479, -59.5673701657
N_FeII, 14.5418072627, 0.0140236510899, 0.000857858692712, 14.5183333562, 14.5683378416, 14.5142105838, 14.5319349472, 14.541487215, 14.5518628464, 14.5668889862
B_FeII, 29.8742864469, 0.137563514522, 0.0079942794204, 29.6016469552, 29.9996987111, 29.4852193343, 29.8352146751, 29.9193936345, 29.9637368259, 29.9968597839
A_Z_FeII, 4.88427302416, 0.11045731073, 0.00552433524281, 4.65985132767, 4.99966586714, 4.59220729389, 4.83771865339, 4.9127295197, 4.97003163719, 4.99626898226
N_FeIIa, 15.0075361077, 0.00894326435223, 0.000584294717151, 14.9922173962, 15.0253348559, 14.9902711911, 15.0007852519, 15.0082772834, 15.0134270805, 15.0245091161
B_FeIIa, 29.9684833586, 0.0279309569026, 0.00165281112108, 29.9125364313, 29.9998018669, 29.8950157157, 29.9547021332, 29.9771166482, 29.9882922489, 29.9993818843
A_Z_FeIIa, 4.95812220271, 0.0405291978474, 0.00269874861596, 4.87502553603, 4.9999716255, 4.8489174405, 4.94349575202, 4.97004800806, 4.98833466731, 4.99894151324
N_SIV, 5.71770460219, 3.19785071111, 0.131052122972, 0.0627574607183, 10.751007648, 0.314273979386, 3.09941624626, 5.74673293878, 8.37838653293, 11.1584258211
B_SIV, 15.3096899768, 8.45490680348, 0.263312411479, 1.86103236463, 29.7332488706, 0.858162099434, 8.28989198211, 15.1741124029, 22.6682847569, 29.0440494516
A_Z_SIV, 0.0162162104246, 2.87289384943, 0.0881546818455, -4.44777112299, 4.98778373342, -4.73004494394, -2.48418060439, 0.0124956951219, 2.39208687186, 4.76905682342
N_SiII, 14.7053555571, 0.0281138786728, 0.00172699147729, 14.6544598632, 14.763370962, 14.6531239009, 14.6843445212, 14.7066452009, 14.7241053396, 14.7626097555
B_SiII, 29.4115900188, 0.649264027704, 0.0380318034437, 28.2585918219, 29.9983429528, 27.7706566334, 29.1875363904, 29.6037097238, 29.8557219052, 29.9905937403
A_Z_SiII, -4.85784577671, 0.143759212602, 0.00791789678281, -4.99983529755, -4.58041067087, -4.99507496427, -4.9645901608, -4.90771721779, -4.80105784919, -4.48674268493
N_CrIII, 16.121545317, 0.0212778001532, 0.0013546138279, 16.0781040079, 16.158713649, 16.0830327883, 16.1072272978, 16.1201999014, 16.1359854604, 16.1639667387
B_CrIII, 29.9856865711, 0.0144827523078, 0.000868603928089, 29.9572353074, 29.999974236, 29.9447368972, 29.9790690637, 29.9904372802, 29.9957453827, 29.9999255699
A_Z_CrIII, -4.99274623451, 0.0076117241737, 0.000512583796224, -4.99986998987, -4.9775417304, -4.99971708105, -4.99837799664, -4.99509514166, -4.98970719659, -4.97189845347
