Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 14.2291408847, 2.90910136692, 0.531126813577, 7.97732609129, 16.1627159405, 3.76045714745, 13.5108675463, 15.4287853331, 16.1627159405, 16.1627159405
TEMP, 708.155272319, 167.042538956, 30.4976555497, 259.537945248, 778.832719357, 186.991906091, 778.832719357, 778.832719357, 778.832719357, 778.832719357
B, 32.1280422555, 9.92655293515, 1.81233232028, 4.4484672025, 37.5588813051, 1.95769947098, 26.7461517848, 37.5588813051, 37.5588813051, 37.5588813051
A_Z, -59.4546835611, 83.3127287959, 15.2107536296, -114.689955333, 131.884397635, -114.689955333, -114.689955333, -114.689955333, 33.7806028135, 131.884397635
N_H, 20.9828332291, 7.1054273576e-15, 1.29726761482e-15, 20.9828332291, 20.9828332291, 20.9828332291, 20.9828332291, 20.9828332291, 20.9828332291, 20.9828332291
B_H, 38.3466211411, 1.00251126264, 0.183032677567, 37.4699504734, 39.4930366296, 37.4699504734, 37.4699504734, 37.4699504734, 39.4930366296, 39.4930366296
A_Z_H, -56.8396813592, 1.42108547152e-14, 2.59453522965e-15, -56.8396813592, -56.8396813592, -56.8396813592, -56.8396813592, -56.8396813592, -56.8396813592, -56.8396813592
N_MnII, 8.53814455663, 6.43591218525, 1.17503142733, 0.468494987842, 18.1999813208, 0.468494987842, 2.58884441251, 7.44205454448, 14.8724413696, 18.7537518014
B_MnII, 14.8167357366, 7.57635088983, 1.38324609531, 4.84192610061, 29.992931265, 0.840889901889, 11.415669279, 13.907069509, 22.2488072518, 29.992931265
A_Z_MnII, 26.7223976825, 67.0995399457, 12.2506438755, -87.2315514935, 148.616675949, -103.460083235, 0.892141941582, 25.9415623888, 66.0840331967, 148.616675949
N_NI, 13.0601768441, 3.02122037093, 0.55159684945, 6.55187863232, 15.1433752283, 4.24280805845, 11.2923269115, 14.8364150924, 14.8434898198, 15.1433752283
B_NI, 20.3979112067, 11.0791404705, 2.02276505115, 2.00837612235, 29.264257472, 2.00837612235, 8.6261502801, 29.264257472, 29.264257472, 29.264257472
A_Z_NI, -11.0433947553, 7.88312939047, 1.4392559303, -20.7425366571, 7.26347986592, -20.7425366571, -19.4608842969, -11.9377153455, -5.2618662043, 8.37038957231
N_SiII, 10.6793307963, 7.14002842765, 1.30358487702, 0.185417061257, 19.4363425602, 0.0764366293043, 2.28104456649, 12.347421593, 19.3680061471, 19.4363425602
B_SiII, 16.2442328577, 7.00768170435, 1.27942178176, 3.56447557497, 29.8141463011, 1.37140793043, 12.3697965842, 16.3204053354, 21.1471740884, 29.8141463011
A_Z_SiII, -51.216132447, 59.2753491173, 10.8221486052, -146.159594989, 31.5289005793, -146.159594989, -80.8554979222, -50.0102035803, -18.7521594707, 60.5752271039
N_FeII, 16.0523394597, 0.844161408058, 0.15412208179, 15.3141417229, 17.0176749617, 15.3141417229, 15.3141417229, 15.3141417229, 17.0176749617, 17.0176749617
B_FeII, 0.245389028019, 0.0389654531698, 0.00711408588818, 0.195956432497, 0.308736422424, 0.195956432497, 0.2142961036, 0.225117217057, 0.299051902304, 0.308736422424
A_Z_FeII, -38.0134351571, 27.3706222546, 4.99716907393, -50.2539495466, 23.1891367907, -50.2539495466, -50.2539495466, -50.2539495466, -50.2539495466, 23.1891367907
N_SiIII, 8.23545109795, 4.91024391601, 0.896483785217, 1.57727406999, 16.0953817044, 1.57727406999, 2.68890232854, 9.51068285828, 12.7195690269, 16.3981333414
B_SiIII, 0.0893399172395, 0.0277827718436, 0.00507241694959, 0.0485955157241, 0.14971131422, 0.0401081431446, 0.0767836087874, 0.0829778181729, 0.101506747874, 0.14971131422
A_Z_SiIII, 9.78819622156, 2.06976687757, 0.37788600254, 6.94383620327, 14.0444128467, 5.32182800776, 8.54557069091, 9.31352393308, 11.3111832297, 14.0444128467
N_ClI, 15.3722277203, 1.41173487281, 0.257746345019, 11.1370231018, 15.8428060112, 11.1370231018, 15.8428060112, 15.8428060112, 15.8428060112, 15.8428060112
B_ClI, 28.2761551513, 3.39205036709, 0.619300834084, 26.0667553244, 29.3206089477, 11.0024095503, 29.3206089477, 29.3206089477, 29.3206089477, 29.3206089477
A_Z_ClI, -43.7129188819, 16.9996766721, 3.10370212787, -93.4094340027, -26.2572747946, -100.533692067, -43.0962806171, -43.0962806171, -32.1540507381, -26.2572747946
N_OIa, 14.6645893173, 1.7763568394e-15, 3.24316903706e-16, 14.6645893173, 14.6645893173, 14.6645893173, 14.6645893173, 14.6645893173, 14.6645893173, 14.6645893173
B_OIa, 23.0041772056, 2.1786875497, 0.397772105575, 21.2105129021, 26.8576541893, 21.2105129021, 21.2105129021, 22.3089698324, 22.3089698324, 26.8576541893
A_Z_OIa, 15.0615817311, 21.8077817426, 3.98153799653, -13.3392091057, 37.2631477537, -13.3392091057, -13.3178421603, 28.6230831193, 28.6230831193, 37.2631477537
N_ArI, 6.09801182249, 3.51692322067, 0.642099393659, 2.52654532546, 11.1489397104, 2.52654532546, 2.52654532546, 4.55951261324, 10.4909987995, 11.7488008184
B_ArI, 0.612536295018, 0.250015248736, 0.0456463304842, 0.284663701839, 1.06745133039, 0.206692769268, 0.384423600989, 0.621656328651, 0.792548735741, 1.06745133039
A_Z_ArI, -5.55111051236, 70.1573608297, 12.8089230338, -126.393961431, 78.6210038135, -126.393961431, -80.9677446106, 24.1618821839, 60.6177212743, 101.881925297
N_CrIII, 19.2416563702, 0.257087488973, 0.0469375389877, 19.2893963185, 19.2893963185, 17.8571978723, 19.2893963185, 19.2893963185, 19.2893963185, 19.2893963185
B_CrIII, 7.72197101185, 4.41115769556, 0.805363524858, 2.04747656392, 18.3448939176, 2.04747656392, 5.05295188773, 6.03806409423, 11.7921983014, 18.3448939176
A_Z_CrIII, 31.8773470038, 1.0469381974, 0.191143889009, 29.8525125545, 32.807743498, 29.8525125545, 32.0666292594, 32.0666292594, 32.4615726506, 32.807743498
N_OVI, 18.7588626037, 0.471020871707, 0.0859962521632, 18.0927384988, 19.0919246561, 18.0927384988, 18.0927384988, 19.0919246561, 19.0919246561, 19.0919246561
B_OVI, 0.44271402042, 0.148640817796, 0.027137976291, 0.192603280127, 0.610756445644, 0.192603280127, 0.370137867454, 0.370137867454, 0.610756445644, 0.610756445644
A_Z_OVI, -96.244953076, 8.06179377325, 1.47187543452, -101.750169315, -83.9677950142, -101.750169315, -101.750169315, -101.750169315, -83.9677950142, -83.9677950142
N_OI, 2.57979559322, 0.881545103343, 0.16094737952, 1.28510334942, 4.33855949283, 0.738641165017, 1.86602913643, 2.57767784915, 3.13687353635, 4.33855949283
B_OI, 12.5284588023, 8.69897069528, 1.58820749229, 1.75736991157, 28.9195045436, 1.05241960413, 5.35569125785, 11.2594355528, 18.2923689785, 28.9195045436
A_Z_OI, 29.5372260222, 88.7392721749, 16.2015003689, -112.252689903, 130.348842702, -124.247495803, -34.9018973277, 67.5851756374, 115.265809262, 130.348842702
N_CII, 17.6967748559, 0.622174980287, 0.113593090473, 16.8593654562, 18.254707056, 15.5451504544, 17.385386703, 17.4171058967, 18.254707056, 18.254707056
B_CII, 25.8420128229, 5.80664290531, 1.06014310087, 13.3068749744, 29.4601187538, 13.3068749744, 22.5825165612, 29.4601187538, 29.4601187538, 29.4601187538
A_Z_CII, 12.1569190031, 12.4641520063, 2.27563240467, -29.9202766625, 20.4213146707, -29.9202766625, 5.88281933104, 15.7991244854, 20.4213146707, 20.4213146707
