Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
NTOTH2, 20.7535916488, 0.0447647919905, 0.00196388437205, 20.6683573997, 20.843340848, 20.6608845076, 20.7228164692, 20.7544837607, 20.7854290334, 20.8389760634
TEMP, 74.0848112408, 3.33903125219, 0.087558548549, 67.9104234594, 80.7229592076, 68.3004860576, 71.8391427035, 73.8430683374, 75.9763277539, 81.4724733847
B, 17.5158848945, 1.8725032144, 0.0671470686403, 14.2023041788, 19.9993937351, 13.6441717726, 16.0730090037, 18.0313297695, 19.0628497884, 19.9183590391
A_Z, 16.0405536407, 3.72297432589, 0.115102189168, 8.75548719983, 22.4403990316, 8.09989426363, 13.476332118, 16.2153184248, 19.0279117341, 22.0561443865
N_HI, 22.0674495927, 0.0307915932663, 0.00114516255471, 22.0019647511, 22.0998320662, 21.9840064565, 22.055811028, 22.0777487571, 22.088179681, 22.0986742545
B_HI, 27.4757357641, 7.23291564454, 0.115453665852, 15.1312879925, 38.9025358176, 15.5782034625, 21.2303733218, 27.439678748, 33.7468567155, 39.4378963178
A_Z_HI, 22.4458683594, 53.7239289763, 1.02609719692, -76.4453624527, 99.7884788126, -87.3732883744, -18.2456288651, 29.7405856694, 69.8915361687, 96.6279597753
N_FeII, 17.0966625614, 0.374980632607, 0.0360945870901, 17.0000119683, 17.1267446501, 17.0006652612, 17.008536177, 17.0225418547, 17.0478543677, 18.9799303897
B_FeII, 27.3270021486, 6.69301129449, 0.426961833353, 17.2089091871, 39.4765350356, 5.83988180862, 23.7394189214, 27.7196637379, 32.108240649, 37.8928064156
A_Z_FeII, -19.4575949266, 8.96486085552, 0.243923073402, -36.572670673, -3.46263705299, -36.5645561553, -26.1170829588, -19.3245714385, -12.7484722113, -3.44561381474
N_NiII, 10.0421173972, 5.80914980687, 0.089990544476, 0.44045652284, 19.3355131705, 0.511070103884, 4.99032950982, 9.92407596532, 15.2679362905, 19.4278698748
B_NiII, 15.1892219823, 8.67437903694, 0.140216544872, 1.08000153639, 29.5698211223, 0.670622574244, 7.61482898358, 15.4998386834, 22.5895954466, 29.2915553501
A_Z_NiII, 0.132814753425, 58.1643645817, 1.17955286412, -92.9583798262, 96.880474179, -94.3329320295, -50.5191511628, 0.0870914881763, 50.9328607542, 95.6870279312
N_SiII, 11.3287179757, 6.10344874383, 0.153774223527, 1.17033069164, 19.9965253213, 0.576364485358, 5.97753311455, 11.9673040275, 17.0003675112, 19.8193478768
B_SiII, 15.5426347149, 8.59463772563, 0.147269709945, 1.56404583933, 29.9114902879, 0.776333507135, 8.21999935084, 15.7843920758, 22.9665298859, 29.223675475
A_Z_SiII, 16.875668027, 54.3531441563, 1.24949957715, -84.2793784475, 99.9951074361, -92.3729596625, -22.6056498399, 26.5208152687, 60.5571422998, 95.6577283098
N_OI, 14.8201270558, 5.57532983519, 0.189668298559, 2.41263863083, 19.9994733876, 1.11585236585, 12.1719377605, 17.258403713, 18.9290434722, 19.9307517245
B_OI, 17.9432001462, 8.28495747389, 0.1807958087, 2.83363432119, 29.9600871363, 1.41048795489, 11.6692641651, 19.2081711079, 25.0893100584, 29.5331547089
A_Z_OI, 8.51038890678, 51.7132741024, 1.25566557196, -92.2520151123, 89.6189917212, -92.1688851757, -29.5987442306, 15.5263939457, 50.7609590834, 90.1176464876
N_SIV, 9.4609895034, 5.53467804119, 0.102504894375, 0.049627397118, 18.3662238291, 0.429901849161, 4.74328401644, 9.37458841857, 14.0550924847, 18.9367577883
B_SIV, 14.7305287437, 8.65783583179, 0.145080777078, 1.42700588548, 29.8964437918, 0.685226594881, 7.31166301805, 14.6356819884, 22.1243305483, 29.2909618705
A_Z_SIV, 3.80640007138, 56.4374578217, 0.937179941354, -87.791270538, 99.9603312275, -94.5526185507, -43.2719984087, 4.91813689604, 52.5528727564, 95.6319879092
N_SiIV, 10.1795232749, 5.74754585425, 0.0955867430416, 1.03501818021, 19.921982592, 0.53647958388, 5.23364322397, 10.3414383373, 15.0849742932, 19.5254626953
