Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
n_voigts, 2.52465246525, 1.72483762227, 0.0537141848274, 1.0, 6.0, 1.0, 1.0, 2.0, 3.0, 7.0
a, 1.13272721377, 0.0876391177141, 0.00308955536109, 0.967058578685, 1.24945987222, 0.924868031961, 1.0809687844, 1.14963529321, 1.20130692279, 1.24563428413
alphaD1, 49.527882526, 29.2367367781, 0.947928471648, 5.14879953993, 99.7270584907, 2.49079504722, 23.559842532, 49.9871243168, 74.7712483777, 97.5813608681
alphaL1, 48.8869999574, 29.2603692294, 0.886653477359, 3.87468714246, 98.2178516824, 2.96493658126, 22.7582167401, 49.3096910215, 73.9474659794, 97.8289344785
nu01, -20.8381915268, 265.529442786, 12.963265925, -410.103485989, 449.862829708, -430.369555205, -253.644341643, -48.0648534404, 202.364981627, 433.388344263
A1, -50.4697171723, 32.708457248, 0.85822292792, -109.117842656, -0.0696468849138, -114.402031405, -75.5160162278, -46.3872140377, -23.1838156706, -2.21972396378
alphaD2, 48.4019435435, 28.8520411269, 0.578980935491, 0.127284960875, 93.8781702114, 2.64640779826, 23.3834663933, 47.3933197836, 72.9295621139, 96.9932171207
alphaL2, 50.5530724351, 28.9375731785, 0.665393213369, 4.7102621012, 99.768658499, 2.09634745625, 25.3756647568, 50.5611789542, 75.5130722216, 97.4953359394
nu02, -7.27899091931, 258.659583136, 9.9156891117, -414.153594468, 435.257351643, -424.981513435, -226.987177817, -17.3401901803, 208.573308983, 428.559299863
A2, -53.2861502343, 33.3786371353, 1.09808509515, -110.783938946, -0.0579727617955, -114.690478505, -80.6824794989, -49.6505257195, -24.4494269691, -2.79094114527
alphaD3, 49.2391424772, 28.9691810969, 0.664188064421, 0.305778874312, 94.9775942718, 2.27030750145, 24.2279551533, 49.0056248609, 74.3229088927, 97.3058029938
alphaL3, 50.5926225068, 29.2042066156, 0.688811559364, 3.53832271901, 97.8162801233, 2.65079032167, 24.9840444214, 51.2904441869, 76.2926855288, 97.0121256524
nu03, -21.7403813263, 267.754868238, 6.36202245364, -445.36033891, 411.507145898, -433.796438556, -258.921650996, -42.1602904238, 212.647861564, 431.237864286
A3, -57.1355370403, 34.6709057955, 0.737926395883, -113.848277462, -0.0206769593549, -117.114910916, -86.6933688653, -54.8014966447, -27.655514229, -2.44714439593
alphaD4, 50.7835247999, 28.5832080062, 0.632709226345, 5.86544666753, 99.7290312964, 3.12077548486, 26.4376625634, 50.5807386541, 75.7890168504, 97.8091568569
alphaL4, 47.9762675173, 28.1920049653, 0.870206578247, 4.18644812618, 98.233142862, 2.81855781966, 23.5726477071, 47.0056153672, 71.630987886, 97.5543855734
nu04, -12.3116715611, 268.830879711, 7.06040940008, -443.830008343, 416.786454536, -429.216511736, -258.646478337, -18.4915233861, 222.668512453, 432.058896072
A4, -56.8651395642, 34.809007609, 0.841065439669, -113.008723587, -0.0302028238253, -116.544697468, -86.2978168833, -56.0583938816, -25.942391801, -2.58167241983
alphaD5, 50.5498942578, 28.7943346218, 0.627747429535, 4.72619697582, 99.5039703236, 2.27640798799, 25.3624377142, 50.8993303834, 75.4391921702, 97.5866831969
alphaL5, 50.986181844, 28.7129064476, 0.609858160085, 1.90205284358, 95.7894317976, 3.14425770548, 26.1875667591, 51.5184406698, 76.2811621033, 97.2899918009
nu05, -13.23085167, 266.007439123, 5.2010060103, -433.750083229, 423.00116515, -429.294482584, -251.740316249, -25.1766429386, 228.034364575, 428.326523598
A5, -57.3654068586, 34.1412486864, 0.751269722908, -112.977328351, -0.14944508529, -116.230781333, -85.8111238272, -57.102470112, -27.5583456902, -2.69742098756
alphaD6, 51.1783835152, 29.1324124975, 1.12459109858, 5.39835642015, 99.9965268424, 3.15514986611, 25.7539533015, 52.6050760221, 76.2063537739, 97.8709872515
alphaL6, 48.3831479986, 28.0261269013, 0.717216667483, 0.670326299823, 94.4769472627, 2.49844548256, 24.4182985526, 47.2367955762, 71.464629414, 96.8247441002
nu06, -6.19025929917, 262.46177631, 5.43266520014, -421.354004883, 428.711607421, -427.922665178, -236.786239191, -6.66220782865, 219.190792762, 423.387898686
A6, -59.4161978693, 34.3147112418, 0.797992480704, -113.743944147, -0.392832646803, -116.941015438, -89.5597494522, -57.7585779375, -30.2696599325, -2.60689543981
alphaD7, 50.7197225605, 28.8104198101, 0.618830515788, 5.02281321897, 99.0328325648, 3.1913034466, 25.8026080279, 51.1189411949, 75.2066576475, 97.8881672854
alphaL7, 49.8603310786, 28.8383645134, 0.735078025372, 0.000216331947652, 94.5935924304, 2.20542750298, 25.1656222189, 49.9515941311, 75.4244103931, 97.0813633448
nu07, -2.9040414079, 262.439976174, 7.06842562709, -408.265669842, 447.008095463, -428.304926731, -232.788113902, -8.42635247518, 229.521758911, 430.233311074
A7, -59.3816784023, 35.1986745727, 0.754507196529, -116.211694107, -2.22253483986, -117.117123749, -90.4052175635, -59.1865445758, -28.3606476156, -2.94550207071
alphaD8, 50.0154072086, 28.3590819402, 0.763112475258, 5.34587934518, 99.4631915018, 2.6703522014, 26.0238474176, 50.2853762326, 73.7912948603, 97.2718413514
alphaL8, 50.0572298758, 28.7621631567, 0.581614243173, 3.59332934425, 98.1919918136, 2.41071027227, 25.163497349, 49.5040527198, 75.2393787127, 97.4025489238
nu08, -4.34055142832, 263.176747577, 5.70577072886, -421.709343511, 433.611032419, -428.467183127, -236.865065547, -6.75116646102, 224.967723426, 427.924292613
A8, -58.4975565564, 34.2187838465, 0.700261078722, -112.703090456, -0.0395798410593, -117.301698351, -88.2972959511, -57.8137378745, -29.4771956861, -2.7600590176
alphaD9, 48.9442604352, 28.6375240302, 0.944420050531, 1.89437299328, 96.2609954788, 2.70423315148, 23.4848791722, 48.6646066223, 73.8362701336, 97.4890805796
alphaL9, 50.0589207728, 28.6146075868, 0.5763857187, 5.07252010907, 99.0423027286, 2.87058261431, 25.0162790233, 50.3037783077, 74.5008973558, 97.624973903
nu09, 0.927884277987, 257.556986612, 5.27986804157, -445.342605348, 404.918067369, -428.623531437, -220.649921479, -2.12517322092, 220.066394937, 426.719821563
A9, -60.1610115824, 34.3575198745, 0.557597053011, -115.492068299, -2.60974574946, -116.650860428, -89.7051487329, -59.5209500622, -30.225547544, -3.36089715522
alphaD10, 50.1098790859, 28.4480921794, 0.622193163058, 5.63283124119, 99.6491150025, 2.51094279599, 25.4776664157, 50.2396641441, 74.6587667644, 97.2275575414
alphaL10, 50.8610968704, 28.5016504504, 0.64888512414, 4.11773768183, 97.9944332935, 2.95987368995, 26.2207726893, 51.3609930107, 75.2849061391, 97.3883495489
nu010, -24.4428234084, 255.375813492, 9.38090252569, -448.838019098, 396.897915876, -428.079960046, -244.753423529, -39.9746002775, 191.957170563, 422.453246622
A10, -61.389088445, 34.786129645, 0.683007708995, -117.778810395, -4.08134079849, -117.159814139, -92.0331476584, -62.5245623404, -31.5906881607, -3.09869126467
